,name,bar_code,eco_score,brand,categories,labels,traceability_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,packaging,manufacturing,additives,allergens,nova_score,ingredients_origins,brand_owner,generic_name,link,palm_ingredients
0,2 Filets poulet fermier - Les Fermiers de Loué,0217247041462,D,['Les Fermiers de Loué'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']","['IGP', 'Label Rouge']","['FR 72.168.001 CE', 'Loué (Sarthe, France)']",['France'],[],[],?,,?,,?,,?,,?,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Dafyna,3770012996000,,,,,,['France'],[],[],?,,450,,24,,49,,"6,8",,,,,,,,,1883 kj(450 kcal),11,49,"0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Preparé Martino - Carrefour,5400101035041,,['Carrefour'],,,,['France'],[],[],?,,251,,20,,1,,16,,,,,,,,,1050 kj(251 kcal),"2,5","0,5","1,4","0,56",['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Yahourt fermier citron,3760186690361,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,La bière du Vexin Blanche,3760210300150,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Jambon à l'ancienne,2252519000004,E,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",,,['France'],[],[],?,,123,-19%,"3,1",-50%,"0,5",+1%,23,+3%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,515 kj(123 kcal),"1,4","0,5",2,"0,8",,3.1 g,en quantité modérée,1.4 g,en faible quantité,0.5 g,en faible quantité,2 g,en quantité élevée,-19%,-42%,+3%,+3%,+3%,5,-49%,C,-49%,,,,,,,,,,,
6,Pain aux noix -,3700517403376,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains aux noix']",,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Marshmallow,0200030142026,,,,,,['France'],[],[],?,,360,,9,,66,,"3,1",,,,,,,,,1506 kj(360 kcal),5,59,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Panda au chocolat au lait,3421371523832,,,,,,['France'],[],[],?,,573,,38,,51,,"6,5",,,,,,,,,2397 kj(573 kcal),24,50,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Rillette de truite,3770011036011,D,,"['Produits de la mer', 'Produits à tartiner', 'Poissons', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Rillettes de poissons', 'Rillettes de truite']",,,['France'],[],[],?,,134,-38%,"7,9",-50%,"7,3",+226%,"7,8",-45%,74.4%,12.5%,3.8%,7.2%,1.7%,0.5%,51,561 kj(134 kcal),3,"2,3","1,5","0,6",,7.9 g,en quantité modérée,3 g,en quantité modérée,2.3 g,en faible quantité,1.5 g,en quantité modérée,-37%,-46%,+167%,+44%,+44%,5,-44%,C,-44%,,,,,,,,,,,
10,Aloe vera juice,92210042,,,,,,['France'],[],[],?,,34,,0,,"8,5",,0,,,,,,,,,142 kj(34 kcal),0,"8,5","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
