,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,labels,packaging,categories,ingredients_origins,manufacturing,traceability_code,additives,eco_score,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,generic_name,link,palm_ingredients,brand_owner
0,20G MELANG MOULES MARIN DUCROS,3166291748520,['Ducros'],['France'],[],[],?,306,1280 kj(306 kcal),"2,1","0,4","47,7","23,3","11,7","0,64","0,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,200g,4211561762122,,['France'],[],[],?,?,,?,,?,,?,,,200 g,['Sans lactose'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4841317000897,4841317000897,,['France'],"['Ingrediente Faina de griu c/s', 'faina de porumb', 'faina de ovaz', 'margarina vegetala', 'zahar fos', 'amoniu', 'soda de mincare']",[],?,458,1916 kj(458 kcal),"18,6",,71,,"10,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Foie gras - Larnaudie - 280g,3113010141476,['Larnaudie'],['France'],[],[],?,?,,?,,?,,?,,,280g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2487998016929,2487998016929,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,saucisson  supérieur ail ancien - brient - 350gr,2141652006502,['Brient'],['France'],"[""Saucisson Cuit Supérieur à lAil à l'Ancienn Fumé Label Rouge ents: épaule de porc"", 'gorge de porc', 'eau', ""blanc d'0EUF pasteurisé"", 's saccharose', 'épices', 'onservateu', ' E250', 'ano oyda ', 'oyau gie: 109umage au bois de hêtre', ' laleurs nutritonnelles en g pour 10 de porc']","['Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,350 gr,"['Viande Française', 'Viande Porcine Française', 'Label Rouge']",['unité'],['Charcuteri'],['France'],['France'],"['FR 35.196.001 CE', 'Mordelles (Ille-et-Vilaine, France)']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Cookie thins - Griesson - 125g,4001518112236,['Griesson'],['France'],"['Sucre', ""flocons d'avoine "", '24,5%', 'farine de blé', 'graisses végétales ', 'tournesol', 'palme en proportion variable', 'sel de cuisine', 'poudres à lever ', ""carbonate acide de sodium carbonate acide d'ammonium"", 'lactosérum en poudre']","['Huile de palme', 'Non végétalien']",?,494,2067 kj(494 kcal),22,"9,7",67,37,"5,5","0,15","0,06",125 g,,['Sachet'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs', 'Cookie thins']",,,,['E500ii - Carbonate acide de sodium'],D,['Gluten'],4,22 g,en quantité élevée,9.7 g,en quantité élevée,37 g,en quantité élevée,0.15 g,en faible quantité,,+10%,+10%,+35%,+58%,+0%,+17%,-25%,-68%,-68%,20,+18%,E,+18%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,
7,nouilles de blé instantanées asiatiques - tien  shan - 85g,01576414,['tien  shan'],['France'],"['Nouilles ', '79g', ': farine huile de riz', 'amidon de tapioca', 'sel', 'blé de farine de eur de blé 64%', 'carboxyméthylcellulose de sodium', 'régulat muon polyphosphates', ""poudre a lever: carbonate acidtr d'acidnt e de sel"", 'sucre', 'poudre de curry 1,14%', 'poudre de sauce oas exhausteur de goût glutamate mo glucose', 'poudre de Assaisonnement saveur curry ', '6g', ': s e de ', 'Siro ile de riz monosodique', 'sir de chili', 'oignons déshyd maltodextrine', 'curcuma en poudre', 'cumin en poue de de sodium', 'exhausteurs de gout: inosinate dideinate oignon en poudre', 'émusitiant: mono - et diglycérides draelulm', 'gras', 'stablisant: polyphosphates', 'arôme', 'cannelle en oudes']",['Sans huile de palme'],?,?,,?,,?,,?,,,85 g,['en:palm-oil-free'],['Sachet'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Nouilles', 'Nouilles instantanées']",,['Thaïlande'],,"['E466 - Carboxyméthylcellulose', 'E502 - Carbonates', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition']",,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Monoprix'],,,,
8,les cafés éphémères - malongo - 12doses,3187571101996,['Malongo'],['France'],[],[],?,?,,?,,?,,?,,,12 doses,['Entreprises engagées'],['carton et capsule'],['Café expresso malongo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Boisson aromatisée very rosé framboise 10°,3211209269816,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
