,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,brand,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,packaging,traceability_code,additives,nova_score,allergens,generic_name,manufacturing,ingredients_origins,link,brand_owner,palm_ingredients
0,Glenryck Pilchards In Brine,5010793379271,['France'],[],[],?,749,3134 kj(749 kcal),"11,2",4,1,1,"19,7",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Séré maigre -  - 500g,28504115,"['France', 'Suisse']",[],[],?,?,,?,,?,,?,,,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Mini ananas au rhum,3493372920040,['France'],[],[],?,110,460 kj(110 kcal),"0,046","0,046","20,88","20,58","0,4","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Liebig,112302658,['France'],[],[],?,?,,?,,?,,?,,,,['Liebig'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Le Neuville aux herbes,3362420000174,['France'],[],[],?,257,1075 kj(257 kcal),"20,5","14,1","2,2","2,2",16,"1,36","0,544",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Higos Secos,8427123400050,['France'],[],[],?,240,1004 kj(240 kcal),"0,5","0,1","51,6","48,9","2,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Pruneaux,3760102440117,['France'],[],[],?,234,979 kj(234 kcal),"0,3","0,08",54,35,2,"0,001",0,,,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Pruneaux']",['Sans conservateurs'],0.3 g,en faible quantité,0.08 g,en faible quantité,35 g,en quantité élevée,0.001 g,en faible quantité,,-2%,-2%,-19%,-35%,+2%,-3%,+6%,-93%,-93%,3,+35%,C,+35%,73.8%,22.6%,1.7%,0.7%,1.2%,0.0%,24,,,,,,,,,,,,
7,Déjeunette pavot - Auchan,2030500025645,['France'],[],[],?,?,,?,,?,,?,,,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,,,,,,,,
8,Douceur vegetale,2016980010302,['France'],[],[],?,73,305 kj(73 kcal),"1,8","0,2",10,"8,3","3,7","0,05","0,02",,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Vinaigre balsamique de Modène,3760133673461,['France'],[],[],?,54,226 kj(54 kcal),0,0,13,13,0,5,2,,,B,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",,0 g,en faible quantité,0 g,en faible quantité,13 g,en quantité élevée,5 g,en quantité élevée,,-63%,-63%,-100%,-100%,-59%,-55%,-100%,+6962%,+6962%,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,,,,
10,Rolladin,7290000256085,['France'],[],[],?,456,1908 kj(456 kcal),"13,9","4,5","77,7","66,5","4,9",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,haw roll sweet,6906312002142,['France'],[],[],?,315,1318 kj(315 kcal),0,0,"76,9",30,"0,6","0,025","0,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Esparragos blancos de Navarra - Auchan,8411108604083,['France'],[],[],?,14,59 kj(14 kcal),0,0,"1,8",1,"1,3","0,9","0,36",,['Auchan'],C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes tiges', 'Asperges', 'Asperges blanches']","['Bio', 'Bio européen', 'ES-ECO-025-NA']",0 g,en faible quantité,0 g,en faible quantité,1 g,en faible quantité,0.9 g,en quantité modérée,,-26%,-23%,-100%,-100%,-8%,-15%,-12%,+14%,+14%,-2,,A,,63.9%,17.1%,7.8%,4.4%,4.6%,2.3%,58,['Auchan'],,,,,,,,,,,
13,Dessert de pomme/framboise - Finesse des Vergers,3590590022751,['France'],[],[],?,61,255 kj(61 kcal),"0,42","0,23","13,66",11,"0,53","0,003","0,001",,['Finesse des Vergers'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
