,name,bar_code,packaging,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,labels,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,markets,quantity,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,ingredients_origins,manufacturing,additives,generic_name,traceability_code,link,brand_owner
0,Angeknabbert Riesling 2017,4023131029753,['Flasche'],"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorbet Caramel beurre salé,3760259271886,,['France'],[],[],?,?,?,?,?,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Chipolatas aux herbes,2229331033459,,['France'],[],[],?,?,?,?,?,,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas', 'Chipolatas aux herbes']",,,,,,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Caramelos de goma surtidos - El Corte Ingles,8433329074995,,['France'],[],[],?,337,"0,5",79,"4,5",,,,,,,,,,,,,,,,['El Corte Ingles'],1410 kj(337 kcal),"0,2",63,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Yobù - Yogurt di latte di bufala intero,8033116900072,,['France'],[],[],?,102,"3,5",14,"3,5",,,,,,,,,,,,,,,,,427 kj(102 kcal),"1,8",13,"0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Compte AOP fort des rousses 12 mois d'affinage - Auchan,2090425027223,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,['Auchan'],,,,,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Brie de meaux AOP 1/2 affine,0206540025453,,['France'],[],[],?,?,?,?,?,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Bries', 'Brie de Meaux']",,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Chun Guang Classic Coconut Candy 250G - 250g,6917541686355,,['France'],[],[],?,476,19,81,2,,,,,,,,,,,,,,,,,1992 kj(476 kcal),"6,3",62,"0,25","0,1",,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Ente - 2318g,2237975011573,['Stück'],"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,2318 g,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Éclair chantilly /fraise,2020002040796,,['France'],[],[],?,189,21,12,2,,,,,,,,,,,,,,,,,791 kj(189 kcal),18,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
