,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,brand,traceability_code,packaging,additives,allergens,nova_score,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,markets,ingredients_origins,manufacturing,brand_owner,generic_name,link
0,Organic Tom Yum Spices,8859060301006,['France'],[],[],?,40,167 kj(40 kcal),0,0,8,1,1,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Charbon végétal - 90g,3535400023559,['France'],[],[],?,?,,?,,?,,?,,,90 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Preparado para sopa juliana - Santiveri,8412170003156,['France'],[],[],?,373,1561 kj(373 kcal),"2,2","0,3","69,7","22,8","12,3","0,3","0,12",,['Santiveri'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Medaillon de chevre,3760007488153,['France'],[],[],?,291,1218 kj(291 kcal),23,"16,1",1,1,20,"1,5","0,6",,,"['FR 26.362.001 CE', 'Valence (Drôme, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Mélange sambahia,2600223017847,['France'],[],[],?,465,1946 kj(465 kcal),18,"6,6","65,9","12,7",8,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Premium,3700103803399,['France'],[],[],?,?,,?,,?,,?,,,,,"['EMB 82103A', 'Marignac (Tarn-et-Garonne, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Salade,  œuf poché",3399130020970,['France'],[],[],?,114,477 kj(114 kcal),"5,1","0,8","8,5","1,1","6,6","0,26","0,104",,,"['EMB 60139A', 'Chambly (Oise, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Asda,27533024,['France'],"['Sultanas ', '19%', 'Sugar', 'Fortified Wheat Flour [Wheat Flour', 'Calcium Carbonate', 'Iron', 'Niacin ', 'B3', 'Thiamin ', 'B1', ']', 'Cider', 'Raisins ', '8%', 'Rum ', '5% ', 'Palm Oil', 'Glacé Cherries ', '4%', ' [Cherries', 'Glucose-Fructose Syrup', 'Colour ', 'Anthocyanins', 'Acidity Regulator ', 'Citric Acid', ']', 'Cognac Brandy ', '4%', 'Single Cream ', 'Milk', 'Candied Citrus Peel [Orange Peel', 'Glucose Syrup', 'Lemon Peel', 'Sugar', 'Acidity Regulator ', 'Citric Acid', ']', 'Currants ', '2 %', 'Walnuts ', '2%', 'Almonds ', 'Nut', ' ', '2%', 'Sherry ', '2%', 'Brandy', 'Treacle', 'Pecan Nuts', 'Barley Malt Extract', 'Salt', 'Mixed Spices [Coriander', 'Cinnamon', 'Cloves', 'Fennel', 'Ginger', 'Nutmeg', 'Cardamom]', 'Yeast', 'Orange Oil']","['Huile de palme', 'Non végétalien']",?,?,,?,,?,,?,,,,['Asda'],,['card-box'],"['E163 - Anthocyanes', 'E330 - Acide citrique']","['Gluten', 'Lait', 'Fruits à coque']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Asda,27533048,['France'],"['Sultanas ', '19%', 'Sugar', 'Fortified Wheat Flour [Wheat Flour', 'Calcium Carbonate', 'Iron', 'Niacin ', 'B3', 'Thiamin ', 'B1', ']', 'Cider', 'Raisins ', '8%', 'Rum ', '5%', 'Palm Oil', 'Glacé Cherries ', '4%', ' [Cherries', 'Glucose - Fructose Syrup', 'Colour ', 'Anthocyanins', 'Acidity Regulator ', 'Citric Acid', ']', 'Cognac Brandy ', '4%', 'Single Cream ', 'Milk', 'Candied Citrus Peel [Orange Peel', 'Glucose Syrup', 'Lemon Peel', 'Sugar', 'Acidity Regulator ', 'Citric Acid', ']', 'Almonds ', 'Nut', ' ', '2%', 'Currants ', '2%', 'Walnuts ', '2%', 'Sherry ', '2%', 'Brandy', 'Treacle', 'Pecan Nuts', 'Barley Malt Extract', 'Salt', 'Mixed Spices [Coriander', 'Cinnamon', 'Cloves', 'Fennel', 'Ginger', 'Nutmeg', 'Cardamom]', 'Yeast', 'Orange Oil']","['Huile de palme', 'Non végétalien']",?,?,,?,,?,,?,,,,['Asda'],,,"['E163 - Anthocyanes', 'E330 - Acide citrique']","['Gluten', 'Lait', 'Fruits à coque']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Pastille chocolat 4 couleurs,3102870048254,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Barbecue sauce,5420058018225,['France'],[],[],?,162,678 kj(162 kcal),"0,1",0,"39,8","39,5","0,3","2,5",1,,,,,,,,B,"['Epicerie', 'Sauces', 'Sauces barbecue']",0.1 g,en faible quantité,0 g,en faible quantité,39.5 g,en quantité élevée,2.5 g,en quantité élevée,,+4%,+3%,-90%,-100%,+28%,+51%,-67%,+24%,+24%,20,+38%,E,+38%,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,,,,,,,
11,Boulettes de volaille,0240224111711,['France'],[],[],?,239,1000 kj(239 kcal),"16,2","3,6","8,2","3,8","14,6","1,55","0,62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
