,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,brand,traceability_code,quantity,markets,packaging,additives,allergens,nova_score,brand_owner,generic_name,manufacturing,ingredients_origins,link
0,Bouchee à la reine,2891271020501,['France'],[],[],?,254,1063 kj(254 kcal),16,11,19,"3,1",8,"0,83","0,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Le fondant baulois,3700882900067,['France'],[],[],?,419,1753 kj(419 kcal),"23,1","12,6","46,2","42,4","5,9","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Spiruline,3770006341144,['France'],[],[],?,17,71 kj(17 kcal),0,0,"0,8",0,"3,9",0,0,E,"['Compléments alimentaires', 'Spiruline']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-93%,-93%,-100%,-100%,-92%,-100%,-92%,-100%,-100%,-2,-141%,A,-141%,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,,,,,,,,,,,,
3,Volaille Poulet,0209364038111,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Viande Française', 'Point Vert', 'Volaille-francaise']",,,,,,,,,,,,,
4,Ribs minute barbecue,2137310006434,['France'],[],[],?,311,1301 kj(311 kcal),27,11,"0,9",0,16,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Beignet de poisson thaï congelé,8854241009016,['France'],[],[],?,130,544 kj(130 kcal),3,1,15,5,9,"0,86","0,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Demi palette de porc demi-sel,0238143033658,['France'],[],[],?,144,602 kj(144 kcal),"8,3","3,4","0,4","0,4",17,"3,2","1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Terrine de campagne au piment d'espelette,3760197501915,['France'],[],[],?,323,1351 kj(323 kcal),29,12,"0,6","0,5",14,"1,4","0,56",,"['Viandes', 'Charcuteries', 'Terrines', 'Terrines de campagne']",29 g,en quantité élevée,12 g,en quantité élevée,0.5 g,en faible quantité,1.4 g,en quantité modérée,,0%,+0%,+2%,+11%,-74%,-42%,0%,-12%,-12%,20,+3%,E,+3%,,,,,,,,"['Fabriqué en France', 'Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,
8,Chili rice crackers,3760278204148,['France'],[],[],?,546,2284 kj(546 kcal),"32,2","2,8","60,5","14,4","3,6","1,42","0,568",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Pizza Leclerc,0212077042641,['France'],[],[],?,254,1063 kj(254 kcal),6,"4,1",32,2,13,"0,56","0,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
