,name,bar_code,brand,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,traceability_code,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,nova_score,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,packaging,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,manufacturing,link,ingredients_origins,allergens,generic_name,brand_owner,palm_ingredients
0,Miel de castaño ecológica tarro - Hijas del Sol,8412016366346,['Hijas del Sol'],['Bio'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Miel de corse - 250g,3378371151100,,,['France'],[],[],?,?,?,?,?,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Noix de Saint-Jacques du Canada - Costa,4008467053993,['Costa'],,['France'],[],[],?,80,"0,4","2,1",17,,335 kj(80 kcal),"0,1","0,5","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Paté de sanglier,3760148720044,,,['France'],[],[],?,284,23,4,15,,1188 kj(284 kcal),9,2,"1,53","0,612","['FR 04.001.007 CE', 'Aiglun (Alpes-de-Haute-Provence, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tony's Chocolonely,8717677339631,"[""Tony's Chocolonely""]",,['France'],[],[],?,539,35,44,"7,4",,2255 kj(539 kcal),"18,2","41,5","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Champagne Lanson -,3029440001412,,,['France'],[],[],?,?,?,?,?,,,,,,,,D,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins effervescents', 'Champagnes']",,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Fraicheur de coco,3279231359011,,,['France'],[],[],?,174,12,14,"1,1",,728 kj(174 kcal),11,12,"0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,крадецът на ябълки  сайдер - загорка - 1,3800022403073,['Загорка'],,['France'],"['D Bait САЙДЕР КРАДЕЦЪТ НА ЯБЪЛКИ ВИШНА', ' Алк', ' 4,5% Vol', ' Съставки вода', 'ябълков сок ', 'от концентрат захар', 'сок от вишна ', 'от концентрат', ' 5%', 'оцветител: черен морков концентрат', 'киселина ябълчн', ' киселина', 'антиоксидант: калиев метабисулфит', 'естествени ароматизанти', ' ХРАНИТЕЛНА СТОИНОСТ НА 100 ml: EHEPГИЙНА СТОЙНОСТ: 213 КJ /51 kcal', ' За повече хранителна информация посетете www', 'kradecat', 'b Произведено от 3агорка АД', 'България', 'Стара Загора', 'ул', ' Хан Аспарух 41', ' Да се съхранява на сухо хладно място', 'защитено от пряка слънчева светлина', ' ОПАКОВКА ЗА ЕДНОКРАТНА УПОТРЕБА', ' ГОДЕН ЗА УПОТРЕБА ДО КРАЯ НА: ВИЖ МАРКИРОВКАТА НА ДЪНОТО', ' БЕЗПЛАТНА ЛИНИЯ 0800 11 330 е0,33L 3 800022""403073 ALU НИ']",[],?,?,?,?,?,1,,,,,,,,"['Aliments et boissons à base de végétaux', 'Aliments et boissons à base de légumes']",,,,,,,,,,,,,"['E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']",4,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7500435106405,7500435106405,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Crème de noix de cajou & pépites de chocolat,3662790004315,,,['France'],[],[],?,591,"46,6","21,4","18,9",,2473 kj(591 kcal),"7,5","4,6","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Kohkae Peanut Coconut Flavour Size 190 G.,8852023006895,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Napolitanas Rellenas de crema,8410087272313,,,['France'],[],[],?,396,20,48,"4,9",,1657 kj(396 kcal),"9,9",20,"0,45","0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Bonbon fraise - Vidal,8413178004084,['Vidal'],,['France'],[],[],?,369,"1,7",86,"0,4",,1544 kj(369 kcal),"0,9",61,"0,24","0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,36g,3554740401223,,,['France'],[],[],?,?,?,?,?,36 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,FROM'JAMY à dorer - Sojami,3576569100149,['Sojami'],"['en:gluten-free', 'Agriculture UE/Non UE']",['France'],[],[],?,258,20,"0,6",17,,1079 kj(258 kcal),"3,1",0,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Mate cocido,7790387000856,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Colruyt - 350g,5400141136678,['Colruyt'],,['France'],[],[],?,?,?,?,?,350 g,,,,,,,,,,,,,,,,,,,,,,,['Colruyt'],,,,,,,,,,,,,,,,,,,,,,,,,
17,Quenelles de brochet sauce nantua - Malartre - 490g,21069314,['Malartre'],,['France'],[],[],?,?,?,?,?,490g,,,,,,,,"['Plats préparés', 'Plats préparés au poisson', 'Quenelles', 'Quenelles de poisson', 'Quenelles de brochet']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,3700790019868,3700790019868,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Rulade Cacao, Bisquit Und Kakao-creme",8007380150105,,,['France'],[],[],?,399,20,50,"3,9",,1669 kj(399 kcal),13,34,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Folle Envie,3760235780197,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Pâte de Colombo,3770000505054,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Miel de fleurs,3770001776194,,,['France'],[],[],?,?,?,?,?,,,,,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,3770004751037,3770004751037,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Rolnik Raifort 200Ml,5900919000458,,,['France'],[],[],?,410,3,12,"2,5",,1715 kj(410 kcal),"0,2",10,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,3432770045450,3432770045450,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Quetsches de nos vergers,3760225394632,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Fagotin Chili Piquant - Maredsous,3073781125689,['Maredsous'],,['France'],[],[],?,327,27,"0,1",21,,1368 kj(327 kcal),18,"0,1","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Belgian chocolates - Hema,8718537513031,['Hema'],"['Agriculture durable', 'en:UTZ Certified']",['France'],[],[],?,550,"34,6","53,2","5,8",,2301 kj(550 kcal),"20,2","50,4","0,24","0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
