,name,bar_code,eco_score,quantity,brand,categories,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,allergens,packaging,traceability_code,labels,markets,generic_name,ingredients_origins,palm_ingredients,manufacturing,link,brand_owner
0,Riz express basmati - Uncle Ben's - 400g,5010034002258,C,400 g,"[""Uncle Ben's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés', 'Riz de variété indica', 'Riz long grain', 'Riz Basmati', 'en:Microwave rice']",['France'],"['Riz basmati précuit à la vapeur ', '98%', 'huile de tournesol', 'sel']",[],3,1.8 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,0.45 g,en quantité modérée,656,-53%,155,-53%,656 kj(155 kcal),-53%,"1,8",+73%,"0,2",-17%,"30,9",-57%,0,-100%,"3,3",-56%,"0,45",+1157%,"0,18",+1157%,0,,B,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,,,,,,,,
1,Saucisses de porc,3760019296081,,,,"['Viandes', 'Charcuteries', 'Saucisses']",['France'],[],[],,13.1 g,en quantité modérée,5.5 g,en quantité élevée,0.9 g,en faible quantité,1.8 g,en quantité élevée,?,,190.7,-25%,798 kj(190 kcal),-25%,"13,1",-37%,"5,5",-31%,"0,9",-37%,"0,9",+20%,"17,3",+15%,"1,8",-8%,"0,72",-8%,14,-20%,D,-20%,,,,,,,,,,,,,,,,,,,
2,Blanc de poulet,6065756194018,D,,,"['Viandes', 'Charcuteries', 'Volailles', 'Poulets', 'Charcuteries cuites', 'Blancs de volaille en tranches', 'Blancs de poulet en tranches']",['France'],[],[],,1.6 g,en faible quantité,0.4 g,en faible quantité,0.5 g,en faible quantité,1.8 g,en quantité élevée,?,,98,-8%,410 kj(98 kcal),-8%,"1,6",-22%,"0,4",-34%,"0,5",-54%,"0,5",-41%,21,+1%,"1,8",-3%,"0,72",-3%,3,-33%,C,-33%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,
3,Brioche pepite chocolat lait - Les Delices Dauphinois - 400g,3760058621004,B,400 g,['Les Delices Dauphinois'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains briochés', 'en:Chocolate chip bread']",['France'],"['Farine de ble 42', '6% ', 'farine de ble', 'farine de ble malte', 'gluten', 'oeufs 18', '9%', ""beurre d'isigny 11"", '9%', 'pepites de chocolat 9', '8% ', 'sucre', 'pate de cacao', 'emulsifiant : lecithines de tournesol', 'arome vanille', 'sucre', ""creme d'isigny 4%"", 'levure fraiche de boulanger', 'lait entier 1', '7%', ""emulsifiants :mono et diglycerides d'acides gras "", ""100% d'origine vegetale"", 'pour maintenir le moelleux de vos brioches', 'sel', 'antioxydants : acide ascorbique', ' Traces possibles de fruits a coques']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,19 g,en quantité modérée,12 g,en quantité élevée,16 g,en quantité élevée,0.91 g,en quantité modérée,1668,+17%,398,+22%,1668 kj(398 kcal),+22%,19,+106%,12,+268%,49,-3%,16,+51%,"8,8",+4%,"0,91",-11%,"0,364",-11%,21,+125%,E,+125%,71.4%,16.0%,8.3%,3.7%,0.6%,0.0%,82,"['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E300 - Acide ascorbique']","['Œufs', 'Gluten', 'Lait']",,,,,,,,,,
4,Vin de provence,3604894759715,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,0,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sofram,3396400000397,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Salade futee,2270776000308,,,,,['France'],[],[],,,,,,,,,,?,,674,,2820 kj(674 kcal),,59,,"6,1",,"1,7",,"1,7",,24,,0,,0,,,,,,,,,,,,,,,['Film en plastique'],,,,,,,,,
7,El falafel,4260174655963,,,,,['France'],[],[],,,,,,,,,,?,,148,,619 kj(148 kcal),,"3,7",,"0,5",,22,,"2,2",,11,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,
8,Paves marines 2poivres - Jean Rozé,0210734026768,,,['Jean Rozé'],,['France'],[],[],,,,,,,,,,?,,116,,485 kj(116 kcal),,"3,6",,1,,"0,5",,"0,5",,20,,"1,1",,"0,44",,,,,,,,,,,,,,,,"['FR 35.360.005 CE', 'Vitré (Ille-et-Vilaine, France)']",,,,,,,,
9,Tarama rose - Delicemer,3760036825028,,,['Delicemer'],,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
10,Supreme de Langoustines - 780g,3272641118513,,780 g,,,['France'],[],[],,,,,,,,,,?,,53,,222 kj(53 kcal),,"2,3",,"1,1",,"2,5",,"1,9",,"5,2",,"0,7",,"0,28",,,,,,,,,,,,,,,,,['Sans additifs'],,,,,,,
11,Cranberry And Raspberry Instant Tea 450 g (pack Of 2) - Whittard,5022032106760,,,['Whittard'],,['France'],[],[],,,,,,,,,,?,,38,,159 kj(38 kcal),,0,,0,,"9,3",,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
12,Cardon au naturel,00001022,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Norwegischer Gurkensalat - 330g,4009309622612,,330 g,,,"['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Glas'],,,,,,,,,
14,Fromage cheddar barre,2092381010691,,,,,['France'],[],[],,,,,,,,,,?,,415,,1736 kj(415 kcal),,35,,22,,"0,5",,"0,5",,25,,18,,"7,2",,,,,,,,,,,,,,,,,,['Auchan'],,,,,,
15,pickled onions - 220g,4260218310278,,220 g,,,['France'],[],[],,,,,,,,,,?,,52,,218 kj(52 kcal),,"0,1",,0,,"8,1",,"8,1",,"0,6",,"1,94",,"0,776",,,,,,,,,,,,,,,,,,,,,,,,
16,Thousand Island - Real Quality,4334011150185,D,,['Real Quality'],"['Epicerie', 'Sauces', 'Sauces salades']","['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,['Flasche'],,,,,,,,,
