,name,bar_code,packaging,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,labels,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,nova_score,traceability_code,additives,generic_name,manufacturing,link,ingredients_origins,palm_ingredients,brand_owner,producer_info,origin_detail
0,Salade et penne poulet bacon - Lidl,4056489138839,['Sachet'],['Lidl'],['France'],[],[],?,171,715 kj(171 kcal),"7,9","1,1",17,"1,6","7,2","0,79","0,316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Muesli Abricot, datte, pruneau & baies de goji - Biocoop - 500g",3760121214492,['Sachet'],['Biocoop'],['France'],[],[],?,335,1402 kj(335 kcal),"2,5","0,4",64,13,"9,1","0,02","0,008",A,500 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Mueslis', 'Flocons de céréales', 'Céréales aux fruits', 'Céréales extrudées', 'Flocons extrudés', 'Mueslis aux fruits', 'Pétales multicéréales']","['Bio', 'Bio européen', 'Commerce équitable', 'Agriculture UE', 'Sans sucre ajouté', 'AB Agriculture Biologique']",['Biocoop'],2.5 g,en faible quantité,0.4 g,en faible quantité,13 g,en quantité élevée,0.02 g,en faible quantité,,-16%,-16%,-76%,-85%,+4%,-28%,-5%,-86%,-86%,-4,-217%,A,-217%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,,,,,,,,,,
2,"Jus d'orange ""Sélection Douceur"" - Jafaden",3564706574175,,['Jafaden'],['France'],[],[],?,40,167 kj(40 kcal),"0,5","0,1","9,5","9,5","0,5","0,01","0,004",D,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange""]",['Nutriscore'],,0.5 g,en faible quantité,0.1 g,en faible quantité,9.5 g,en quantité élevée,0.01 g,en faible quantité,,-7%,-8%,+199%,+266%,-2%,+4%,-20%,+17%,+17%,3,0%,C,0%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,
3,Sauce tomate basilic - Delicato - 420g,26074924,"['Pot en verre', 'Couvercle en métal']",['Delicato'],['France'],[],[],?,56,234 kj(56 kcal),"1,5","0,2","8,6","5,5","0,9","0,88","0,352",A,420 g,"['Epicerie', 'Sauces', 'Sauces tomate', 'Sauces tomates au basilic']",,,1.5 g,en faible quantité,0.2 g,en faible quantité,5.5 g,en quantité modérée,0.88 g,en quantité modérée,,-14%,-12%,-50%,-54%,+41%,+11%,-43%,+3%,+3%,4,+1632%,C,+1632%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,,,,,,,,,,,,
4,Snack Pois saveur Crème oignon - U - 60g,3256227744167,,['U'],['France'],"['Farine de pois cassés 76%', 'farine de riz', 'huile de tournesol', 'arôme naturel ', 'contient lait', 'fibre de pomme', "" traces éventuelles d'arachides"", 'de crustacés et de gluten']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",1172,421,1172 kj(421 kcal),12,"1,1",57,"5,1",18,"0,89","0,356",,60 g,"['Snacks', 'Snacks salés']",,['Magasins U'],12 g,en quantité modérée,1.1 g,en faible quantité,5.1 g,en quantité modérée,0.89 g,en quantité modérée,-40%,-9%,-39%,-50%,-74%,+19%,+56%,+112%,-42%,-42%,-2,-116%,A,-116%,,,,,,,,['Lait'],4,,,,,,,,,,
5,Granola Coco-Amande,3770006003264,,,['France'],[],[],?,431,1803 kj(431 kcal),"20,3","5,9","51,8","17,4","12,2","0,2","0,08",,,,"['Bio', 'Bio européen', 'Sans gluten', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ALEVIA délice végétal -  - 4x 100g,3701002403833,,,['France'],"['jus de soja 99,5 % ', 'eau', 'graines de soja décortiquées sans OGM 8,5 %', 'amidon de riz', ' gélifiant : pectine', 'ferments lactiques']",[],?,41,172 kj(41 kcal),"1,8","0,2","1,9","0,6","3,9","0,05","0,02",,4 x 100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Lait'],4,"['EMB 17028', 'Aytré (Charente-Maritime, France)', 'FR 17.028.001 CE', 'Aytré (Charente-Maritime, France)']",['E440 - Pectines'],,,,,,,,
7,Riz complet - Uncle Ben's - 250g,3487400003720,['Sachet micro-ondable'],"[""Uncle Ben's""]",['France'],"['Riz complet précuit à la vapeur ', '98%', 'huile de tournesol', 'sel']",[],691,164,691 kj(164 kcal),"2,5","0,5",31,"0,5","3,7",,,C,250 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz complet']","['Sans colorants', 'Sans arômes ajoutés', 'Sans conservateurs']",,2.5 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,,,-50%,-51%,-51%,-5%,-10%,-54%,-25%,-50%,,,,,,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,3,,,Riz Complet Nature Express,['Marboué'],https://www.unclebens.fr/,,,,,
8,Mimolette vieille - Auchan - 200g,3596710470693,,['Auchan'],['France'],[],[],?,385,1611 kj(385 kcal),29,21,0,0,31,"2,9","1,16",D,200g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Mimolettes', 'Mimolettes vieilles', 'Fromages-du-nord-pas-de-calais']",,['Auchan'],29 g,en quantité élevée,21 g,en quantité élevée,0 g,en faible quantité,2.9 g,en quantité élevée,,-1%,+0%,+1%,+7%,-100%,-100%,-2%,-3%,-3%,19,0%,E,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,"['FR 44.023.001 CE', 'Bouvron (Loire-Atlantique, France)']",,,,,,,,,
9,Candy up chocolaté - Candia,2952249882919,"['Carton', 'plastique']",['Candia'],['France'],[],[],?,60,251 kj(60 kcal),1,"0,7",10,"9,7","2,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
