,name,bar_code,packaging,brand,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,categories,labels,ingredients_origins,traceability_code,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,palm_ingredients,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,manufacturing,link,producer_info,brand_owner,origin_detail
0,Purée d'Aromates - Tomates séchées - Maggi,7613036436755,['Plastique'],['Maggi'],['Magasins U'],['France'],"['Tomate séchée réhydratée ', 'tomate séchée*', 'eau', 'sel 49 %,huile de tournesol extra* 15%', 'oignon* et oignon frit ', 'oignon*', 'huile de tournesol', 'tomate concassée ', 'tomate*', 'jus de tomate', 'poudre de tomate*,herbes de Provence 2% thym* origan*', "" pulpe d'ail "", 'ail* huile de tournesol*', 'sel', 'jus de citron concentré', 'poivre* sel de Camargue*']",[],?,158,661 kj(158 kcal),"9,1","1,3",13,"6,1","2,9","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Bircher Müesli Baies - Emmi - 200g,7613100001049,,['Emmi'],['Coop'],"['France', 'Suisse']","['Yogourt au lait pasteurisé 50%', 'fruits 30% ', 'pommes 12%', 'mûres 7%', 'fraises 6%', 'ananas 5%', 'sucre', 'flocons de céréales 7% ', 'blé', 'avoine', 'épaississant pectin', 'concentré de jus de citron', 'concentré de jus de betterave rouge', 'noisettes', 'arôme']",['Non végétalien'],450,?,450 kj(108 kcal),2,1,18,14,3,"0,08","0,032",200 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux céréales', 'Yaourts mixés']",['Fabriqué en Suisse'],['Suisse'],['CH-2410'],['E440 - Pectines'],"['Gluten', 'Fruits à coque', 'Avoine']",4,2 g,en faible quantité,1 g,en faible quantité,14 g,en quantité élevée,0.08 g,en faible quantité,+19%,,+18%,-22%,-39%,+40%,+14%,-19%,-32%,-32%,3,+46%,C,+46%,,,,,,,,,,,,,,,
2,Petits pains croustillants - M Classic - 225g,7613269370314,,['M Classic'],['Migros'],"['France', 'Suisse']","['Farine de blé', 'blé broyé 32%', 'sucre', 'margarine végétale ', 'huile de palme', 'huile de colza', 'eau', 'émulsifiant: E 471', 'levure', 'protéine de blé', 'sel de cuisine iodé', 'poudres à lever: E 500', 'E 450', 'amidon de blé', 'émulsifiant: E 472e', ""farine de malt d'orge""]","['Huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",1656,392,1656 kj(392 kcal),6,"2,5",70,8,12,"1,7","0,68",225 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E500 - Carbonates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras""]",['Gluten'],4,6 g,en quantité modérée,2.5 g,en quantité modérée,8 g,en quantité modérée,1.7 g,en quantité élevée,+22%,+20%,+20%,-2%,+114%,+28%,+104%,+26%,+33%,+33%,9,+76%,C,+76%,['Huile de palme'],,,,,,,,,,,,,,
3,Happy bread fonce Terrasuisse - Migros - 350g,7613269412465,,['Migros'],,"['France', 'Suisse']",[],[],1111,263,1111 kj(263 kcal),4,"0,5",44,"2,5",11,"1,7","0,68",350 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",,,,,,,4 g,en quantité modérée,0.5 g,en faible quantité,2.5 g,en faible quantité,1.7 g,en quantité élevée,-18%,-20%,-19%,-35%,-57%,-20%,-36%,+16%,+33%,+33%,2,-61%,B,-61%,,,,,,,,,,,,,,,
4,Joghurt léger - 180g,7613269779735,,['Léger'],['Migros'],"['France', 'Suisse']",[],[],?,47,197 kj(47 kcal),"0,1",0,7,7,"4,5","0,1","0,04",180 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts allégés en matière grasse']","['Agriculture durable', 'en:UTZ Certified']",,,,,,0.1 g,en faible quantité,0 g,en faible quantité,7 g,en quantité modérée,0.1 g,en faible quantité,,-24%,-19%,-82%,-100%,-10%,-3%,-2%,-32%,-32%,-1,,A,,,,,,,,,,,,,,,,
5,Double crème de la gruyère - Migros - 250ml,7613269872221,"['Barquette', 'Vasetto']",['Migros'],,"['France', 'Suisse']",[],[],?,437,1828 kj(437 kcal),"46,3","27,5",3,3,2,"0,1","0,04",250 ml,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages double crème']",,['Svizzera'],,,['Lait'],,46.3 g,en quantité élevée,27.5 g,en quantité élevée,3 g,en faible quantité,0.1 g,en faible quantité,,+32%,+31%,+53%,+32%,+84%,+161%,-85%,-93%,-93%,14,-5%,D,-5%,,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,
6,Bauernbrot - Jowa,7613269894339,,['Jowa'],,"['France', 'Suisse']","['eau', 'amidon de tapioca modifié', 'farine de riz', 'amidon de maïs', 'farine de sarrasin 8%', 'amidon de pommes de terre', 'sirop de riz', 'huile de tournesol', 'psyllium', 'levain déshydraté ', 'sarrasin', 'quinoa', 'levure', 'sel de cuisine', 'épaississant: hydroxypropylméthylcel - lulose', ""extrait de malt d'ORGE grillé sans gluten"", 'acidifiant: acétate de calcium', ' Peut contenir fruits à coque', 'sésame', 'soja', 'protéine du lait', 'œufs']",['Non végétalien'],?,276,1155 kj(276 kcal),"4,6","0,4",54,"4,2","2,1","1,7","0,68",,,['en:gluten-free'],,,['E263 - Acétate de calcium'],['Gluten'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Party Sticks (poulet), Fleisch - Malbuner - 40g",7613292144456,,['Malbuner'],,"['France', 'Suisse']","['viande de poulet', 'sel nitrité pour saumure ', 'sel de cuisine,\rconservateur: E 250', 'glucose', 'arômes', 'antioxydant: E 301']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1241,296,1241 kj(296 kcal),14,"4,2","1,5",1,41,"5,4","2,16",40 g,,,,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Yogourt Vanille Bio - coop naturaplan - 180g,7613331818454,"['pot en plastique', 'carton']",['coop naturaplan'],,"['France', 'Suisse']","['Lait entier ', 'homogénéisé', 'pasteurisé [Suisse]', 'sucre de canne brut* ', 'Amérique centrale et Amérique du Sud', 'protéines lactiques', 'fécule de manioc', 'extrait de vanille* ', 'Madagascar', 'graines de vanille* ', 'Madagascar', 'concentré de jus de citron', ' *Ingrédients conformes aux standards du commerce équitable Fairtrade', ' 76,5% du poids total sans lait', ' Dont sucre de canne brut avec bilan de masse']",['Non végétalien'],?,100,418 kj(100 kcal),"3,4","2,1",13,12,"4,3","0,1","0,04",180 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts vanille']","['Bio', 'Bio européen', 'Commerce équitable', 'CH-BIO-006', 'Fairtrade International', 'Max Havelaar', 'en:Bio', 'en:Bio européen', 'en:Commerce équitable']",['en:lait de Suisse'],,,['Lait'],4,3.4 g,en quantité modérée,2.1 g,en quantité modérée,12 g,en quantité modérée,0.1 g,en faible quantité,,+3%,+3%,-3%,-7%,+9%,+8%,+12%,-7%,-7%,3,+12%,C,+12%,,,,,,,,,,,,,,,
9,Porridge aux baies sans sucres ajoutés - Naturaplan - 320g,7613356111189,"['Carton', 'Sachet', 'Plastique']","['Naturaplan', 'Coop']",['Coop'],"['France', 'Suisse']","['flocons d’avoine ', 'Allemagne', 'Autruche', 'République tchèque', 'flocons de fruits ', 'farines de céréales [froment', 'seigle', 'orge]', 'pulpe de datte', 'purée de pommes', 'purées de bananes', 'baies lyophilisées 4,5% ', 'fraises ', 'Pologne', 'Turquie]', 'framboises [Bulgarie', 'Pologne', 'Serbie,]']",[],1590,380,1590 kj(380 kcal),6,1,64,12,12,"0,02","0,008",320 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Céréales aux fruits', 'Porridge', 'Porridge aux fruits']","['Bio', 'Bio européen', 'CH-BIO-006', 'Sans sucre ajouté', 'Bourgeon-bio']","['Bulgarie', 'Europe', 'Monténégro', 'Pologne', 'Serbie', 'Suisse', 'Turquie']",,,"['Gluten', 'Avoine']",1,6 g,en quantité modérée,1 g,en faible quantité,12 g,en quantité modérée,0.02 g,en faible quantité,,+5%,+5%,-13%,-22%,+9%,-8%,+13%,+4%,+4%,-4,,A,,,B,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,Flocons d'avoine avec des flocons de fruits et des baies,"['Bio-familia AG', 'Sachseln', 'Suisse']",,,,
10,Coop Karma Dim Sum Betty Bossi - 160g,7613356166615,,['Betty bossi'],,"['France', 'Suisse']","['légumes 33 % ', 'carottes', 'chou chinois', 'chou', 'poireaux', 'oignons', 'eau', 'amidons ', 'maïs', 'manioc', 'farine de riz', 'shiitakés 3%', 'huiles végétales ', 'sésame', 'soja', ""préparation d'épices "", 'avec fèves de soja', 'sésame', 'farine de froment', 'coriandre', 'sauce au soja ', 'avec farine de froment', 'sucre', 'sel de cuisine', 'gingembre', 'ail', 'chili', 'amidon de maïs modifié ', 'E 1422', 'poivre']","['Végétalien', 'Végétarien']",650,163,650 kj(163 kcal),"2,5","0,4",32,"2,2",2,"0,7","0,28",160 g,,"['Végétarien', 'Végétalien']",,,['E1422 - Adipate de diamidon acétylé'],"['Gluten', 'Graines de sésame', 'Soja']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
