,name,bar_code,eco_score,quantity,packaging,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,traceability_code,ingredients_origins,manufacturing,markets,palm_ingredients,brand_owner,origin_detail,producer_info,generic_name,link
0,Mini Gratin de Pommes de Terre au Comté - Cité Marine - 400g,3492500052547,B,400 g,"['Carton', 'surgelé', 'Plastique']",['Cité Marine'],"['Surgelés', 'Plats préparés', 'Gratins', 'Gratins de pomme de terre', 'Plats préparés surgelés', 'Plats préparés à réchauffer au micro-ondes']",['France'],"['Pommes de terre précuites ', 'pommes de terre', 'sel', ' 50 %', 'eau', 'lait demi écrémé', 'crème', 'comté 7 %', 'emmental', 'fécule de pomme de terre', 'épaississants : E461 - E412 - E415', 'sel', 'aromate', 'épice', 'arôme naturel ', 'contient lait ']","['E461 - Méthylcellulose', 'E412 - Gomme de guar', 'E415 - Gomme xanthane']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,6.3 g,en quantité modérée,4.3 g,en quantité modérée,1.7 g,en faible quantité,0.6 g,en quantité modérée,?,,123,-7%,515 kj(123 kcal),-5%,"6,3",-9%,"4,3",+6%,"11,7",+5%,"1,7",+8%,"4,3",+2%,"0,6",-17%,"0,24",-17%,5,-2%,C,-2%,54.5%,21.7%,7.8%,8.5%,4.4%,3.1%,89,,,,,,,,,,,
1,Filets de colin d'Alaska MSC meunière - Cité Marine,3492500060115,E,,,['Cité Marine'],"['Produits de la mer', 'Poissons', 'Préparations de poisson', 'Produits panés', 'Poissons panés', 'en:Filets de colin']",['France'],"['Filet de colin dlAlaska', 'sans arête ', '*', 'meunière', 'cuit', 'réfrigéré', ' : Filet de colin dlAlaska 75%', ' Enrobage 25% : eau', 'huiles végétales ', 'tournesol', 'colza', 'farine de blé', 'fécule de pomme de terre', 'amidon modifié de maïs', 'sel', 'gluten de blé', 'sucre', 'lactose et protéines de lait', 'arômes', 'dextrose', 'poudre dlœuf entier', 'persil déshydraté', 'colorarb : carotène et de paprika et de curcuma', 'épaiss•nb', ' E461 - E412 - E415', 'amidon modifie de tapioca', 'poudres à lever : E450i - E500ii', ' [% exprimés sur la œtté du produit] Traces possibles de mollusques', ' Les informations en gras sont destinées aux personnes intolérantes ou allergiques']","['E14XX - Amidons modifiés', 'E461 - Méthylcellulose', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium']","['Gluten', 'Lait']",['Non végétalien'],4,6.6 g,en quantité modérée,0.7 g,en faible quantité,0.2 g,en faible quantité,0.77 g,en quantité modérée,?,,160,+20%,669 kj(160 kcal),+20%,"6,6",+49%,"0,7",+38%,13,+48%,"0,2",-72%,"11,7",-13%,"0,77",+28%,"0,308",+28%,-1,,A,,88.5%,2.2%,1.2%,5.1%,0.6%,2.3%,21,"['Fabriqué en France', 'Nutriscore', 'Nutriscore B']","['FR 56.094.004 CE', 'Kervignac (Morbihan, France)']",,,,,,,,,
2,Plateau asiatique le Cantonnais - 400g,3492590040059,,400 g,"['Barquette plastique', 'Frais', 'Plastique']",['Le Cantonnais'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Réfrigérés', 'Plats préparés réfrigérés']",['France'],[],,,[],,9.1 g,en quantité modérée,2.2 g,en quantité modérée,3.2 g,en faible quantité,1.7 g,en quantité élevée,?,,217,+19%,908 kj(217 kcal),+20%,"9,1",-1%,"2,2",-22%,"24,8",+68%,"3,2",+47%,"8,3",+11%,"1,7",+65%,"0,68",+65%,11,+122%,D,+122%,,,,,,,,"['Point Vert', 'Fabriqué en France']","['FR 31.420.023 CE', 'Pinsaguel (Haute-Garonne, France)']",['Espagne'],"['Pinsaguel', 'France']",['Netto'],,,,,,
3,Raviolis Farce Vegetale - La reserve de champlat,3493833002384,,,,['La reserve de champlat'],,['France'],"['Ravioli : Pâte ', '75%', ': Semoule de blé dur*', 'eau', ' Farce ', '25%', ' : couscous*', 'carottes*', 'poivrons*', 'oignons*', 'chapelure*', 'huile de tournesol*', 'sel', 'tomates*', 'ail*', 'épices*', "" Sauce : Coulis de tomate de Provence à l'Ancienne*"", 'eau', 'oignons*', 'carottes*', 'sel de Guérande', ""huile d'olive vierge extra*"", 'herbes*', "" *Produit issu de l'agriculture biologique""]",,['Gluten'],[],,,,,,,,,,?,,63,,264 kj(63 kcal),,1,,"0,2",,10,,2,,"2,5",,"0,5",,"0,2",,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'Sans additifs']",,,,['Biocoop Caluire'],,,,,,
4,Baguette - Uo,3495562594659,,,,['Uo'],,['France'],[],,,[],,,,,,,,,,?,,251,,1050 kj(251 kcal),,"0,8",,"0,24",,"51,2",,"2,5",,"8,4",,"1,32",,"0,528",,,,,,,,,,,,,,,,,,,,,,,
5,Plateau Apertif La Frandole,3498976600602,,,,,,['France'],[],,,[],,,,,,,,,,?,,245,,1025 kj(245 kcal),,21,,"3,2",,"4,4",,"2,2",,"8,8",,"2,5",,1,,,,,,,,,,,,,,,,,,,,,,,
6,Pâte à tartiner Chocolat au lait Caramel & Sel de Guérande - Bovetti - 350g,3501940365008,,350 g,['Pot'],['Bovetti'],,['France'],"['NOISETTES', 'chocolat au lait à 38% de cacao ', 'sucre', 'beurre de cacao', 'poudre de LAIT entier', 'masse de cacao', 'extait de vanille', 'huile de colza', 'sirop de glucose', 'caramel ', 'sucre', 'Poudre de LAIT entier', 'BEURRE', 'sucre', 'sel de Guérande', 'arôme naturel', 'colorant : caramel nature']",,"['Lait', 'Fruits à coque']","['Sans huile de palme', 'Non végétalien']",4,,,,,,,,,?,,625,,2615 kj(625 kcal),,49,,10,,34,,28,,9,,"0,225",,"0,09",,,,,,,,,,,,,"['en:gluten-free', 'en:palm-oil-free']",,,,,,,,,,
7,Mélange Marseillais - Leader Price - 200g,3502791164192,,200 g,,"['Leader Price', 'Le Vieux Bistro']",,['France'],"['arachide ', 'arachide', 'sel', 'farine de blé', 'pois chiche grillé ', 'pois chiche', 'sel', 'maïs grillé ', 'maïs', 'huile de palme', 'sel', 'fève grillées ', 'fève', 'huile de palme', 'sel']",,"['Gluten', 'Arachides']","['Huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,,?,,465,,1946 kj(465 kcal),,27,,"4,9",,30,,"6,6",,21,,"1,575",,"0,63",,,,,,,,,,,,,,,,['France'],['Leader Price'],['Huile de palme'],,,,,
8,Cribich -,3503610010119,,,,,,['France'],"['Semoule de maïs certifiée sans OGM 58%', ' huile végétale ', 'Tournesol ou Colza', ' assaisonnement fromage ', 'farine de blé ', 'gluten', 'sel', ' poudre de lactosérum ', 'lait', 'poudre de babeurre ', 'lait', 'poudre de fromage cheddar 10 % ', 'lait', 'sucre', 'exhausteur de goût : glutamate de sodium E621', 'colorant naturel : Paprika E160c', 'arômes', ""poudre d'oignons""]","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']","['Gluten', 'Lait']",['Non végétalien'],4,,,,,,,,,?,,558,,2335 kj(558 kcal),,"34,7",,"4,1",,"53,5",,"2,6",,"7,2",,"1,12",,"0,448",,,,,,,,,,,,,,,,,,,,,,,
9,Nektar Granini Maracuja,3503780006370,C,,,['Granini'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits']",['France'],[],,,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,10 g,en quantité élevée,0.013 g,en faible quantité,?,,45,0%,188 kj(45 kcal),+1%,"0,5",+216%,"0,1",+276%,10,-4%,10,+4%,"0,5",+48%,"0,013",+24%,"0,005",+24%,14,+107%,E,+107%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,,,,,,,,,,,
