,name,bar_code,quantity,brand,categories,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,salt_quantity,salt_comment,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,ingredients_origins,traceability_code,markets,manufacturing,allergens,nova_score,additives,generic_name,link,brand_owner,origin_detail,producer_info,palm_ingredients
0,Salgam - Kemal kukker - 750,8694748815037,750,['Kemal kukker'],['tr:İçeçek'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ciliegie - Zuegg,80242338,,['Zuegg'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures']",['France'],[],[],?,156,0,"37,4","0,6",C,"['Bio', 'Bio européen', 'en:gluten-free', 'DE-ÖKO-006']",0 g,en faible quantité,0 g,en faible quantité,35.7 g,en quantité élevée,,-30%,653 kj(156 kcal),-30%,-100%,0,-100%,-30%,"35,7",-30%,+16%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,,,,,,,,,,,,
2,10 Oeufs Frais,3573202330116,,,"[""Produits d'élevages"", 'Œufs']",['France'],[],[],?,506,"0,5",4,12,D,,0.5 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,,+283%,2117 kj(506 kcal),+280%,-95%,"0,5",-79%,+489%,0,-100%,-2%,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,0.01 g,en faible quantité,"0,01",-96%,"0,004",-96%,1,,B,,,,,,,,,,,,,,,
3,Filets de poulet Extra tendres - Volandrie,3564706609181,,"['Volandrie', 'Marque Repère']","['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['France'],[],[],?,101,"1,9",0,21,C,"['Nutriscore', 'Nutriscore B']",1.9 g,en faible quantité,0.6 g,en faible quantité,0 g,en faible quantité,,-23%,423 kj(101 kcal),-22%,-34%,"0,6",-20%,-100%,0,-100%,-8%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,1.1 g,en quantité modérée,"1,1",+47%,"0,44",+47%,0,,B,,['Barquette'],['France'],"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",['Leclerc'],,,,,,,,,,
4,Aper'olives - Tokapi - 250g (150g égoutté),3564706612853,250 g (150 g égoutté),"['Tokapi', 'Marque Repère']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives farcies', 'Olives vertes farcies', 'Olives vertes farcies au poivron']",['France'],[],[],?,141,14,"1,2","1,1",B,"['Nutriscore', 'Nutriscore C']",14 g,en quantité modérée,2.1 g,en quantité modérée,0.5 g,en faible quantité,,-1%,590 kj(141 kcal),-1%,+1%,"2,1",-9%,-37%,"0,5",+102%,0%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,3.4 g,en quantité élevée,"3,4",-2%,"1,36",-2%,10,-11%,C,-11%,"['Sachet', 'Plastique']",,"['EMB 34301B', 'Sète (Hérault, France)']",['Leclerc'],['Maroc'],,,,,,,,,
5,Infusion énergie tonifiante,3510130620100,,,,['France'],[],[],?,0,0,0,0,,,,,,,,,,,0 kj(0 kcal),,,0,,,0,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
6,Canaillou émincé en gelée pour chat,3250392415235,,,,['France'],[],[],?,50,5,6,6,,,,,,,,,,,209 kj(50 kcal),,,3,,,5,,,,,,,,,,,,2,,"0,8",,,,,,,,,,,,,,,,,,,
7,Oeuf - Auchan,3596710479306,,"['Auchan', 'Groupe Auchan', 'Auchan Production']","[""Produits d'élevages"", 'Œufs', 'Œufs de poules', 'Œufs de poules élevées au sol']",['France'],[],[],?,140,"9,8","0,5",13,D,"['Nutriscore', 'Nutriscore A']",9.8 g,en quantité modérée,2.6 g,en quantité modérée,0.5 g,en faible quantité,,0%,586 kj(140 kcal),-1%,-2%,"2,6",+4%,-8%,"0,5",+14%,+3%,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,0.3 g,en quantité modérée,"0,3",+7%,"0,12",+7%,-1,,A,,,,,['Auchan'],,,,,,,,,,
8,Conchiglie tricolore - Sacla - 500g,8001060035393,500 g,['Sacla'],,['France'],[],[],?,358,"1,5",73,"11,5",,,,,,,,,,,1498 kj(358 kcal),,,"0,3",,,"3,5",,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
9,Salsa pronta di pomodoro ciliegino,8003140801331,,,,['France'],[],[],?,40,"0,25","7,3","0,6",,,,,,,,,,,167 kj(40 kcal),,,"0,05",,,6,,,,,,,,,,,,"0,74",,"0,296",,,,,,,,,,,,,,,,,,,
