,name,bar_code,quantity,packaging,brand,labels,traceability_code,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,categories,ingredients_origins,manufacturing,link,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,origin_detail,palm_ingredients,brand_owner,producer_info
0,Poulet - Moutarde à l'ancienne - Fleury Michon - 150g,3302740046957,150 g,"['Film en plastique', 'Barquette en carton']",['Fleury Michon'],"['Nutriscore', 'Nutriscore C']","['FR 85.140.001 CE', 'Meilleraie-Tillay (Vendée, France)']",['France'],"['Filet de poulet 82%', ""moutarde\xa0à l'ancienne 5"", '5% ', ' eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'moutarde 4', '9% ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'eau', 'huile de colza', 'sel', 'fécule de manioc', 'curry', 'colorant : lutéine', 'conservateur : nitrite de sodium']","['E161b - Lutéine', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",['Moutarde'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,604,?,604 kj(144 kcal),"4,9","0,7","1,2","< 0,5",24,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Poulet - Citron & touche de Thym - Fleury Michon - 150g,3302740046964,150 g,"['Film en plastique', 'Barquette en carton']",['Fleury Michon'],"['Nutriscore', 'Nutriscore C']","['FR 85.140.001 CE', 'Meilleraie-Tillay (Vendée, France)']",['France'],"['Filet de poulet 86%', ""huile d'olive"", 'zeste et jus de citron 2', '1%', 'fécule de manioc', 'sel', 'thym 0', '4%', 'colorant : lutéine', 'poivre', 'conservateur : nitrite de sodium']","['E161b - Lutéine', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,"['Non végétalien', 'Non végétarien']",4,608,?,608 kj(145 kcal),"4,2","1,1","1,6","< 0,5",25,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Jambon à l’ancienne,2602657022565,,,,,,['France'],[],,,[],,?,3.1,13 kj(3 kcal),"3,1","1,4","0,5","0,5",23,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Bacche Di Goji,8018699018116,,,,,,['France'],[],,,[],,?,365,1527 kj(365 kcal),"3,4","0,6",66,64,13,"0,47","0,188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Luxury cookie triple chocolate,8010247010139,,,,,,['France'],[],,,[],,?,485,2029 kj(485 kcal),22,15,64,35,"6,43","0,24","0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Danao pêche abricot,2957664319969,,,,,,['France'],[],,,[],,?,43,180 kj(43 kcal),"0,1",0,"9,3","8,7","0,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Miel d’Acacia,3377517600021,,,,,,['France'],[],,,[],,?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Recette de saucisses fumées aux légumes verts Ô P’tits Légumes - Madrange - 330g,3180940089116,330 g,"['sous vide', 'Sachet', 'Plastique']",['Madrange'],"['Viande Française', 'Viande Porcine Française', 'Sans colorants', 'Nutriscore', 'Nutriscore B', ""Saveurs de l'Année"", ""Saveurs de l'Année 2021""]","['EMB 95280', ""Goussainville (Val-d'Oise, France)"", 'FR 95.280.001 CE', ""Goussainville (Val-d'Oise, France)""]",['France'],"['Viande de porc 49%', 'brocolis 8,9%', 'petits pois 7,4%', 'épinards 6,4%', 'haricots verts 6,4%', 'courgettes 5,5%', 'pois cassés cuits 3,5% ', 'eau', 'pois cassés 1,5%', 'huile de colza', 'oignons grillés 2,5%', 'bouillon de porc déshydraté', 'arôme naturel', 'sel de mer et minéraux de mer ', 'potassium', 'magnésium', 'calcium', 'fibres végétales', 'fécule de pomme de terre', 'sucre de canne', 'échalote 1,0%', 'persil 1,0%', 'ciboulette 0,7%', 'bouillon ', 'blette', 'acérola', 'carotte', 'muscade 0,02%', 'ferments', '\r Porc français élevé sans antibiotique dès la fin du sevrage ', '42e jour', '\rBrocolis', 'petits pois', 'épinards', 'haricots verts', 'courgettes', 'oignons grillés', 'bouillon de porc déshydraté', 'échalote', 'persil', 'ciboulette origine UE', '\rPois cassés cuits origine UE et non UE', '\rMuscade origine non UE']",,,"['Non végétalien', 'Non végétarien']",4,804,193,804 kj(193 kcal),12,"4,2","7,6","2,3",12,"1,1","0,44",D,SAUCISSES CUITES FUMÉES AUX LÉGUMES,"['Viandes', 'Plats préparés', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Légumes préparés', 'Saucisses de Strasbourg', 'Knacks industrielles', 'Saucisses fumées']","['France', 'Union européenne', 'Non Union Européenne']",['France'],https://www.madrange.fr/nos-produits/recette-de-saucisses-fumees-aux-legumes-verts/,12 g,en quantité modérée,4.2 g,en quantité modérée,2.3 g,en faible quantité,1.1 g,en quantité modérée,-32%,-33%,-34%,-51%,-56%,+523%,+225%,-23%,-48%,-48%,2,-90%,B,-90%,87.6%,6.5%,1.9%,1.1%,0.6%,2.4%,22,,,,,
8,"Confiture arrisanale chataignes, pommes, coings",3760280470081,,,,,,['France'],[],,,[],,?,307,1284 kj(307 kcal),15,"0,1",74,54,"0,8","11,33","4,532",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Chardon marie,3400933356750,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
