,name,bar_code,eco_score,packaging,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,additives,allergens,nova_score,labels,markets,generic_name,quantity,palm_ingredients,manufacturing,traceability_code,link,ingredients_origins,producer_info,origin_detail
0,Moules de corde,3000121297973,C,['Barquette'],"['Produits de la mer', 'Mollusques', 'Moules', 'Moules de corde']",['France'],[],[],1 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.4 g,en quantité modérée,?,,103,-32%,431 kj(103 kcal),-31%,1,-88%,"0,4",-74%,"6,2",+62%,0,-100%,"17,2",+19%,"0,4",-66%,"0,16",-66%,-3,-193%,A,-193%,50.0%,0.0%,15.2%,14.1%,7.7%,13.0%,56,,,,,,,,,,,,,,,
1,Boudin blanc forestier x3 - Morvan Charcuterie Salaisons,3004106906041,D,,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins blancs', 'Boudins noirs', 'Boudin noir sauté']",['France'],"['maigre et gras de porc', 'eau', 'gorge de sorc', 'assaisonnement ', ""amidon de blé' protéine de lait' dextrose"", 'poudre de lait reconstituée', 'épices et plantes aronatiqhles exhausteur de goût : E621', 'stabi I isants : EUI-à50', 'albumine viande de dinde', 'champignons noirs 3', '6X', 'mélange forestier 1', '5Z ', 'bolets jaunes', 'pleurotes', 'champignons noirs', 'sel fin', 'Porto', 'acidifiants :E325-F262', ' Boyau naturel de porc', ' ALLERGENES : BLE-LAIT-OEUF-SULFITES CONSERVER ENTRE O ET +40C PORC ET VOLAILLE : NES', 'ELEVES', 'ABATTUS EN FRANCE']","['Non végétalien', 'Non végétarien']",23.4 g,en quantité élevée,8.2 g,en quantité élevée,0.1 g,en faible quantité,1.5 g,en quantité modérée,?,,287,+18%,1201 kj(287 kcal),+18%,"23,4",+16%,"8,2",+5%,"8,5",+98%,"0,1",-95%,"9,3",-10%,"1,5",+1%,"0,6",+1%,17,+6%,D,+6%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,"['Morvan Charcuterie Salaisons', 'Morvan Charcuterie Salaison']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E325 - Lactate de sodium']","['Œufs', 'Gluten', 'Lait', 'Anhydride sulfureux et sulfites']",4,,,,,,,,,,,
2,Sucette Framboise - Casino,30086920,B,,['Pâtes à pizza'],['France'],"['Farine de blé', 'eau', 'huile de tournesol', 'sel', 'poudres à lever : phosphates de calcium', 'carbonates de sodium', 'alcool éthylique', 'gluten de blé', 'levure boulangère 0,01%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",4.4 g,en quantité modérée,0.5 g,en faible quantité,1.4 g,en faible quantité,1.1 g,en quantité modérée,?,,184,-34%,770 kj(184 kcal),-35%,"4,4",-22%,"0,5",-55%,31,-34%,"1,4",-14%,"4,6",-36%,"1,1",-29%,"0,44",-29%,4,-44%,C,-44%,36.8%,19.3%,11.5%,8.6%,5.0%,18.8%,92,"['Casino', 'Casino bio']","['E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E1510 - Éthanol']",['Gluten'],4,['Bio'],['Casino'],,,,,,,,,
3,Knorr Roux Blanc Instantané Déshydraté - 1kg (1000g),3011360006721,,['Pot'],,['France'],"['Farine de BLÉ', 'graisse de palme']","['Huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,582,,2435 kj(582 kcal),,40,,30,,46,,"0,5",,"6,4",,"0,01",,"0,004",,,,,,,,,,,,,['Knorr'],,['Gluten'],,,,Roux blanc instantané déshydraté,1 kg (1000 g),['Huile de palme'],,,,,,
4,Knorr Garde d'or Sauce Poivre - 1l (1000ml),3011360010650,B,"['Brique', 'Carton']","['Epicerie', 'Sauces', 'Sauces au poivre']",['France'],"['Eau', 'BEURRE', 'amidon modifié ', 'maïs', 'pomme de terre', 'CRÈME', 'tomate', 'sel', ""jaune d'OEUF"", 'poivres ', 'poivre vert ', '0,5%', 'poivre noir ', '0,2%', 'arômes ', 'dont CÉLERI', 'LAIT', 'BLÉ', 'ORGE', 'cognac', 'extrait de levure', 'échalote', ""extrait de malt d'ORGE"", 'colorant ', 'caramel E 150c', 'arôme naturel de poivre', 'épaississant ', 'gomme xanthane', 'sucre', 'acidifiant ', 'acide citrique']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",8 g,en quantité modérée,5 g,en quantité modérée,0.5 g,en faible quantité,1.2 g,en quantité modérée,390,-62%,95,-70%,390 kj(95 kcal),-70%,8,-71%,5,+29%,"5,2",-41%,"0,5",-84%,"0,8",-56%,"1,2",-48%,"0,48",-48%,10,-32%,C,-32%,51.5%,31.1%,7.1%,5.2%,3.0%,2.1%,76,"['Knorr', ""Garde d'Or"", 'Unilever Food Solutions']","['E14XX - Amidons modifiés', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E415 - Gomme xanthane', 'E330 - Acide citrique']","['Céleri', 'Œufs', 'Gluten', 'Lait']",4,,,Sauce au Poivre,1 l (1000 ml),,,,,,,
5,"Knorr Sauce Hollandaise déshydratée 825g jusqu'à - 8,5l (825g)",3011360040480,,['Wrapper'],"['Epicerie', 'Sauces']",['France'],"['LAIT écrémé', 'amidon modifié de maïs', 'sel', ""jaune d'OEUF : 4,2%"", 'maltodextrine', 'huile de maïs', 'oignon', 'acidifiant ', 'acide citrique', 'jus de citron : 0,7%', 'arômes ', 'dont CÉLERI', 'épaississant : gomme de guar', 'extrait de levure', 'poivre', 'colorant : caroténoïdes', 'Peut contenir: gluten']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",28 g,en quantité élevée,17 g,en quantité élevée,2.9 g,en faible quantité,0.85 g,en quantité modérée,1202,+36%,287,+21%,1202 kj(287 kcal),+22%,28,+55%,17,+687%,7,-29%,"2,9",-55%,2,-26%,"0,85",-65%,"0,34",-65%,16,+38%,D,+38%,,,,,,,,['Knorr'],"['E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E412 - Gomme de guar', 'E160 - Caroténoïdes']","['Céleri', 'Œufs', 'Lait']",4,,,Préparation déshydratée pour sauce hollandaise,"8,5 l (825 g)",,,,,,,
6,Knorr Bouillon de Volaille Déshydraté 1kg jusqu'à - 50l (1000g),3011360041906,,['Pot'],"['Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Bouillons', 'Bouillons déshydratés', 'Bouillons en poudre', 'Bouillons de volaille']",['France'],"['Sel', 'maltodextrine', 'sirop de glucose', 'arômes', 'extrait de levure', 'volaille: 6,5% ', 'graisse de poule: 5,5%', 'viande de poule: 0,5%', 'extrait de poule: 0', '5%', 'ail', 'caramel', 'jus de légumes concentré ', 'CÉLERI', 'carotte', 'poireau', 'oignon', 'antioxydant: extrait de romarin', 'Peut contenir : gluten', 'lait', 'oeuf', 'moutarde']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.73 g,en quantité modérée,?,,5,-96%,21 kj(5 kcal),-96%,"0,4",-85%,"0,1",-89%,"0,9",-96%,"0,4",-94%,"0,4",-89%,"0,7",-97%,"0,28",-97%,3,,C,,,,,,,,,['Knorr'],['E392 - Extrait de romarin'],['Céleri'],4,,,Bouillon de Volaille,50 l (1000 g),,,,,,,
7,Truffes - Jacques,3015496414061,,,['Matières grasses'],['France'],"['graisses végétales ', 'palme', 'palmiste', 'coprah', 'sucre', 'cacao maigre en poudre ', '17%', 'lactose', 'Cognac ', '1%', 'arômes', 'émulsifiant : lécithine de tournesol']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",43 g,en quantité élevée,34 g,en quantité élevée,40 g,en quantité élevée,0 g,en faible quantité,?,,586,-27%,2452 kj(586 kcal),-27%,43,-51%,34,+49%,42,+18650%,40,+24591%,"3,9",+2103%,0,-100%,0,-100%,25,+121%,E,+121%,,,,,,,,['Jacques'],['E322i - Lécithine'],['Lait'],4,,,,,,,,,,,
8,Harictos rouges - D'aucy,3017800069561,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumineuses en conserve', 'Haricots en conserve', 'en:canned-kidney-common-beans']",['France'],[],[],0.6 g,en faible quantité,0.1 g,en faible quantité,1.9 g,en faible quantité,0.725 g,en quantité modérée,486,+11%,115,+13%,486 kj(115 kcal),+13%,"0,6",-1%,"0,1",-8%,17,+27%,"1,9",+67%,"7,9",+5%,"0,725",+18%,"0,29",+18%,-5,,A,,40.4%,27.0%,12.4%,6.4%,8.7%,5.1%,79,"[""D'aucy""]",,,,,,,,,,,,,,
9,Haricots verts fins - D'aucy  - 400g,3017800078716,,,,"['France', 'Suisse']",[],[],,,,,,,,,?,,26,,109 kj(26 kcal),,2,,0,,3,,"0,8",,"1,6",,"0,75",,"0,3",,,,,,,,,,,,,"[""D'aucy""]",,,,,,,400g,,,,,,,
