,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,quantity,packaging,brand,categories,ingredients_origins,manufacturing,markets,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,labels,traceability_code,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,saturated_acids_quantity,saturated_acids_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,palm_ingredients,link
0,Tarte aux pommes,0260379020997,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,California saumon fromage,3760253240024,['France'],[],[],?,188,"8,5",20,"8,3","1,1","0,44",787 kj(188 kcal),"2,8","3,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,pain nordique - 300,03461969,['France'],"['Farines 44% ', 'BLE', 'ORGE', 'eau', 'graines 6% ', 'tournesol', 'courge', 'lin brun', 'lin jaune', 'SESAME', 'éclats de BLE', 'GLUTEN de BLE', ""malt d'ORGE toasté"", 'levure', 'sel', 'levain de SEIGLE', 'farine de BLE malté', 'agent de traitement de la farine: E300', 'Décor 3%: graines de lin brun', 'lin jaune et millet', ' Iraces possibles de: lait', 'peuf', 'soja', 'fruits à coque', 'sulfites']",['Non végétalien'],?,?,"4,8",39,11,"1,19","0,476",,,"1,1",300,['sac papier'],['PAIN NORDIQUE'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",['France'],['France'],['inter marché'],['E300 - Acide ascorbique'],"['Gluten', 'Fruits à coque', 'Graines de sésame', 'Soja', 'Anhydride sulfureux et sulfites']",4,4.8 g,en quantité modérée,1.1 g,en faible quantité,1.19 g,en quantité modérée,,,-22%,-29%,-72%,+16%,-7%,-7%,,,,,,,,,,,,,,,,,,,,,
3,3760007336263,3760007336263,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Merguez,2274848023226,['France'],[],[],?,298,"26,1","1,5","14,4","2,5",1,1247 kj(298 kcal),"11,9","0,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Noix Fine,0229606046902,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Bonne nuit rooibos vanille - Yogi Tea,4012824405240,['France'],[],[],?,1,0,"0,2","0,1",0,0,4 kj(1 kcal),0,0,,,['Yogi Tea'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Saucisses,2274847021254,['France'],[],[],?,291,"25,6","0,8","14,4","2,6","1,04",1218 kj(291 kcal),"9,7","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Kimchi chéri,3770015835023,['France'],[],[],?,32,"0,3","7,2","1,7","1,2","0,48",134 kj(32 kcal),"0,12","1,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Spaetzele à la bolognaise -,3052420360032,['France'],[],[],?,106,"7,5","4,2","5,5","1,05","0,42",444 kj(106 kcal),"2,7","1,9",,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore B']","['FR 68.376.005 CE', 'Wittenheim (Haut-Rhin, France)']",,,,,,,,,,,,,,,,,,,
