,name,bar_code,quantity,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,brand,eco_score,packaging,categories,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,manufacturing,traceability_code,additives,nova_score,allergens,brand_owner,ingredients_origins,link,palm_ingredients,origin_detail
0,Tartelettes panachees - 390g,3187670616292,390 g,['France'],[],[],?,364,1523 kj(364 kcal),20,13,42,23,"4,1","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sobrassada de Mallorca - 150g,8423395620851,150 g,['France'],[],[],?,577,2414 kj(577 kcal),67,30,"0,5","0,5","8,5",2,"0,8",['Sans conservateurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Conchas Arroz Integral Bio 500 G Castagno,8013885050840,,['France'],[],[],?,357,1494 kj(357 kcal),3,"0,8",74,"2,8","6,9",0,0,['Bio'],['Castagno'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BucatinIGPasta di gragnano IGP no,8000139004209,,['France'],[],[],?,351,1469 kj(351 kcal),1,"0,2",70,3,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Chocolat,3663901006532,,['France'],[],[],?,561,2347 kj(561 kcal),36,22,51,50,"7,2","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Lentilles blondes - Casino Bio,3222477370043,,['France'],[],[],1377,1377,1377 kj(1377 kcal),"1,5","0,2",45,"1,7",24,0,0,['Bio'],['Casino Bio'],B,"['Sachet', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles', 'Lentilles blondes']",['Casino'],1.5 g,en faible quantité,0.2 g,en faible quantité,1.7 g,en faible quantité,0 g,en faible quantité,+5%,+325%,+1%,0%,-17%,+2%,+10%,-2%,-100%,-100%,-6,,A,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,,,,,,,,,,,
6,Gommes propolis et miel-eucalyptus - Famille Mary - 45g,3760115093027,45g,['France'],"['gomme arabique* 46%', 'sucre roux*', 'miel* 17%', 'extrait de propolis* 5%', ""arôme naturel d'eucalyptus* 0,23%"", 'arôme menthe', 'agent anti-adhérent : huile végétale de tournesol* et cire de carnauba*', ""menthol cristallisé *ingrédients issus de l'agriculture biologique""]",['Non végétalien'],1269,302,1269 kj(302 kcal),"0,1","< 0,1","59,3","49,6","1,2","0,03","0,012","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['Famille Mary'],,['sachet plastique'],['Gommes pour la gorge'],"['Mary', 'Web']",0.1 g,en faible quantité,0.1 g,en faible quantité,49.6 g,en quantité élevée,0.03 g,en faible quantité,,,,,,,,,,,8,,C,,,,,,,,,"Gomme propolis et miel, bio - eucalyptus",['49450 st André de la marche'],"['34255B', 'EMB 34255B', 'Saint-Gély-du-Fesc (Hérault, France)']","[""E414 - Gomme d'acacia""]",4,,,,,,
7,Hydrosport super fuel - Monster Energy - 650ml,5060639124572,650 ml,['France'],"['EAU', ""ACIDIFIANTS' "", 'ACIDE', ' CITRIQUE', 'ACIDE TARTRIQUE', ""CORRECTEUR D'ACIDITÉ "", 'CITRATES DE SODIUM', 'ELECTROLYTES ', 'CITRATES DE MAGNÉSIUM', 'PHOSPHATES DE POTASSIUM', 'LACTATE DE CALCIUM', 'ARÔMES', 'ACIDES AMINÉS BCAA ', '0,07%', ' ', 'L-LEUCINE', 'L-ISOLEUCINÉ', 'L-VALIMĖ', 'CONSERVATEURS ', 'SORBATE DE POTASSIUM', 'BENZOATE DE SODIUM', 'CHLORURE DE SODIUM', ""CAFÉINE D'ORIGINE NATURELLE "", '0,03%', 'ÉDULCORANTS ', 'SUCRALOSE', 'ACÉSULFAME-K', 'VITAMINES [B3 ', 'NICOTINAMIDE', 'B6 ', 'CHLORHYDRATE DE PYRIDOXINE', ']', 'INOSITOL']",[],7,2,7 kj(2 kcal),"0,73",0,"0,5",0,"0,07","0,11","0,044",,"['Monster Energy', 'Monster']",,['Can'],"['Boissons', 'Boissons énergisantes']",,0.73 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,-95%,-94%,-95%,+998%,-100%,-94%,-100%,-52%,-4%,-4%,1,-91%,B,-91%,,,,,,,,,,,"['E334 - Acide L-tartrique', 'E331 - Citrates de sodium', 'E641 - L-leucine', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E955 - Sucralose', 'E950 - Acésulfame K']",4,,,,,,
8,Bananes chips,3760091570406,,['France'],[],[],?,487,2038 kj(487 kcal),"26,4","22,8","57,5","50,8","2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Mozzarella di bufala,8024659202075,,['France'],[],[],?,262,1096 kj(262 kcal),23,16,"0,7","0,7",13,"0,6","0,24",,,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Fromages au lait de bufflonne', 'Mozzarella', 'Mozzarella de bufflonne']",,23 g,en quantité élevée,16 g,en quantité élevée,0.7 g,en faible quantité,0.6 g,en quantité modérée,,-2%,-2%,-0%,+1%,-6%,+14%,-10%,-2%,-2%,10,-2%,C,-2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,
