,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,traceability_code,quantity,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,allergens,packaging,nova_score,generic_name,markets,additives,origin_detail,producer_info,ingredients_origins,manufacturing,link,palm_ingredients,brand_owner
0,Meco thai lime,6938888889827,"['France', 'Espagne']",[],[],?,46,192 kj(46 kcal),0,0,"11,4","9,9",0,"0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Hibi...bulles - Maison Meneau,3274490887145,['France'],[],[],?,41,172 kj(41 kcal),0,0,"9,9","8,5",0,0,0,['Maison Meneau'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Jus de Pomme Raphaël SAUNIER,2713012000002,['France'],[],[],?,50,209 kj(50 kcal),"0,1",0,12,"11,5","0,2",0,0,,"['EMB 42271B', 'Saint-Paul-en-Jarez (Loire, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Spaguetti,8410361009970,['France'],[],[],?,344,1439 kj(344 kcal),2,"0,5",68,"3,5",12,"0,025","0,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Sauce cuisinée pour pâtes - Giraudet,3100080055000,['France'],[],[],?,47,197 kj(47 kcal),"2,2","0,3","4,8","4,7","1,5","0,8","0,32",['Giraudet'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Magro de cerdo cocido - Iberitos,8437014143287,['France'],[],[],?,249,1042 kj(249 kcal),"21,5","0,1","2,9","0,9","12,2",3,"1,2",['Iberitos'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Granulated Garlic - Member's Mark - 26oz,0078742230252,['France'],['dehydrated garlic'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,0,0 kj(0 kcal),0,0,0,0,0,0,0,"[""Member's Mark""]",,26 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Pasta & bruschetta Prestige - Florelli - 190g,3760077537058,['France'],[],[],?,317,1326 kj(317 kcal),33,"3,3","2,1",0,"1,7","1,6","0,64","['Florelli', 'Ital Passion']",,190 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Aceite de Oliva 0,4 - Urzante",8423243008015,['France'],[],[],?,900,3766 kj(900 kcal),100,15,0,0,0,0,0,['Urzante'],,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive""]",100 g,en quantité élevée,15 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+5%,+5%,+5%,+7%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,
9,Alfar - Arbequina 2L,8437002905064,['France'],[],[],?,837,3502 kj(837 kcal),93,13,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
