,name,bar_code,quantity,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,packaging,categories,labels,ingredients_origins,manufacturing,markets,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,additives,generic_name,link,origin_detail,palm_ingredients
0,Rösti - McCain - 750g,8710438111972,750 g,['McCain'],['France'],[],[],?,188,787 kj(188 kcal),8,"0,9","25,5","0,5",2,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Brioche - sicard - 420gr,3608734285822,420gr,"['Sicard', 'Brio']",['France'],"['Farine de BLE*', 'sucre de canne roux""', 'OEUFS frais', 'CREME FRAÎCHE 11%', 'BEURRE 8% ', 'LAIT', 'rhum*', 'levure', 'sel mnarin de Noirmoutier', 'arômes naturels*', 'vinaigre de cidre""', 'GLUTEN de BLE*', 'épice*', "" *Ingrédients issus de l'Agriculture Biologique"", ' Traces éventuelle de sésame', 'soja', 'sulfites']",['Non végétalien'],?,468,1958 kj(468 kcal),"13,1",8,"53,3","15,8","8,6","0,9","0,36",B,['Plastique'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches Vendéennes']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],['Vendée France'],['Boulangerie'],"['Œufs', 'Gluten', 'Lait']",4,13.1 g,en quantité modérée,8 g,en quantité élevée,15.8 g,en quantité élevée,0.9 g,en quantité modérée,,+24%,+25%,-14%,-22%,+8%,+9%,+3%,-4%,-4%,18,-5%,D,-5%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,
2,Le saint-Génix - 200g,3770014766113,200 g,,['France'],[],[],?,406,1699 kj(406 kcal),"12,2","5,2",64,"36,1","8,1","0,2","0,08",,,,"['Sans additifs', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Vin rouge,3245415308106,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Liquid Honey,0060383781248,,,['France'],[],[],?,300,1255 kj(300 kcal),0,0,85,85,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Jambon de Paris Sans Couenne - Auchan - 80g,3596710484386,80 g,['Auchan'],['France'],"[""Jambon de porc issu d'animaux nourris sans OGM "", '<0', '9%', 'sel', 'arôme naturel', 'sucre', 'extrait de carotte', ""extrait d'épices et d'herbes aromatiques"", 'antioxydant: ascorbate de sodium', ' conservateurs : chlorure de potassium', 'nitrite de sodium', ' Élaboré à partir de porc origine France']","['Non végétalien', 'Non végétarien']",?,102,427 kj(102 kcal),2,1,1,1,20,"1,4","0,56",E,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']","['Viande Française', 'Viande Porcine Française', 'Nutriscore', 'Nutriscore B']",,,['Auchan'],,4,2 g,en faible quantité,1 g,en faible quantité,1 g,en faible quantité,1.4 g,en quantité modérée,,-23%,-22%,-58%,-46%,+49%,+68%,-5%,-25%,-25%,2,-72%,B,-72%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,"['EMB 19031N', 'Brive-la-Gaillarde (Corrèze, France)', 'FR 19.031.008 CE', 'Brive-la-Gaillarde (Corrèze, France)']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,
6,Burger boeuf sauce tomate - 225g,3287390062215,225 g,,['France'],[],[],?,250,1046 kj(250 kcal),12,6,20,"4,5",14,"0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 49.204.001 CE', 'Mesnil-en-Vallée (Maine-et-Loire, France)']",,,,,
7,Jambon serrano,3701411000111,,,['France'],[],[],?,254,1063 kj(254 kcal),16,"5,7","0,5","0,5",27,"3,2","1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Healthy meal shake  cafe latte,0745114177827,,,['France'],[],[],?,384,1607 kj(384 kcal),"8,2","1,6","37,2","31,9","37,8","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Vins,3760237477354,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
