,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,packaging,brand,ingredients_origins,manufacturing,markets,additives,nova_score,generic_name,allergens,link,palm_ingredients
0,stracciatella vla karamel,20426583,['France'],[],[],?,441,1845 kj(441 kcal),"3,6","2,3","15,9","11,2","0,11","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chorizo barbecue - 400g,8414169152883,['France'],[],[],?,461,1929 kj(461 kcal),43,11,"2,5","0,5","15,8",2,"0,8",400 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Fruit express (pêche),0024000104391,['France'],[],[],?,50,209 kj(50 kcal),0,0,11,11,"0,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Plateau grill,20303129,['France'],[],[],?,293,1226 kj(293 kcal),25,10,"2,9",2,12,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Diet Coke,5449000054593,['France'],[],[],?,0.20000000298023,1 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Charme de cos labory,3453521248258,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Burger saumon flambé,6407009000972,['France'],[],[],?,216,904 kj(216 kcal),"14,5","2,1","0,65","0,25","21,5",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Saucisson à l'ail,2466841016408,['France'],[],[],?,821,3435 kj(821 kcal),28,11,"0,5","0,5",17,"1,8","0,72",,E,"['Viandes', 'Charcuteries', 'Saucissons', ""Saucissons à l'ail""]","[""Saucisson à l'ail""]",28 g,en quantité élevée,11 g,en quantité élevée,0.5 g,en faible quantité,1.8 g,en quantité élevée,,+201%,+199%,+26%,+29%,-55%,-30%,+6%,-15%,-15%,27,+40%,E,+40%,80.5%,12.7%,2.9%,1.1%,0.6%,2.3%,21,,,,,,,,,,,,
8,Amandes grillees a sec et salees,2600150031756,['France'],[],[],?,662,2770 kj(662 kcal),"52,5",4,21,"4,9",21,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Quiche saumon brocolis,2615482020408,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
