,name,bar_code,quantity,packaging,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,eco_score,generic_name,manufacturing,link,markets,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,palm_ingredients,traceability_code,ingredients_origins,brand_owner
0,Choco Light Rabeko - 250g,5413285000651,250 g,"['Pot', 'Plastique']",['Rabeko'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner au chocolat']","['Belgique', 'France']","['graisses végétales ', 'palme', 'huiles végétales ', 'coco', 'colza', 'fromage blanc maigre', 'sucre', 'chocolat ', 'sucre', 'masse de cacao', 'beurre de cacao', 'sirop de glucose', 'émulsifiant: lécithine de soja', 'vanilline', 'oeufs', 'lait écrémé acide alimentaire: acide citrique', ' Conservateur: potassium sorbate']","['E322i - Lécithine', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Œufs'],"['Huile de palme', 'Non végétalien']",4,26.2 g,en quantité élevée,17.3 g,en quantité élevée,23.6 g,en quantité élevée,0.0034 g,en faible quantité,?,,362,-33%,1515 kj(362 kcal),-33%,"26,21",-23%,"17,32",+122%,"23,98",-53%,"23,58",-49%,"5,1",-22%,"0,003",-97%,"0,001",-97%,14,-32%,D,-32%,,,,,,,,,,,,,,,,,
1,Muffin au chocolat au lait du pays Alpin - Milka,5413321001062,,,['Milka'],,['France'],"['Il M uffi 220 n*tcn bevattcn • tache', 'Ë$éOcnts: farine de Hé', "" HiNe 'Féta\\e : "", 'Gtta', ' tau', "" S'Kte"", ' • au pays ', ' t ', 'Swe', ' Ecurre de Poudre de lait éctémé', ' Pite de Poudre de lactounnn', ' Beurre curifié', ' Pâte de noisette ', 'rmAsifiant : Lédthine de soja', ' At6me', ' Amidon de blé', ' Pwdte Lever: D*sphates', 'Carbonates de sodium', 'Gtucono• delta-lactone', "" Amid«t de Protéine de tait,' Farine de riz prégélatinisée"", "" Poudre de lactosérum,' Poudre entier"", 'Correcteur Œaddlté: Ptwsphates de calcium', ' Émulsifiante', ' Stéatoyl-2• lactylate de soŒlum,• Arôme naturel de vanille', 'Sel', ' Peut contenir des fruits à coque ', 'amande', 'pistadle', 'noix', ' Voedingswaarden per 100 g']",,,['Non végétalien'],4,,,,,,,,,?,,438,,1833 kj(438 kcal),,"25,4",,"4,3",,"46,8",,"26,4",,"5,2",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,
2,"Tablette, Lait Aux Noix De Macadamia Caramelisees, Dolfin - Doflin",5413415912700,,,['Doflin'],,['France'],"['VALEUR FAC--vs ortic,nsgr03e 100 g Energie I Energy Total Lipides I Total Fat I Fett Saturés j Saturated I davon gesâttigte Trans I Transfettsàuren Cholesterol I Cholesterol I Cholestefln']",,,[],,,,,,,,,,?,,552,,2310 kj(552 kcal),,35,,20,,51,,50,,7,,"0,35",,"0,14",,,,,,['Fabriqué en Belgique'],,,,,,,,,,,,,,,,
3,"Sortiment Mit 24 Napolitains, Carré 24, Geschenkpackung",5413415913455,,,,,['France'],[],,,[],,,,,,,,,,?,,531,,2222 kj(531 kcal),,34,,21,,45,,40,,8,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,
4,Yaourt aux myrtilles - Bioferme - 150g,5413444200304,150 g,"['Frais', 'Verre']",['Bioferme'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la myrtille', 'Yaourts au lait de vache']","['Belgique', 'France']","['LAIT entier de vache à 3% matière grasse', 'préparation de myrtille ', 'myrtille 7', '5%', 'sucre de canne', 'pectine', 'poudre de LAIT écrémé', 'ferments du yaourt ', 'LAIT', 'Sans conservateurs']",['E440 - Pectines'],['Lait'],['Non végétalien'],4,3 g,en quantité modérée,1.7 g,en quantité modérée,13 g,en quantité élevée,0.13 g,en faible quantité,?,,93,-7%,389 kj(93 kcal),-7%,3,-8%,"1,7",-19%,13,-3%,13,+6%,"3,4",-7%,"0,13",+21%,"0,052",+21%,2,-27%,B,-27%,"['Bio', 'Bio européen', 'BE-BIO-01', 'Sans conservateurs']",B,Yaourt aux fruits,"['Ardennes', 'Belgique']",http://www.bioferme.be/fr/yaourt_bio_brasses.php,['Spar'],79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,,
5,Crème fraîche - bioferme - 24cl,5413444910012,24cl,['Verre'],['Bioferme'],"['Produits laitiers', 'Crèmes', 'Crèmes fraîches']",['France'],"[""Crème* de LAIT de vache pasteurisée à 42% de matière grasse * Issu de l'agriculture biologique Ingrédiënten: gepasteuriseerde verse room van koeMELK 42% vetstof * Afkomstig uit biologische landbounw Origine: Belgique"", "" Lait d'Ardenne belge Oorsprong: België"", ' Belgische Ardennen melk']",,['Lait'],[],,42 g,en quantité élevée,28 g,en quantité élevée,2.8 g,en faible quantité,0.09 g,en faible quantité,?,,398,+36%,1665 kj(398 kcal),+39%,42,+42%,28,+41%,"2,8",-14%,"2,8",-2%,"2,3",-3%,"0,09",+7%,"0,036",+7%,14,+8%,D,+8%,['Agriculture UE'],B,,,,,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,,
6,Filet de Poulet,5413458065616,,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['France'],[],,,[],,2.4 g,en faible quantité,0.9 g,en faible quantité,0.5 g,en faible quantité,0.2 g,en faible quantité,?,,110,-16%,460 kj(110 kcal),-15%,"2,4",-17%,"0,9",+21%,"0,5",+4%,"0,5",+106%,22,-4%,"0,2",-73%,"0,08",-73%,-4,,A,,,D,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,
7,Schoko bons - Kinder,5413548027319,,,['Kinder'],,['France'],"['noisettes Ingrédients chocolat supérieur au LAIT 50% ', 'sucre', 'LAIT en poudre', 'beurre de cacao', 'pâte de cacao', 'émulsifiants : lécithines ', 'SOJA', 'arômes', 'sucre', 'LAIT écrémé en poudre', 'huile de palme', 'NOISETTES 5,8%', 'BEURRE concentré', 'chocolat noir ', 'sucre', 'pâte de cacao', 'beurre de : lécithines ', 'SOJA', 'arômes', ""agents d'enrobage cacao"", 'émulsifiants ', 'gomme arabique', 'gomme schellac', 'sirop de glucose', 'émulsifiants ', ' lécithines [SOJA', 'arômes', ' Sur le total : produits laitiers 28% ', 'lait écrémé en poudre', 'lait en poudre : 24,3 %', 'beurre concentré 3,7%', 'cacao 16,5% Le chocolat utilisé est un chocolat pur beurre de cacao']","['E322i - Lécithine', ""E414 - Gomme d'acacia"", 'E904 - Gomme-laque', 'E322 - Lécithines']","['Lait', 'Fruits à coque', 'Soja']","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,576,,2410 kj(576 kcal),,"36,6",,"21,2",,"52,5",,"52,2",,"8,3",,"0,28",,"0,112",,,,,,,,,,,,,,,,,,,['Huile de palme'],,,
8,Classic Père Olive Olives au fromage - 400g,5413588602026,400 g,,['Pere olive'],,"['France', 'Suisse']",['lait'],,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,,761,,184,,761 kj(184 kcal),,17,,"5,3",,"2,1",,"0,3",,"5,6",,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,,,
9,Pâte à Tartiner aux Noisettes et Cacao avec Édulcorants de Stévia - Cavalier - 380g,5413623704333,380 g,"['Pot', 'Plastique']",['Cavalier'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']","['Belgique', 'France']","['Huile végétale ', 'Colza', 'Palme', 'Inuline', 'Oligofructose', 'Noisettes ', '13%', 'édulcorant ', 'Érythritol', 'Glycosides de stéviol', 'Poudre de cacao réduit', 'Lait écrémé en poudre', 'Emulsifiant ', 'Lécithine de tournesol', 'Arôme']","['E968 - Érythritol', 'E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition', 'E322i - Lécithine']","['Lait', 'Fruits à coque']","['Huile de palme', 'Non végétalien']",4,36 g,en quantité élevée,7.3 g,en quantité élevée,6.7 g,en quantité modérée,0.08 g,en faible quantité,?,,447,-19%,1870 kj(447 kcal),-19%,36,+6%,"7,3",-5%,17,-67%,"6,7",-86%,"5,3",-22%,"0,08",-22%,"0,032",-22%,8,-61%,C,-61%,['Avec édulcorants'],E,Stevia Hazelnutspread,,,['Delhaize'],82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,['Huile de palme'],,,
