,name,bar_code,generic_name,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,nova_score,allergens,palm_ingredients,link
0,Schinkengulasch / Sauté de Porc - L'étal du Boucher - 500g e,20071806,Sauté de Jambon de Porc,500 g e,"['Plastique', 'Frais']","[""L'étal du Boucher"", 'Lidl', 'Landjunker']","['Viandes', 'Viandes fraîches', 'Porc', 'Sautes-de-porc']","['Viande Française', 'Viande Porcine Française']",['France'],"['France', 'Germany']","['FR 22.093.001 CE', ""Lamballe (Côtes-d'Armor, France)""]",['Lidl'],['France'],"['100 % jambon de porc', ' 4', '98€/kg']",[],3 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,0.13 g,en faible quantité,?,,107,-37%,448 kj(107 kcal),-38%,3,-72%,"1,4",-66%,0,-100%,0,-100%,20,+8%,"0,13",-80%,"0,052",-80%,-3,-172%,A,-172%,,,,,,,,,,,,,
1,Classico,20073923,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,['France'],[],[],,,,,,,,,?,,213,,891 kj(213 kcal),,"9,2",,"8,2",,"28,5",,"19,1",,"3,6",,"0,15",,"0,06",,,,,,,,,,,,,,,,,,
2,Coeus de palmier,20074531,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Frais', 'Aliments à base de plantes frais', 'Cœurs de palmier']",,,,,,['France'],[],[],0.2 g,en faible quantité,0 g,en faible quantité,1.2 g,en faible quantité,0.4 g,en quantité modérée,?,,39,+34%,163 kj(39 kcal),+35%,"0,2",-45%,0,-100%,"5,5",+82%,"1,2",+63%,"2,3",0%,"0,4",-47%,"0,16",-47%,0,-100%,B,-100%,C,64.1%,17.1%,7.8%,4.1%,4.6%,2.3%,59,,,,,
3,Iced tea manga,20075149,,,,,"['Boissons', 'Thés glacés']",,,,,,['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,5.1 g,en quantité modérée,0.03 g,en faible quantité,?,,21,-5%,88 kj(21 kcal),-4%,0,-100%,0,-100%,"5,2",-1%,"5,1",+1%,0,-100%,"0,03",+7%,"0,012",+7%,7,-4%,D,-4%,,,,,,,,,,,,,
4,Cannelloni -,20075606,,,,,"['Viandes', 'Plats préparés', 'Plats à base de pâtes', 'Préparations de viande', 'Pâtes farcies', 'Cannelloni préparés']",,,,,,['France'],[],[],4 g,en quantité modérée,1.5 g,en quantité modérée,3.4 g,en faible quantité,0.78 g,en quantité modérée,?,,116,-25%,485 kj(116 kcal),-24%,4,-23%,"1,5",-29%,"14,1",-13%,"3,4",+17%,"4,9",-22%,"0,78",+1%,"0,312",+1%,2,-21%,B,-21%,,,,,,,,,,,,,
5,Chorizo ibérico - Realvalle,20077808,,,,['Realvalle'],"['Viandes', 'Charcuteries', 'Saucissons', 'Chorizo']",['en:gluten-free'],,,,,"['France', 'Espagne']",[],[],35 g,en quantité élevée,14 g,en quantité élevée,0.8 g,en faible quantité,3 g,en quantité élevée,?,,414,+2%,1732 kj(414 kcal),+1%,35,+3%,14,+9%,"0,8",-73%,"0,8",-55%,24,+5%,3,-20%,"1,2",-20%,25,+5%,E,+5%,D,76.1%,16.6%,0.6%,1.8%,1.0%,3.9%,35,,,,,
6,Olives noires dénoyautées - Sol & Mar - 910g,20079949,"Olives noires dénoyautées, stérilisées",910 g,"['Verre', 'Métal', 'Glas']",['Sol & Mar'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives noires', 'Olives dénoyautées', 'Olives noires dénoyautées']",['Fabriqué en Espagne'],"['Espagne', 'Alicante']","['Lidl Stiftung & Co', 'Neckarsulm']",,['Lidl'],"['France', 'Allemagne']","['Olives noires', 'eau', 'sel', 'stabilisant : gluconate de fer ', 'II']",[],18.2 g,en quantité modérée,3.3 g,en quantité modérée,0 g,en faible quantité,6.35 g,en quantité élevée,714,-5%,?,,714 kj(171 kcal),-21%,"18,2",-14%,"3,3",+18%,"< 0,5",-80%,0,-100%,1,-20%,"6,35",+77%,"2,54",+77%,15,+23%,D,+23%,A,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,['E579 - Gluconate de fer'],3,,,
7,Pfiff Cashew peanut mix honig & Salz,20080372,,,,,,,,,,,['France'],[],[],,,,,,,,,?,,541,,2264 kj(541 kcal),,"33,2",,6,,"43,6",,"34,3",,"14,8",,"0,8",,"0,32",,,,,,,,,,,,,,,,,,
8,Natives Olivenol extra Kreta,20081010,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles']",,,,,,['France'],[],[],91.3 g,en quantité élevée,13.9 g,en quantité élevée,0 g,en faible quantité,,,?,,822,-5%,3439 kj(822 kcal),-4%,"91,3",-5%,"13,9",-9%,0,-100%,0,-100%,0,-100%,,,,,,,,,,,,,,,,,,,,,
9,"Kräutertee, Pfefferminze - Cornwall",20081171,,,,['Cornwall'],['Boissons'],,,,,,['France'],['Menthe poivrée'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,?,,1,-98%,4 kj(1 kcal),-98%,0,-100%,0,-100%,"0,2",-98%,"0,1",-99%,0,-100%,0,-100%,0,-100%,2,-74%,C,-74%,,,,,,,,,,1,,,
