,name,bar_code,packaging,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,generic_name,ingredients_origins,link,markets,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,brand_owner,additives,traceability_code,allergens,manufacturing,palm_ingredients,producer_info,origin_detail
0,Cinnamon and raisin,5020364010144,['ldpe-bag'],['France'],[],[],?,265,1109 kj(265 kcal),"1,5","0,2","50,3","8,6","10,3","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kinder Chocolate Mini - Ferrero - 72g,5020411123056,['Carton'],['France'],[],[],2360,?,2360 kj(564 kcal),35,"22,6","53,5","53,3","8,7","0,313","0,125",72 g,"['Ferrero', 'Kinder']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées']",35 g,en quantité élevée,22.6 g,en quantité élevée,53.3 g,en quantité élevée,0.313 g,en quantité modérée,+9%,,+12%,+28%,+50%,-4%,+18%,+28%,-3%,-3%,28,+15%,E,+15%,,,,,,,,,,,,,,,,,,,,,,
2,Riz au Jasmin - Thai Kitchen - 500g,5021047101227,['Brique'],"['France', 'Allemagne', 'Suisse']",['Riz jasmin'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1425,336,1425 kj(336 kcal),"0,3","0,1","75,4","0,1","6,7",0,0,500 g,['Thai Kitchen'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés', 'Riz de variété indica', 'Riz long grain', 'Riz thaï']",0.3 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,-4%,-4%,-3%,-71%,-61%,0%,-61%,-9%,-100%,-100%,0,,B,,C,Riz au Jasmin,['Thaïlande'],http://www.thaikitchen.com/Products/Jasmine-Rice.aspx,['Monoprix'],1,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,,,,,
3,Geetas Chutney Oignons,5021185041027,,['France'],[],[],?,221,925 kj(221 kcal),"0,2","0,01","52,8","48,2","1,1",2,"0,8",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Plantes condimentaires', 'Produits à tartiner salés', 'Légumes et dérivés', 'Pâtes à tartiner végétales', 'Oignons et dérivés', ""Confits d'oignons""]",0.2 g,en faible quantité,0.01 g,en faible quantité,48.2 g,en quantité élevée,2 g,en quantité élevée,,+32%,+31%,-88%,-96%,+51%,+49%,+10%,+219%,+219%,15,+128%,D,+128%,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,
4,Geeta's Mango Chutney 320G - Geeta’s Foods Ltd,5021185201223,['glass-jar'],"['France', 'États-Unis']","['Mangoes ', '56%', 'Sugar', 'salt', 'Acidity Regulator : Acetic Acid', 'Whole Garlic Cloves', 'Seeds Mixed Spices', 'Fenugreek Seeds', 'Nigella Seeds', 'Black Peppercorns', 'cardamom pods', 'Whole cloves', 'herbs']",[],?,258,1079 kj(258 kcal),"0,2","0,01",62,"57,2","0,8",2,"0,8",,['Geeta’s Foods Ltd'],['en:Salted snacks'],0.2 g,en faible quantité,0.01 g,en faible quantité,57.2 g,en quantité élevée,2 g,en quantité élevée,,+137%,+137%,-96%,-99%,+366%,+696%,-39%,-1%,-1%,20,+137%,E,+137%,,,,,,3,,,,,,,,,GEETA'S,['E260 - Acide acétique'],,,,,,
5,Wheat crisp bread,5021476000504,['mixed plastic-bag'],['France'],[],[],?,88,368 kj(88 kcal),"0,8","0,3","16,6","3,4",3,"0,68","0,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Biscuits D'avoine Biologique - Traditionnels - Clearspring - 200g,5021554000549,,['France'],[],"['Végétalien', 'Végétarien']",?,432,1807 kj(432 kcal),17,3,55,"1,2",10,"2,4","0,96",200 g,['Clearspring'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', ""Biscuits à l'avoine""]",17 g,en quantité modérée,3 g,en quantité modérée,1.2 g,en faible quantité,2.4 g,en quantité élevée,,-6%,-7%,-17%,-62%,-6%,-95%,+34%,+291%,+291%,17,+10%,D,+10%,C,,,,,,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,"['Bio', 'Végétarien', 'Végétalien', 'Sans sucre ajouté']",,,,,,,,
7,Sweet white miso - Clearspring - 250g,5021554000747,,"['France', 'Royaume-Uni']",[],"['Végétalien', 'Végétarien']",?,171,715 kj(171 kcal),4,"0,4",26,22,"7,7","5,5","2,2",250 g,['Clearspring'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Miso']",4 g,en quantité modérée,0.4 g,en faible quantité,22 g,en quantité élevée,5.5 g,en quantité élevée,,+6%,+9%,-20%,-44%,+90%,+169%,-19%,-31%,-31%,16,+45%,D,+45%,B,,['Japon'],,,,51.8%,21.5%,10.7%,9.6%,6.4%,0.0%,94,"['Bio', 'Végétarien', 'Bio européen', 'en:gluten-free', 'Végétalien', 'en:Soil Association Organic', 'en:jp-bio-134']",,,,,,,,
8,Kombu - Clearspring,5021554002291,,['France'],[],[],?,2,8 kj(2 kcal),"0,1",0,"0,2",0,0,"0,02","0,008",,['Clearspring'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits de la mer', 'Algues et dérivés', 'Algues kombu']",0.1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.02 g,en faible quantité,,-99%,-99%,-99%,-100%,-98%,-100%,-100%,-99%,-99%,0,-100%,B,-100%,E,,,,,,53.0%,42.3%,1.8%,1.5%,1.4%,0.0%,25,,,,,,,,,
9,BROWN RICE MISO - Clearspring - 300.0g,5021554980056,,['France'],[],[],?,158,661 kj(158 kcal),"6,1","1,2",10,7,12,"12,7","5,08",300.0 g,['Clearspring'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
