,name,bar_code,quantity,packaging,brand,categories,labels,link,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,manufacturing,palm_ingredients,eco_score,traceability_code,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins
0,Pralines Roses aux Cacahuètes - Confiserie des Hautes Vosges - 250g,21100000,250 g,"['Sachet', 'Plastique']",['Confiserie des Hautes Vosges'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks sucrés', 'Confiseries', 'Fruits à coques et dérivés', 'Confiseries de fruits à coques', 'Pralines', 'Pralines roses']",['Colorants naturels'],https://www.cdhv.fr//fr/article-14-Pralines+roses+aux+cacahu%C3%A8tes.php,['Confiserie des Hautes Vosges'],['France'],"['Sucre', 'sirop de glucose', 'cacahuètes grillées', 'extrait pur de vanille', 'vanilline', ' Colorant naturel : carmin']",['E120 - Acide carminique'],['Arachides'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,16.3 g,en quantité modérée,3.35 g,en quantité modérée,69.5 g,en quantité élevée,0.01 g,en faible quantité,?,,470,+4%,1966 kj(470 kcal),+4%,"16,3",+1%,"3,35",-21%,72,+5%,"69,5",+5%,"8,8",+67%,"0,01",-70%,"0,004",-70%,18,+8%,D,+8%,,,,,,,,,,,,,
1,Mentos fruits  -,21108778,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
2,"Sandwich Œuf et Cresson, Pain Malté à l'Anglaise - Marks & Spencer - 153g",21118244,153 g,"['Barquette', 'Plastique', 'Frais']",['Marks & Spencer'],"['Sandwichs', 'en:raw-vegetable-sandwiches']",['Point Vert'],,['Marks & Spencer'],"['France', 'Royaume-Uni']","['Œufs de poules élevées en plein air pasteurisés ', '44 %', "": Pain bis malté à l'anglaise - Sauce à la mayonnaise "", '7 %', ' - Cresson ', '3 %', ' Beurre', 'Crème légère - Sel - Poivre noir moulu', ""\r Pain bis malté à l'anglaise contient farine de blé "", 'contient carbonate de calcium', 'fer', 'acide nicotinique', 'thiamine', "" - Eau - Pétales de blé malté - Son de blé - Levure - Sel - Farine d'orge malté - Vinaigre d'alcool - Émulsifiants: E471"", 'E472e - Huile de colza - Huile de palme - Farine de blé malté - Gluten de blé séché - Agent de traitement de la farine : Acide ascorbique', ""\r Sauce à la mayonnaise contient : Eau - Huile de colza -  Farine de maïs - Jaune d'œufs de poules élevées en plein air pasteurisés"", ""Vinaigre d'alcool - Sucre - œufs de poules élevées en plein air pasteurisés - Jus de citron concentré - Moutarde de Dijon "", ""Eau - graines de moutarde - Vinaigre d'alcool - Sel"", ' Sel']","['E505 - Carbonate de fer', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E300 - Acide ascorbique']","['Œufs', 'Gluten', 'Lait', 'Moutarde']","['Huile de palme', 'Non végétalien']",4,8.2 g,en quantité modérée,3.1 g,en quantité modérée,0.6 g,en faible quantité,0.838 g,en quantité modérée,830,-8%,?,,830 kj(198 kcal),-8%,"8,2",+2%,"3,1",+114%,"20,7",-17%,"0,6",-81%,"9,3",+1%,"0,838",-31%,"0,335",-31%,1,-53%,B,-53%,"Sandwich, sauce à la mayonnaise, œufs de poules élevées en plein air avec cresson dans du pain bis malté à l'anglaise",['Royaume-Uni'],['Huile de palme'],,,,,,,,,,
3,Crème entière liquide - Envia - 20Cl,21124867,20 Cl,"['Brique', 'Carton']",['Envia'],"['Produits laitiers', 'Crèmes', 'Crème de lait semi-épaisse', 'Crèmes UHT', 'Crèmes entières', 'Crèmes liquides']",,,['Lidl'],['France'],"['crème fouettée ', 'lait', 'stabilisant : carraghénanes']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,30 g,en quantité élevée,21 g,en quantité élevée,3.4 g,en faible quantité,0.08 g,en faible quantité,1209,+46%,293,+25%,1209 kj(293 kcal),+28%,30,+35%,21,+41%,"3,4",-23%,"3,4",-6%,"2,4",-4%,"0,08",-19%,"0,032",-19%,13,+17%,D,+17%,,,,B,['DE RP 247 EG'],68.3%,19.8%,4.5%,4.0%,2.6%,0.7%,70,
4,Mouliné de 7 légumes variés - Toque du chef - 1L,21141881,1 L,"['Brique', 'Carton']",['Toque du chef'],,"['Sans colorants', 'Sans conservateurs']",,['Lidl'],['France'],[],,,[],,,,,,,,,,"36,9",,?,,"36,9 kj(9 kcal)",,"1,2",,"0,39",,?,,"1,41",,?,,"0,721",,"0,288",,,,,,,,,,,,,,,,,,
5,21193273,21193273,,,,,['en:FSC'],,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,['FSC-C081801'],,,,,,,,
6,Le poulet rôti crudités - monop'daily - 165g,2121320430075,165g,,"[""monop'daily""]",,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
7,Gruyère de France spécial baguette - EntreMont - 8tranches,2123948617753,8 tranches,"['Frais', 'Barquette', 'Plastique']",['EntreMont'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Frais', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Fromages de France', 'Fromages au lait cru', 'Fromages de Suisse', 'Fromages en tranches', 'Gruyères français', 'Gruyères suisses']",['IGP'],,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,D,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,
8,2124498182630,2124498182630,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
9,Napolitain - LU - 180g,2126098867788,180g,,['LU'],,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
