,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,quantity,packaging,traceability_code,markets,manufacturing,labels,ingredients_origins,link,palm_ingredients,producer_info
0,Flammekueche - Kauffer s,3273310345674,C,['Kauffer s'],"['Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', 'Flammekueches']",['France'],"['Farine de blé', 'eau', 'fromage blanc 16 0%', 'crème 16 0%', 'We Spe poitrine de porc fumée 12% ', 'poitrine de porc [origine uEl', 'sel', 'dextrose', 'épices', 'arôme de fumée', 'arômes naturels', 'conservateurs : E250', 'oignons 10%', 'Kor huile de colza', 'lait entier en poudre', 'amidon modifié', 'Rap sel', 'gélatine porcine', 'farine de blé malté', 'agent de salz behé traitement de la farine : L-cystéine', 'poivre']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E428 - Gélatine']","['Gluten', 'Lait']","['Non végétalien', 'Non végétarien']",4,10 g,en quantité modérée,5 g,en quantité modérée,3 g,en faible quantité,0.95 g,en quantité modérée,?,,191,-18%,799 kj(191 kcal),-18%,10,-15%,5,-6%,19,-21%,3,-10%,"5,9",-15%,"0,95",-24%,"0,38",-24%,7,-39%,C,-39%,64.0%,16.9%,4.0%,4.3%,2.3%,8.5%,64,,,,,,,,,,,
1,2 Flammekueches Roquefort - Kauffer's,3273310346428,C,"[""Kauffer's""]","['Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', 'Flammekueches']",['France'],[],,,[],,16 g,en quantité modérée,8.8 g,en quantité élevée,3.2 g,en faible quantité,1.5 g,en quantité modérée,?,,256,+9%,1071 kj(256 kcal),+10%,16,+37%,"8,8",+66%,19,-21%,"3,2",-4%,"8,9",+28%,"1,5",+20%,"0,6",+20%,17,+49%,D,+49%,64.0%,16.9%,4.0%,4.3%,2.3%,8.5%,64,,,,,,,,,,,
2,Min galette pdt Kauffer's x15,3273310346527,,"[""Kauffer's""]",,['France'],['mini îalettes Alsaciennes urnbeerekiechle ? Terre persil'],,,[],,,,,,,,,,?,,104,,435 kj(104 kcal),,"0,5",,"0,1",,22,,"0,9",,"2,3",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,
3,Flammekueche,3273310346756,C,,"['Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', 'Flammekueches']",['France'],[],,,[],,11 g,en quantité modérée,6.2 g,en quantité élevée,2 g,en faible quantité,1.5 g,en quantité modérée,?,,214,-9%,895 kj(214 kcal),-8%,11,-6%,"6,2",+17%,20,-17%,2,-40%,"8,3",+20%,"1,5",+20%,"0,6",+20%,14,+23%,D,+23%,64.0%,16.9%,4.0%,4.3%,2.3%,8.5%,64,,,,,,,,,,,
4,Flammekueches au munster - Kauffer’s,3273310347302,C,['Kauffer’s'],"['Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', 'Flammekueches']",['France'],"['Spécialité laitière ', 'crème ', 'lait', 'fromage blanc ', 'lait', 'eau', 'amidon modifié : E1422', 'gélatine', 'farine de blé ', 'farine de blé', 'levure désactivée', 'fromage de Munster AOC ', 'lait', ' 14%', 'eau', 'poitrine de porc fumée 10% ', 'poitrine de porc [origine : uEl', 'sel', 'dextrose', 'épices', 'arôme de fumée', 'arômes', 'conservateurs E250', 'E301', 'huiles de colza et tournesol', 'poudre de lait entier', 'sel', 'semoule de blé tendre', 'émulsifiant : E471', 'farine de blé', 'farine de blé malté', 'agent de traitement de la farine : cystéine', 'poivre']","['E14XX - Amidons modifiés', 'E1422 - Adipate de diamidon acétylé', 'E428 - Gélatine', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E920 - L-Cystéine et ses chlorhydrates']","['Gluten', 'Lait']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,13.2 g,en quantité modérée,6.4 g,en quantité élevée,2.6 g,en faible quantité,1.05 g,en quantité modérée,?,,222,-5%,929 kj(222 kcal),-5%,"13,2",+13%,"6,4",+21%,"18,2",-25%,"2,6",-22%,"7,2",+4%,"1,05",-16%,"0,42",-16%,12,+5%,D,+5%,64.0%,16.9%,4.0%,4.3%,2.3%,8.5%,64,,,,,,,,,,,
5,Flammekueche -,3273310411041,C,,"['Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', 'Flammekueches']",['France'],[],,,[],,10 g,en quantité modérée,4.7 g,en quantité modérée,3 g,en faible quantité,1 g,en quantité modérée,?,,196,-16%,820 kj(196 kcal),-16%,10,-15%,"4,7",-11%,20,-17%,3,-10%,"6,1",-12%,1,-20%,"0,4",-20%,7,-39%,C,-39%,64.0%,16.9%,4.0%,4.3%,2.3%,8.5%,64,,,,,,,,,,,
6,Tarte flambée,3273310411560,,,,['France'],[],,,[],,,,,,,,,,?,,196,,820 kj(196 kcal),,10,,"4,7",,20,,3,,"6,1",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,
7,Flammekueches,3273310415216,C,,"['Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', 'Flammekueches']",['France'],[],,,[],,10 g,en quantité modérée,4.8 g,en quantité modérée,2.8 g,en faible quantité,1 g,en quantité modérée,?,,204,-13%,854 kj(204 kcal),-12%,10,-15%,"4,8",-9%,22,-9%,"2,8",-16%,"6,1",-12%,1,-20%,"0,4",-20%,7,-39%,C,-39%,64.0%,16.9%,4.0%,4.3%,2.3%,8.5%,64,,,,,,,,,,,
8,Mini flam's,3273311111216,,,,['France'],[],,,[],,,,,,,,,,?,,232,,971 kj(232 kcal),,11,,7,,27,,2,,"5,9",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,
9,Flammekueches,3273314110414,C,,"['Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', 'Flammekueches']",['France'],[],,,[],,10 g,en quantité modérée,4.7 g,en quantité modérée,3 g,en faible quantité,1 g,en quantité modérée,?,,196,-16%,820 kj(196 kcal),-16%,10,-15%,"4,7",-11%,20,-17%,3,-10%,"6,1",-12%,1,-20%,"0,4",-20%,7,-39%,C,-39%,64.0%,16.9%,4.0%,4.3%,2.3%,8.5%,64,,,,,,,,,,,
10,10 Flammekueches alsaciennes lardons oignons - Kauffer's - 10 * 250g (2500g),3273314125005,C,"[""Kauffer's""]","['Surgelés', 'Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', 'Flammekueches', 'Pizzas et tartes surgelées', 'Tartes salées surgelées']",['France'],"['Farine de blé ', 'blé', 'levure désactivée', 'spécialité laitière ', 'fromage blanc ', 'lait', ' 17%', 'crème ', 'lait', ' 17%', 'eau', 'amidon modifié : E1422', 'gélatine', 'poitrine de porc fumée 12% ', 'poitrine de porc', 'sel', 'dextrose', 'épices', 'arôme de fumée', 'arômes', 'conservateurs : E301', 'E250', 'oignons 10%', 'eau', 'lait reconstitué ', 'eau', 'poudre de lait entier', 'huiles de colza et tournesol', 'sel', 'semoule de blé', 'émulsifiant : E471', 'farine de blé malté', 'agent de traitement de la farine : cystéine', 'poivre']","['E14XX - Amidons modifiés', 'E1422 - Adipate de diamidon acétylé', 'E428 - Gélatine', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E920 - L-Cystéine et ses chlorhydrates']","['Gluten', 'Lait']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,11.4 g,en quantité modérée,4.8 g,en quantité modérée,3 g,en faible quantité,1.03 g,en quantité modérée,848,-12%,?,,848 kj(203 kcal),-13%,"11,4",-10%,"4,8",-27%,"18,7",-14%,3,-4%,6,-15%,"1,03",+8%,"0,412",+8%,7,-33%,C,-33%,64.0%,16.9%,4.0%,4.3%,2.3%,8.5%,64,Tartes flambées,10 * 250 g (2500 g),"['Carton', 'surgelé']","['EMB 67067', 'Brumath (Bas-Rhin, France)']",['Cora'],,,,,,
11,Bâtonnets de glace à l'eau Lolly citron,3273440008005,,,,['France'],[],,,[],,,,,,,,,,?,,69,,289 kj(69 kcal),,"0,03",,"0,006",,17,,12,,"0,1",,"0,003",,"0,001",,,,,,,,,,,,,,,,,,,,,,,
12,Ski à l'eau violette,3273440008067,,,,['France'],[],,,[],,,,,,,,,,?,,77,,322 kj(77 kcal),,"0,03",,0,,19,,"13,48",,"0,04",,"0,003",,"0,001",,,,,,,,,,,,,,,,,,,,,,,
13,Arc en ciel - Ski - 1l (550g),3273440010077,C,['Ski'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot']",['France'],"['Lait réhydraté', 'sucre', 'matière grasse végétale ', 'palme', 'palmiste', 'lactose et protéines de lait', 'glucose-fructose', 'arôme', 'colorant naturel : rouge de betterave', ""émulsifiants : mono- et diglycérides d'acides gras d'origine végétale"", 'stabilisants : farine de caroube et gomme de guar']","['E162 - Rouge de betterave', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E410 - Gomme de caroube', 'E412 - Gomme de guar']",['Lait'],"['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,6.7 g,en quantité modérée,4.5 g,en quantité modérée,19.8 g,en quantité élevée,0.05 g,en faible quantité,?,,162,-26%,678 kj(162 kcal),-26%,"6,7",-39%,"4,5",-34%,"22,7",-13%,"19,8",-12%,"2,9",-13%,"0,05",-67%,"0,02",-67%,9,-29%,C,-29%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,1 l (550 g),"['Plastique', 'surgelé']",,['Cora'],"['France', 'SAS LEGRAND', '62216', 'Loison-sous-Lens']",,,,,
14,Aubaines de,3273591001771,,,,['France'],[],,,[],,,,,,,,,,?,,3,,13 kj(3 kcal),,6,,6,,12,,10,,6,,10,,4,,,,,,,,,,,,,,,,,,,,,,,
15,Tripes au vin blanc,3273625502328,,,,['France'],[],,,[],,,,,,,,,,?,,90,,377 kj(90 kcal),,"3,2",,"1,7",,"1,4",,"0,5",,14,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,
16,Pâté de Tête - 1er prix - 300g,3273625519036,C,['1er prix'],"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de tête']",['France'],"['Tête de porc 80%', 'eau', 'vinaigre', 'sel', 'épices', 'arôme naturel', 'plantes aromatiques déshydratées', 'conservateur : nitrite de sodium', 'colorant : carmin de cochenille', '\rGelée de couverture : eau', 'gélatine de porc', 'sel', 'épaississant : gomme xanthane', 'acidifiant : acide citrique', 'colorant : caramel ordinaire', 'arômes naturels']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique', 'E428 - Gélatine', 'E415 - Gomme xanthane', 'E330 - Acide citrique', 'E150a - Caramel E150a']",,"['Non végétalien', 'Non végétarien']",4,8.6 g,en quantité modérée,3.1 g,en quantité modérée,0.4 g,en faible quantité,1.8 g,en quantité élevée,?,,141,-28%,590 kj(141 kcal),-25%,"8,6",-37%,"3,1",-40%,"2,4",+217%,"0,4",+13%,"13,4",-12%,"1,8",+4%,"0,72",+4%,11,-7%,D,-7%,76.6%,14.8%,4.7%,2.2%,1.3%,0.4%,42,,300g,"['Frais', 'Plastique']","['FR 22.093.001 CE', ""Lamballe (Côtes-d'Armor, France)"", 'EMB 22093C', ""Lamballe (Côtes-d'Armor, France)""]",['Magasins U'],,"['Viande-francaise', 'Viande-porcine-francaise']",['France'],,,
17,Chair - Le Porc Francais,3273625605074,,['Le Porc Francais'],,['France'],"['viande de porc 90%', 'sel', 'conservateur : E326', 'dextrose', ""correcteur d'acidité: E263"", 'arômes naturels', 'épices', 'antioxydant: E316', 'plante aromatique', 'colorant: E120']","['E326 - Lactate de potassium', 'E263 - Acétate de calcium', 'E316 - Érythorbate de sodium', 'E120 - Acide carminique']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,309,,1293 kj(309 kcal),,28,,11,,"1,2",,0,,13,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,
18,Saucisson a l’ail cuit - Le Porc Francais,3273625805108,E,['Le Porc Francais'],"['Viandes', 'Charcuteries', 'Saucissons', ""Saucissons à l'ail""]",['France'],"[""y:n de e-si'?teur"", ' ce CS 3GhËSOZÏRlFR Embi 7528 Produit patt 12', ' boulevard d', '2V']",,,[],,23.6 g,en quantité élevée,9.2 g,en quantité élevée,0.3 g,en faible quantité,1.7 g,en quantité élevée,?,,276,+1%,1155 kj(276 kcal),+0%,"23,6",+6%,"9,2",+8%,"0,4",-64%,"0,3",-58%,"15,4",-4%,"1,7",-19%,"0,68",-19%,19,-2%,E,-2%,80.5%,12.7%,2.9%,1.1%,0.6%,2.3%,21,,,,,,,"['Fabriqué en France', ""Saucisson à l'ail""]",,,,
