,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,allergens,nova_score,additives,quantity,traceability_code,packaging,manufacturing,generic_name,markets,ingredients_origins,link,palm_ingredients,brand_owner
0,Soufflé de saint jacques - Comtesse du Barry,3660806017892,['Comtesse du Barry'],['France'],[],[],?,139,582 kj(139 kcal),"9,4","6,5","6,1","2,9","7,1","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Fondant de crustacés aux girolles et Noilly Prat - Comtesse du Barry,3660806017908,['Comtesse du Barry'],['France'],[],[],?,153,640 kj(153 kcal),"9,6",6,"7,2","1,6","9,2","0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Bloc de foie gras de canard - Comtesse du Barry,3660806018080,['Comtesse du Barry'],['France'],[],[],?,502,2100 kj(502 kcal),"52,4","27,5","2,9","1,83","4,6",1,"0,4",B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras']",52.4 g,en quantité élevée,27.5 g,en quantité élevée,1.83 g,en faible quantité,1 g,en quantité modérée,,+2%,+3%,+4%,+28%,+37%,+38%,-25%,-18%,-18%,20,-2%,E,-2%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,,,,,,,
3,Confits de gesiers - Comtesse du Barry,3660806018271,['Comtesse du Barry'],['France'],[],[],?,760,3180 kj(760 kcal),"5,4","2,1",0,0,33,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Lasagnes de poulet - Comtesse du Barry,3660806018431,['Comtesse du Barry'],['France'],"['Garniture {poulet ', '45 % de la garniture', 'courgettes', 'tomates', 'poivrons rouges', 'poivrons verts}', 'sauce béchamel au fromage {eau', 'crème ', 'lait', 'fromage de brebis des Pyrénées ', 'lait', ' ', '15% de la sauce béchamel', 'fromage de brebis ', 'lait', 'amidon de blé ', 'gluten', 'ail', 'sel', 'arôme naturel', 'oignons', 'paprika', 'thym', 'poivre', 'ras el hanout', 'muscade}', 'pâte ', 'semoule de blé ', 'gluten', 'eau', 'œufs', 'sel}']","['Non végétalien', 'Non végétarien']",?,165,690 kj(165 kcal),"9,8","4,7","9,2","2,7","10,1",1,"0,4",,"['Plats préparés', 'Plats à base de pâtes', 'Lasagnes préparées']",9.8 g,en quantité modérée,4.7 g,en quantité modérée,2.7 g,en faible quantité,1 g,en quantité modérée,,+23%,+24%,+62%,+84%,-26%,+3%,+62%,+28%,+28%,5,+112%,C,+112%,,,,,,,,"['Sans colorants', 'Sans conservateurs']","['Œufs', 'Gluten', 'Lait']",4,,,,,,,,,,,
5,Terrine de pintade aux pommes et au calvados - Comtesse du Barry,3660806018547,['Comtesse du Barry'],['France'],[],[],?,245,1025 kj(245 kcal),"19,8","7,82",3,"1,68","13,6","1,42","0,568",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Rillettes de porc au piment d'espelette et jambon de Bayonne - Comtesse du Barry,3660806018585,['Comtesse du Barry'],['France'],[],[],?,304,1272 kj(304 kcal),"24,9","8,6","5,8","1,5","14,2","1,5","0,6",D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande rouge', 'Rillettes de porc']",24.9 g,en quantité élevée,8.6 g,en quantité élevée,1.5 g,en faible quantité,1.5 g,en quantité modérée,,-23%,-23%,-32%,-39%,+1046%,+341%,-10%,+17%,+17%,17,-13%,D,-13%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,,,
7,Terrine de canard aux figues - Comtesse du Barry,3660806018653,['Comtesse du Barry'],['France'],"[""' viande et gras de porc "", 'origine France', 'viande et gras de canard', 'origine France', ' 32 %', 'figues ', 'figues sèches,dextrose', ' 4% ,œuf', 'échalote', 'eau', 'sel ,gélatine,arôme naturel', 'poivre']","['Non végétalien', 'Non végétarien']",?,313,1310 kj(313 kcal),26,"8,6","2,8","2,2",16,"1,4","0,56",D,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",26 g,en quantité élevée,8.6 g,en quantité élevée,2.2 g,en faible quantité,1.4 g,en quantité modérée,,+2%,+2%,-1%,-9%,+63%,+255%,+13%,-8%,-8%,17,-5%,D,-5%,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,['Œufs'],4,['E428 - Gélatine'],,,,,,,,,,
8,Terrine de canard aux figues - Comtesse Du Barry,3660806018660,['Comtesse Du Barry'],['France'],[],[],?,313,1310 kj(313 kcal),26,"8,6","2,8","2,2",16,"1,4","0,56",E,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",26 g,en quantité élevée,8.6 g,en quantité élevée,2.2 g,en faible quantité,1.4 g,en quantité modérée,,+2%,+2%,-1%,-9%,+63%,+255%,+13%,-8%,-8%,17,-5%,D,-5%,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,,,,,,,,,,,,,
9,Terrine de Foie de volaille au jus de truffe - Comtesse du Barry,3660806018752,['Comtesse du Barry'],['France'],"['MRÉDATS:viandeet gras de confits la graisse de canard', ' réoosporum', '0', '9 poivre', "" Porc,pc 'let et canard"", 'Otig:ne ', ' YMW', 'COHTESSEDUBARRY', 'COH']","['Non végétalien', 'Non végétarien']",?,285,1192 kj(285 kcal),24,"8,6","2,7","1,2",15,"1,3","0,52",,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de foie', 'Terrines de foie de volaille']",24 g,en quantité élevée,8.6 g,en quantité élevée,1.2 g,en faible quantité,1.3 g,en quantité modérée,,-6%,-6%,-11%,-17%,+81%,+117%,+9%,-13%,-13%,16,-12%,D,-12%,,,,,,,,,,,,,,,,,,,,,
