,name,bar_code,eco_score,brand,categories,labels,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,quantity,packaging,ingredients_origins,additives,manufacturing,generic_name,link,palm_ingredients
0,Emmental français - Biocoop,2871820020015,D,['Biocoop'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",['Bio'],['Biocoop'],['France'],"[""LAIT issu de l'agriculture biologique"", 'sel', 'coagulant fongique', 'ferments LACTIQUES']","['Œufs', 'Lait']",['Non végétalien'],3,29 g,en quantité élevée,17.5 g,en quantité élevée,0.5 g,en faible quantité,0.75 g,en quantité modérée,?,,377,-1%,1577 kj(377 kcal),-0%,29,-2%,"17,5",-12%,"0,5",-18%,"0,5",+6%,29,+5%,"0,75",+27%,"0,3",+27%,12,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,
1,Emmental francais,2871820020534,C,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],,[],,29 g,en quantité élevée,17.5 g,en quantité élevée,0.5 g,en faible quantité,0.75 g,en quantité modérée,?,,377,-1%,1577 kj(377 kcal),-0%,29,-2%,"17,5",-12%,"0,5",-18%,"0,5",+6%,29,+5%,"0,75",+27%,"0,3",+27%,12,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,
2,Emmental francais - Biocoop,2871820022040,D,['Biocoop'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",['Bio'],['Biocoop'],['France'],"['0 jaf pasteu', ' Origine France au IR!Ï de t a', 'rgcui', 'ture biologique', 'sel', 'fcr,gique', 'fermants LBCIilUE5', 'Trace possible de — de tlûUTH?CE CEIJf', 'Condttlonné touts atmosphere Valeurs erergétjquet at nutritionnelles pour ICCg: Energiê 157EVJ/37SVcal Hatier"" gractest 239 dont acjdae„ gras saturéi', ' *j7g 0 fg dcnt sucres C fg Protéines: 15 12<7 H couom', 'rtr tcy', 'ornmar sous 6 Jours apres owertura', '0,2A2kg']",,[],,29 g,en quantité élevée,17.5 g,en quantité élevée,0.5 g,en faible quantité,0.75 g,en quantité modérée,?,,377,-1%,1577 kj(377 kcal),-0%,29,-2%,"17,5",-12%,"0,5",-18%,"0,5",+6%,29,+5%,"0,75",+27%,"0,3",+27%,12,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,
3,Emmental français - Biocoop,2871820022378,C,['Biocoop'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],,[],,29 g,en quantité élevée,17.5 g,en quantité élevée,0.5 g,en faible quantité,0.75 g,en quantité modérée,?,,377,-1%,1577 kj(377 kcal),-0%,29,-2%,"17,5",-12%,"0,5",-18%,"0,5",+6%,29,+5%,"0,75",+27%,"0,3",+27%,12,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,
4,Emmental francais - Biocoop,2871820022439,C,['Biocoop'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['Biocoop'],['France'],"[""LBIT issu de L'agriculture biologique"", 'sel', 'coagulant fongique', 'ferments LBCTIIUES', 'Trace possible de graines de MOUTRRDE OEüF', 'Conditicnné sous atmosphère']",,[],,29 g,en quantité élevée,17.5 g,en quantité élevée,0.5 g,en faible quantité,0.75 g,en quantité modérée,?,,377,-1%,1577 kj(377 kcal),-0%,29,-2%,"17,5",-12%,"0,5",-18%,"0,5",+6%,29,+5%,"0,75",+27%,"0,3",+27%,12,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,
5,Emmental français,2871820022637,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",['Bio'],,['France'],[],,[],,29 g,en quantité élevée,17.5 g,en quantité élevée,0.5 g,en faible quantité,0.75 g,en quantité modérée,?,,377,-1%,1577 kj(377 kcal),-0%,29,-2%,"17,5",-12%,"0,5",-18%,"0,5",+6%,29,+5%,"0,75",+27%,"0,3",+27%,12,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,
6,Emmental français - Biocoop,2871820022835,D,['Biocoop'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",['Bio'],,['France'],[],,[],,29 g,en quantité élevée,17 g,en quantité élevée,0.5 g,en faible quantité,0.8 g,en quantité modérée,?,,379,0%,1586 kj(379 kcal),+0%,29,-2%,17,-14%,"0,5",-18%,"0,5",+6%,29,+5%,"0,8",+36%,"0,32",+36%,12,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,
7,Emmental français - Biocoop,2871820022897,D,['Biocoop'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",['Bio'],['Biocoop'],['France'],"[""Lait issu de I'agriculture biologique"", ' sel', 'coagulant fongique', 'ferments lactiques', 'trace possible de graines de MOUTARDE OEUF']","['Œufs', 'Lait', 'Moutarde']",[],3,29 g,en quantité élevée,17.5 g,en quantité élevée,0.5 g,en faible quantité,0.75 g,en quantité modérée,?,,377,-1%,1577 kj(377 kcal),-0%,29,-2%,"17,5",-12%,"0,5",-18%,"0,5",+6%,29,+5%,"0,75",+27%,"0,3",+27%,12,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,
8,Emmental français,2871820023023,C,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],,[],,29 g,en quantité élevée,17 g,en quantité élevée,0.5 g,en faible quantité,0.8 g,en quantité modérée,?,,379,0%,1586 kj(379 kcal),+0%,29,-2%,17,-14%,"0,5",-18%,"0,5",+6%,29,+5%,"0,8",+36%,"0,32",+36%,12,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,
9,Emmental français,2871820023092,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",['Bio'],,['France'],[],,[],,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,243,-36%,1017 kj(243 kcal),-36%,0,-100%,0,-100%,8,+1216%,0,-100%,0,-100%,0,-100%,0,-100%,3,-73%,C,-73%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,
