,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,brand,categories,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,packaging,manufacturing,markets,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,ingredients_origins,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,traceability_code,brand_owner,generic_name,link,palm_ingredients
0,Activia,5900643039809,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Fromage frais i fermier en faisselle - Ferme de la Biochere - 500g,3536270705835,['France'],['Il n’y en a pas'],[],?,?,?,?,?,500g,['Ferme de la Biochere'],['Produits laitiers'],0 g,en faible quantité,,,,,,0,-100%,0,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Pomme cassis,3447870005037,['France'],[],[],?,47,"0,5",10,"0,5",,,,,,,,,,,"0,004",,"0,002",,197 kj(47 kcal),"0,01","9,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Hipp Pâte aux legumes et colin d'alaska,4062300352544,['France'],[],[],?,?,?,?,?,,['Hipp'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Deli'salades - 300g,01401554,['France'],"['carottes 80%', 'eau', 'huile de colza', ""vinaigre d'alcool"", 'jus de citron à base de concentré', 'moutarde 1% ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'sucre sel amidon transformé de pomme de terre', 'épices', 'conservateur : E202', 'épaississant: E415']",[],?,78,"4,9",6,1,300g,"[""Deli'salades""]",['Salades carottes râpées'],0.53 g,en quantité modérée,,,,,,"0,53",,"0,212",,326 kj(78 kcal),"0,5","5,3",['sous vide'],['France'],['Aldi'],"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']",['Moutarde'],4,4.9 g,en quantité modérée,0.5 g,en faible quantité,5.3 g,en quantité modérée,-2,A,,,,,,,,,,,,,,,,,,,,
5,Tomates cerises - Prince de Bretagne,3370569800494,['France'],[],[],?,?,?,?,?,,['Prince de Bretagne'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Tomates', 'Tomates cerise']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,59.5%,0.0%,0.0%,17.7%,17.2%,5.6%,98,,,,,,,,,,,,
6,les mal cassés - food and motion - 120,11100591,['France'],[],"['Végétalien', 'Végétarien']",?,?,?,?,?,120,['food and motion'],,,,,,,,,,,,,,,,['Sachet'],,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,
7,Pâtes Macaroni - Auchan - 0.804kg,0260359003804,['France'],[],[],?,?,?,?,?,0.804kg,['Auchan'],,,,,,,,,,,,,,,,,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Salchichas viena de pavo y pollo con queso,8433329058131,['France'],[],[],?,236,20,2,13,,,,,,,,,,,2,,"0,8",,987 kj(236 kcal),7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sel Marin de l'ile de Ré,3558180031255,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Aceitunas rellenas de anchoa,8413080006268,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Estrella Damm Lemon Fles,8410793153135,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,chorizo hors froid - del pais - 100grammes,3660071009110,['France'],"['Ingrédients Maigre et gras de porc ', '132g de viande de porc mis en oeuvre pour 100g de produit fini', ',sel', 'épices', 'LACTOSE', 'dextrose', 'ferments', 'antioxydant: ascorbate de sodium', 'conservateur: nitrite de sodium', 'colorant: carmins', ' Viande de porc origine Espagne']","['Non végétalien', 'Non végétarien']",?,347,28,"1,6",22,100 grammes,['del pais'],"['Viandes', 'Charcuteries']",3.5 g,en quantité élevée,,+33%,+45%,+9%,+18%,"3,5",+47%,"1,4",+47%,1452 kj(347 kcal),10,"1,6",['100 grammes'],['Espagne'],['super u'],"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique']",['Lait'],4,28 g,en quantité élevée,10 g,en quantité élevée,1.6 g,en faible quantité,23,E,,,,,,,,,['Fabriqué en Espagne'],['Espagne'],+34%,+38%,+101%,+44%,+44%,,,,,
13,Feuilles de vigne farcies - 350g,3760039890221,['France'],[],[],?,?,?,?,?,350 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Zumo de naranja y mango ecológico fruta exprimida brik - Zumosol,8435425109687,['France'],[],[],?,46,"0,1","10,1","0,5",,['Zumosol'],,,,,,,,,"0,003",,"0,001",,192 kj(46 kcal),0,"9,9",,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
15,"Mirin - 1,5l",3760092452329,['France'],[],[],?,?,?,?,?,"1,5 l",['Mirin'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Pop corn caramel,3760018854732,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Orange a jus - 2kg,8712423112926,['France'],[],[],?,?,?,?,?,2 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Iogurt natural desnatat,8422410116058,['France'],[],[],?,42,"0,5","5,6",4,,,,,,,,,,,"0,3",,"0,12",,176 kj(42 kcal),"0,2","5,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,limonade artisanale,3663911000063,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
