,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,traceability_code,additives,nova_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,ingredients_origins,allergens,generic_name,packaging,manufacturing,markets,brand_owner,link,palm_ingredients
0,Authentique palette à la diable,0298218028675,['France'],[],[],?,136,569 kj(136 kcal),"8,4","3,6","1,1","0,5",14,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Palette à la Diable rotie d'Alsace,0298218031293,['France'],[],[],?,136,569 kj(136 kcal),"8,4","3,6","1,1","0,5",14,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Authentique Palette à la Diable Rôtie d’Alsace - Moritz,0298218031354,['France'],"[""Palette de porc sans os traitée en salaison avec de l'eau de source"", 'Sauce moutarde ', '1 0 % env', ' : eau', 'graines de moutarde brunes', ""vinaigre d'alcool"", 'sel', 'acide citrique', 'disulfite de potassium', ' Crépines de porc', 'sel', 'Antioxydant : ascorbate de sodium', 'dextrose de blé', ' Conservateur : nitrite de sodium', ' Traces éventuelles de lait', 'gluten et céleri']",[],?,136,569 kj(136 kcal),"8,4","3,6","1,1","0,5",14,"1,7","0,68",['Moritz'],"['FR 67.144.001 CE', 'Fouday (Bas-Rhin, France)']","['E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Palette a la diable - Moritz,0298218032085,['France'],"[""Palette de porc sans os traitée,en salaison avec de l'eau de source"", 'Sauce moutarde ', '10 % env', ' : eau', 'graines de moutarde brunes', ""vinaigre d'alcool"", 'sel', 'acide citrique', 'disulfite de potassium', ' Crépines de porc', 'sel', 'Antioxydant : ascorbate de sodium', 'dextrose de blé', ' Conservateur : nitrite de sodium', ' Traces éventuelles de lait', 'gluten et céleri']",[],?,136,569 kj(136 kcal),"3,6","1,1","1,1","0,5",14,"1,7","0,68",['Moritz'],,"['E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,L’authentique palette à la diable rôtie d’Alsace - Moritz,0298218032801,['France'],"[""Palette de porc sans os traitée en salaison avec de l'eau de source Sauce moutarde "", '1 0 % env', ' : eau', 'graines de moutarde brunes', ""vinaigre d'alcool"", 'sel', 'acide citrique', 'disulfite de potassium', ' Crépines de porc', 'sel', 'Antioxydant : ascorbate de sodium', 'dextrose de blé', ' Conservateur : nitrite de sodium', ' Traces éventuelles de lait', 'gluten et céleri']",[],?,136,569 kj(136 kcal),"8,4","3,6","1,1","0,5",14,"1,7","0,68",['Moritz'],,"['E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Palette à la diable,0298218032863,['France'],[],[],?,136,569 kj(136 kcal),"8,4","3,6","1,1","0,5",14,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Palette à la diable - Moritz,0298218033914,['France'],"[""Palette de porc sans os traitée en salaison avec de l'eau de source"", 'Sauce moutarde ', '1 0 % env', ' : eau', 'graines de moutarde brunes', ""vinaigre d'alcool"", 'sel', 'acide citrique', 'disulfite de potassium', ' Crépines de porc', 'sel', 'Antioxydant : ascorbate de sodium', 'dextrose de blé', ' Conservateur : nitrite de sodium', ' Traces éventuelles de lait', 'gluten et céleri']",[],?,136,569 kj(136 kcal),"3,6","3,6","1,1","0,5",14,"1,7","0,68",['Moritz'],,"['E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Palette à la diable - Moritz,0298218034188,['France'],"[""Palette de porc sans os traitée en salaison avec de l'eau de source"", 'Sauce moutarde ', '10 % env', ' : eau', 'graines de moutarde brunes', ""vinaigre d'alcool"", 'sel', 'acide citrique', 'disulfite de potassium', ' Crépines de porc', 'sel', 'Antioxydant : ascorbate de sodium', 'dextrose de blé', ' Conservateur : nitrite de sodium', ' Traces éventuelles de lait', 'gluten et céleri']",[],?,136,569 kj(136 kcal),"8,4","3,6","1,1","0,5",14,"1,7","0,68",['Moritz'],,"['E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,L’authentique palette a la diable rotie d’alsace - Moritz,0298218035093,['France'],"[""Palette de porc sans os traitée en salaison avec de l'eau de source Sauce moutarde "", '10 % env', ' : eau', 'graines de moutarde brunes', ""vinaigre d'alcool"", 'sel', 'acide citrique', 'disulfite de potassium', ' Crépines de porc', 'sel', 'Antioxydant : ascorbate de sodium', 'dextrose de blé', ' Conservateur : nitrite de sodium', ' Traces éventuelles de lait', 'gluten et céleri']",[],?,136,569 kj(136 kcal),"8,4","3,6","1,1","0,5",14,"1,7","0,68",['Moritz'],"['FR 67.144.001 CE', 'Fouday (Bas-Rhin, France)']","['E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Palette à la diable - Moritz,0298218036212,['France'],"[""Palette de porc sans os traitée en salaison avec de l'eau de source Sauce moutarde "", '1 0 % env', ' eau', 'graines de moutarde brunes', ""vinaigre d'alcool"", 'sel', 'acide citrique', 'disulfite de potassium', ' Crépines de porc', 'sel', 'Antioxydant : ascorbate de sodium', 'dextrose de blé', ' Conservateur : nitrite de sodium', ' Traces éventuelles de lait', 'gluten et céleri']",[],?,136,569 kj(136 kcal),"8,4","3,6","1,1","0,5",14,"1,7","0,68",['Moritz'],,"['E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
