,name,bar_code,brand,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,categories,palm_ingredients,allergens,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,labels,manufacturing,traceability_code,markets,generic_name,ingredients_origins,link
0,Galettes royales - Serebis,3254950008495,['Serebis'],['France'],"['Farine de blé fo', 'ttaçe pâtissier ', '26%', ' ', 'sucre', 'fèves de soja', 'haricots dextrose amidon mdfié', 'huile de cclZò', ': n:urel', ""fibres d'agrumes"", ""v' sucre"", 'huile de eaut de ghxose fnxtosee jaune deufs ooud:e à : E450t sirop de glucose', 'albumine stablfsnt:E339i 616', 'arôme', 'e es', ' des traces de fruits à coqu']",['E339i - Phosphate monosodique'],[],4,?,443,1854 kj(443 kcal),"21,9","8,5","55,8","30,3","4,7","0,73","0,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,200G 12 BAMBIZOUS SEREBIS - 200g,3254950008570,['Serebis'],['France'],[],,[],,?,410,1715 kj(410 kcal),?,14,?,55,"2,5","0,4","0,16",200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Gateau saveur amande - Serebis,3254950008600,['Serebis'],['France'],"['Fourrage saveur amandes ', '47%', ' ', 'sucre', 'fèves de soja', 'eau', 'haricots blancs', 'dextrose', 'amidon modifié', 'huile de colza', 'huile de palme', 'arôme naturel', 'selt fibres dtaarumes', ""noyaux d'abricot"", 'épaississants : E440', 'E466 acidifiant : E330 ', 'émulsifiant : E471 t farine de blé', 'sucre', 'huile de palme eau', 'huile de colza,jaune dt?u s de poules élevées au sol', 'œufs de poules élevées au sol', 'amandes ', '1 ,2%', 'onseil du Pâtissier : sirop de qlucose - fructose', 'farine de soja', 'sel', 'émulsifiants : lécithine de soja', 'E471', 'poudres à lever : E450', '600', 'arôme naturel', 'amidon 240ge']","['E14XX - Amidons modifiés', 'E440 - Pectines', 'E466 - Carboxyméthylcellulose', 'E330 - Acide citrique', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322i - Lécithine', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition']","['Huile de palme', 'Non végétalien']",4,?,421,1761 kj(421 kcal),"16,5","5,6","61,6","39,2","5,3","0,6","0,24",,"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux aux amandes']",['Huile de palme'],"['Fruits à coque', 'Soja']",16.5 g,en quantité modérée,5.6 g,en quantité élevée,39.2 g,en quantité élevée,0.6 g,en quantité modérée,,-4%,-4%,-28%,-30%,+32%,+33%,-35%,+97%,+97%,20,+12%,E,+12%,,,,,,,,,,,,,,,,
3,Tarte a La Fraise - Serebis,3254950008822,['Serebis'],['France'],"['Génoises: Farine de blé', 'sucre', 'huile de tournesol', 'eufs pasteurisés', 'eau', 'humectant ', 'glycérol', 'sorbitol', 'sirop de glucose', 'dextrose', 'sel', 'arôme naturel de citron', ' Garniture ', '20%', ': sirop de glucose-fructose', 'eau', 'sucre', 'amidon modifié', 'purée de fraises 1', '5% ', 'fraises', 'sucre', 'poudre de crème 1% ', 'lait', 'graines de fraises', 'arôme de crème de lait', 'arôme', ' Nappage: Sirop de glucose', 'eau', 'dextrose', 'sucre', 'arôme', ' Poudre à lever ', 'E-500ii', 'E-503i', 'épaississants ', 'E-460', 'E-466', 'gomme de xanthane', 'gélifiant ', 'pectine', 'colorants ', 'E-163', 'E-171', 'E-120', 'acidulant ', 'acide citrique', ""correcteur d'acidité "", 'citrate de sodium', 'antioxydant ', 'E-336', 'conservateur ', 'E-200', 'E-202', ' Peut contenir des traces de fruits à coque et de soja']","['E422 - Glycérol', 'E420 - Sorbitol', 'E14XX - Amidons modifiés', 'E500ii - Carbonate acide de sodium', ""E503i - Carbonate d'ammonium"", 'E460 - Cellulose', 'E466 - Carboxyméthylcellulose', 'E415 - Gomme xanthane', 'E440 - Pectines', 'E163 - Anthocyanes', 'E171 - Oxyde de titane', 'E120 - Acide carminique', 'E330 - Acide citrique', 'E331 - Citrates de sodium', 'E336 - Tartrates de potassium', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']","['Non végétalien', 'Non végétarien']",4,?,386,1615 kj(386 kcal),21,"2,8",45,21,4,"0,4","0,16",,"['Tartes', 'Tartes sucrées', 'Tartes aux fruits', 'Tartelettes', 'Biscuit sec nappé aux fruits', 'Tartes aux fraises', 'en:Strawberry short cake']",,['Lait'],21 g,en quantité élevée,2.8 g,en quantité modérée,21 g,en quantité élevée,0.4 g,en quantité modérée,,+102%,+102%,+203%,-25%,+52%,+31%,+39%,+72%,+72%,11,+39%,D,+39%,C,81.3%,10.4%,3.5%,2.6%,2.1%,0.0%,56,,,,,,,,
4,Gaufres poudrées aux œufs frais - Serebis - 360g e,3254950008846,['Serebis'],['France'],"['œufs frais ', '32 %', 'sucre', 'farine de blé', 'matières grasses végétales ', 'palme', 'colza', 'dextrose', 'farine de soja', 'lactosérum en poudre', 'amidon de blé', 'sel', 'émulsifiant : lécithines de soja', 'arôme naturel']",['E322i - Lécithine'],"['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,?,443,1854 kj(443 kcal),23,"8,9",51,33,"7,4","0,48","0,192",360 g e,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Gaufres']",,"['Œufs', 'Gluten', 'Lait', 'Soja']",23 g,en quantité élevée,8.9 g,en quantité élevée,33 g,en quantité élevée,0.48 g,en quantité modérée,,-2%,-1%,+7%,-14%,-11%,+9%,+23%,-32%,-32%,22,+1%,E,+1%,C,77.1%,12.7%,5.0%,2.6%,2.6%,0.0%,66,['Plastique'],['Point Vert'],['Union européenne'],,,,,
5,16 Paquets De 12 Croc' Neige Géantes - Serebis,3254950008983,['Serebis'],['France'],"['Sucre', 'glucose', ""blanc d'œufs reconstitué"", 'huiles et matières grasses végétales ', 'palme', 'farine de blé', 'cacao', 'poudre de coco', 'émulsifiants: ', 'E420', 'E320 E406', 'E471', 'E452', 'arôme vanille', 'sel', ""poudre de jaune d'oeufs"", 'agent élévateur ', 'E500i']","['E420 - Sorbitol', 'E320 - Butylhydroxyanisol', 'E406 - Agar-agar', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E500i - Carbonate de sodium']","['Huile de palme', 'Non végétalien']",4,?,410,1715 kj(410 kcal),15,14,65,55,"2,5","0,4","0,16",,,,"['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,
6,8 Paquets De Maxi Fonds De Tarte Choco x 3,3254950009447,,['France'],[],,[],,?,336,1406 kj(336 kcal),9,1,70,39,"6,8","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,12 Paquets De Gaufre Au Lait - Serebis,3254950009942,['Serebis'],['France'],"['farine de froment', 'sucre', 'oeufs entiers', 'huile de colza', 'sirop de sucre inverti', 'huile et matières grasses végétales ', 'huile de palme', 'huile de coco', 'huile de palme partiellement hydrogénée', 'huile de colza', 'oligofructose', 'lait écrémé en poudre équivalent à 1 1 % de lait écrémé', 'amidon', 'poudre à ever ', 'tartrate de mono potassium', 'carbonate sodium', 'sel', 'émulsifiant', ' lécithine de soja', 'arômes']","['E334 - Acide L-tartrique', 'E500i - Carbonate de sodium', 'E322i - Lécithine']","['Huile de palme', 'Non végétalien']",4,?,422,1766 kj(422 kcal),"17,8","4,22","58,5","36,6","6,2","0,29","0,116",,,['Huile de palme'],"['Gluten', 'Soja']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Boules au fromage,3254950446464,,['France'],[],,[],,?,532,2226 kj(532 kcal),33,14,55,1,"5,8",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Roulade choco,3254950446518,,['France'],[],,[],,?,407,1703 kj(407 kcal),"18,2","10,1",57,"36,1","4,9","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
