,name,bar_code,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,generic_name,quantity,packaging,manufacturing,traceability_code,markets,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,ingredients_origins,link,palm_ingredients,brand_owner
0,Tarte au riz - Roelandt,5420022848988,['Roelandt'],"['Tartes', 'Tartes sucrées', 'Tartes au riz']",['France'],"['Remplissage de gâteau de riz [lait entier', 'sucre', 'riz ', '10%', 'jaune d’œuf', 'crème', 'amidon modifié', 'stabilisateur ', 'E461', 'sel', 'arôme ', 'vanille', 'colorant ', 'E160a', ']', 'la pâte feuilletée [farine de blé', 'eau', 'beurre', 'sel]']","['E14XX - Amidons modifiés', 'E461 - Méthylcellulose', 'E160a - Carotènes mélangés']","['Œufs', 'Gluten', 'Lait']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,4.8 g,en quantité modérée,2.5 g,en quantité modérée,15 g,en quantité élevée,1.7 g,en quantité élevée,?,,171,-42%,715 kj(171 kcal),-42%,"4,8",-59%,"2,5",-62%,28,-32%,15,-37%,"3,8",-1%,"1,7",+443%,"0,68",+443%,14,-1%,D,-1%,,,,,,,,,,,,,,,,,,,
1,Pain saucisse curry,5420022849510,,,['France'],[],,,[],,,,,,,,,,?,,320,,1339 kj(320 kcal),,22,,"9,6",,23,,"2,5",,"7,3",,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,,,,,
2,tiramisu - MichelAngelo - 1100g,5420024110007,['MichelAngelo'],"['Produits laitiers', 'Desserts', 'Biscuits et gâteaux', 'Desserts lactés', 'Pâtisseries', 'Tiramisu']",['France'],"['laité écrémé réhydraté', 'sirop de glucose', 'huile végétale de coco', 'biscuits boudoirs 8%', 'farine de froment ', 'gluten', 'sucre', 'œufs 26%', 'poudre à lever ', 'bicarbonate de sodium', ""bicarbonate d'ammonium"", 'sirop de glucose', 'arôme naturel de vanille', 'sel', 'sucre', 'mascarpone 6,2%', 'crème', 'lait pasteurisé', 'acide ntrique', 'eau', 'maltodextrine', 'lactose et protéines de lait', 'jaune d’œuf', 'alcool', 'vin Marsala', 'saupoudrage au cacao', 'amidon de maïs', 'agar-agar', 'gomme tara', ""mono- et dyglycérides d'acide gras"", 'fibre de citron', 'café soluble 0,4%', ' Teneur en alcool 2,0 ', 'g/100g']","['E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium"", 'E406 - Agar-agar', 'E417 - Gomme tara']","['Œufs', 'Gluten', 'Lait']",['Non végétalien'],4,12.5 g,en quantité modérée,10.8 g,en quantité élevée,20.6 g,en quantité élevée,0.11 g,en faible quantité,1230,+13%,?,,1230 kj(294 kcal),+12%,"12,5",+5%,"10,8",+36%,"37,6",+17%,"20,6",-3%,"3,7",-11%,"0,11",-37%,"0,044",-37%,17,+24%,D,+24%,E,tiramisu,1100 g,['Plastique'],['Italie'],['IT 03 258 CE'],['Boucheries André'],84.5%,12.9%,0.8%,1.3%,0.4%,0.1%,11,,,,,
3,Parmigiano Reggiano 28 % En Pétales,5420024127500,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Parmigiano Reggiano']",['France'],[],,,[],,30 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,?,,402,+0%,1682 kj(402 kcal),+1%,30,+1%,20,+1%,0,-100%,0,,32,-1%,"1,6",0%,"0,64",0%,17,+2%,D,+2%,D,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,
4,Parmesan,5420024141018,,,['France'],[],,,[],,,,,,,,,,?,,402,,1682 kj(402 kcal),,30,,20,,0,,0,,32,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,
5,5420024600126,5420024600126,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Biolys Thee Appel Rabarber 20Zk,5420024600300,['Biolys'],['Boissons'],['France'],"['apple pulp* 45% senna lear 35% hibiscus flower* 15% - flavours : rhubarb and strawberry 5%', ' *Product oforganic farming', ' Checked by Certisys BE-BIO-OI', ' ? Ingredientes : polpa de maçâ* 45% - folha de sene* 35% - flor de hibisco* 15% - aromas : ruibarbo e morango 596', ' *Produtos da agricultura biolôgica', ' Controlado por Certisys BE-BIO-OI']",,,[],,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,B,-100%,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'BE-BIO-01', 'AB Agriculture Biologique']",,,,
7,Elimin Turn & Go,5420024603356,,,['France'],[],,,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Thymotabs -  - 26,4g",5420024611252,,['Compléments alimentaires'],['France'],[],,,[],,1.1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,334,+15%,1397 kj(334 kcal),+15%,"1,1",-83%,0,-100%,"76,6",+301%,0,-100%,"0,3",-99%,0,-100%,0,-100%,4,-39%,C,-39%,,,"26,4 g",,,,,,,,,,,,,,,,
9,Filet De Poulet - Charles Olivier,5420027301143,['Charles Olivier'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['France'],[],,,[],,3 g,en quantité modérée,0.87 g,en faible quantité,1 g,en faible quantité,2.4 g,en quantité élevée,?,,107,-18%,448 kj(107 kcal),-17%,3,+4%,"0,87",+17%,"1,2",+151%,1,+312%,19,-17%,"2,4",+220%,"0,96",+220%,11,,D,,D,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,
10,Nouilles Bangkok aux crevettes,5420028572009,,,['France'],[],,,[],,,,,,,,,,?,,592,,2477 kj(592 kcal),,"5,9",,1,,15,,"2,4",,"5,7",,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,
11,Poulet panang et riz,5420028575444,,,['France'],[],,,[],,,,,,,,,,?,,155,,649 kj(155 kcal),,"8,2",,"4,1",,"14,6",,"2,5",,"5,4",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,
12,Noix de soja BBQ apero,5420029540922,,,['France'],[],,,[],,,,,,,,,,?,,444,,1858 kj(444 kcal),,"23,3",,"3,1",,11,,7,,38,,"3,33",,"1,332",,,,,,,,,,,,,,,,,,,,,,,,
13,Crepes,5420029540946,,"['Crêpes et galettes', 'Crêpes']",['France'],[],,,[],,10 g,en quantité modérée,3.6 g,en quantité modérée,4.5 g,en faible quantité,2.6 g,en quantité élevée,?,,402,+31%,1682 kj(402 kcal),+30%,10,+1%,"3,6",-1%,15,-67%,"4,5",-79%,62,+766%,"2,6",+220%,"1,04",+220%,18,+49%,D,+49%,B,,,,,,,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,,,,,
14,Escargots petits gris - Artagan - 80g,5420030612601,['Artagan'],,"['Belgique', 'France']","['Escargots 50% ', ""chair d'Helix aspersa maxima"", 'vin blanc ', 'Chablis', 'aromates ', 'sel', 'thym', 'laurier', 'piment', 'farce 50% ', 'beurre extra fin ', 'lait', ' 82% MG', 'ail', 'persil', 'échalote', 'sel de Guérande', 'poivre']",,"['Lait', 'Mollusques']","['Non végétalien', 'Non végétarien']",,,,,,,,,,?,,375,,1569 kj(375 kcal),,37,,25,,3,,0,,"7,5",,"1,3",,"0,52",,,,,,,,80 g,['Barquette'],['Andenne (BE)'],,['Delhaize'],,,,,,,,,,,,
15,Cranberry,5420034911892,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Canneberges séchées']",['France'],[],,,[],,68.1 g,en quantité élevée,6.1 g,en quantité élevée,2.9 g,en faible quantité,0.002 g,en faible quantité,?,,714,+112%,2987 kj(714 kcal),+112%,"68,1",+9546%,"6,1",+2370%,"5,4",-93%,"2,9",-96%,"15,9",+5579%,"0,002",-91%,"0,001",-91%,4,-45%,C,-45%,,,,,,,,,,,,,,,,,,,
16,Graine de chanvre - 1000g,5420034985565,,,['France'],[],,,[],,,,,,,,,,?,,580,,2427 kj(580 kcal),,48,,"4,7",,"8,2",,"2,1",,25,,"0,1",,"0,04",,,,,,,,1000 g,,,,,,,,,,,,"['Bio', 'Bio européen', 'BE-BIO-02']",,,,
17,Delicious,5420036120384,,,['France'],[],,,[],,,,,,,,,,?,,308,,1289 kj(308 kcal),,"1,47",,"0,89",,"65,34",,"64,07",,"2,08",,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,,,
18,Paprika mix,5420036408291,,,['France'],[],,,[],,,,,,,,,,?,,536,,2243 kj(536 kcal),,"35,41",,"7,06",,10,,"9,99",,"16,23",,"1,48",,"0,592",,,,,,,,,,,,,,,,,,,,,,,,
19,Noisettes brunes,5420036410331,,,['France'],[],,,[],,,,,,,,,,?,,717,,3000 kj(717 kcal),,69,,"4,9",,6,,5,,14,,"0,005",,"0,002",,,,,,,,,,,,,,,,,,,,,,,,
20,Chocolat blanc - Pierre Marcolini,5420038112226,['Pierre Marcolini'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats blancs']",['France'],[],,,[],,41 g,en quantité élevée,26 g,en quantité élevée,51 g,en quantité élevée,0.32 g,en quantité modérée,?,,600,+6%,2510 kj(600 kcal),+6%,41,+14%,26,+20%,51,-4%,51,+1%,"6,64",-1%,"0,32",+25%,"0,128",+25%,28,+5%,E,+5%,E,,,,,,,91.5%,4.7%,1.2%,2.1%,0.4%,0.0%,24,,,,,
21,Rose Pistache,5420038143466,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,['Point Vert'],,,,
22,Haricot sec,5420038400033,,,['France'],[],,,[],,,,,,,,,,?,,331,,1385 kj(331 kcal),,2,,"0,4",,"49,5",,"4,9",,22,,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,,,,
23,Lentilles rouges - TAGINE Extra,5420038400101,['TAGINE Extra'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles', 'Lentilles rouges']",['France'],['Lentilles rouges'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1.5 g,en faible quantité,0.2 g,en faible quantité,1 g,en faible quantité,0 g,en faible quantité,?,,360,+9%,1506 kj(360 kcal),+9%,"1,5",-4%,"0,2",-19%,60,+27%,1,-39%,28,+15%,0,-100%,0,-100%,-6,,A,,B,,,,,,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,,,,,
24,Thé vert,5420038400767,,,['France'],[],,,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
