,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,brand,categories,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,generic_name,ingredients_origins,manufacturing,markets,link,palm_ingredients,traceability_code,brand_owner
0,Magdalena,8411037007603,['France'],[],[],?,411,1720 kj(411 kcal),19,"3,3",55,39,"4,5","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,magdalena,8411037504003,['France'],[],[],?,455,1904 kj(455 kcal),22,"2,2",60,49,"3,8","0,53","0,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Magdalenas Chocobis,8411037770033,['France'],[],[],?,491,2054 kj(491 kcal),"25,4","3,8","59,2","43,1","4,8","0,67","0,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Madeleines - Lázaro,8411037770064,['France'],"['Farine de froment', 'sucre', 'huile végétale de tournesol', 'oeufs ', ""d'élevage au sol"", '1', '5% cacao en poudre', 'sirop de glucose', 'stabilisant ', 'sorbitol', 'glycérine', 'gomme ne', 'poudre à lever ', 'diphosphate disodique', 'bicarbona - te sodique', ' amido de fromentj conservateur ', 'propio - nate de sodiumt acide sorbic', 'acidifiant ', 'acide citrique', 'sel', 'arôme', ' Peut contenir traces de soja', "" Conserver bien fermé dans un endroit fraitSì sec at à l'abri du soleil""]",['Non végétalien'],?,454,1900 kj(454 kcal),23,"3,3",57,29,"3,9","0,6","0,24",B,['Lázaro'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Madeleines']","['E420 - Sorbitol', 'E422 - Glycérol', 'E450i - Pyrophosphate de sodium acide', 'E330 - Acide citrique']","['Œufs', 'Gluten']",4,23 g,en quantité élevée,3.3 g,en quantité modérée,29 g,en quantité élevée,0.6 g,en quantité modérée,,+3%,+3%,+1%,-52%,+8%,+5%,-31%,-26%,-26%,16,-13%,D,-13%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,,,,,,,,,
4,Brownies -,8411037800020,['France'],[],[],?,474,1983 kj(474 kcal),"25,5","4,1","55,3","46,3","5,5","0,41","0,164",D,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Brownies']",,,,25.5 g,en quantité élevée,4.1 g,en quantité modérée,46.3 g,en quantité élevée,0.41 g,en quantité modérée,,+4%,+4%,-0%,-50%,+15%,+35%,-7%,+7%,+7%,20,+4%,E,+4%,84.5%,9.8%,2.3%,2.2%,1.2%,0.0%,37,,,,,,,,,,,
5,Magdalenas,8411037891097,['France'],[],[],?,483,2021 kj(483 kcal),"23,2","3,8","62,9","35,1","4,4","0,62","0,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Magdalenas,8411037891103,['France'],[],[],?,454,1900 kj(454 kcal),23,"3,3","56,8","29,2","3,9","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Huile d olive vierge extra - Unio,8411045610444,['France'],[],[],?,882,3690 kj(882 kcal),98,14,0,0,0,,,D,['Unio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,98 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,,,,+3%,+3%,+3%,0%,,,,,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,
8,Couscous Blanc Bio -,8411058000577,['France'],[],[],?,354,1481 kj(354 kcal),"1,6","0,3",72,"2,5",11,,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Semoules de céréales', 'Semoules de blé', 'Semoules de blé dur', 'Semoules de blé dur pour couscous']",,,,1.6 g,en faible quantité,0.3 g,en faible quantité,2.5 g,en faible quantité,,,,-1%,-1%,-20%,-21%,+3%,-6%,-10%,,,,,,,69.1%,16.2%,7.3%,3.3%,4.1%,0.0%,80,['Bio'],,,,,,,,,,
9,Espirales triocolores bio,8411058005152,['France'],[],[],?,369,1544 kj(369 kcal),"1,8","0,4","74,3","3,4","12,1","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,
