,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,additives,allergens,nova_score,brand_owner,generic_name,packaging,ingredients_origins,markets,manufacturing,link,palm_ingredients,producer_info
0,Biscuit au gingembre - Great Value,0628915164404,['Great Value'],['France'],[],[],?,390,1632 kj(390 kcal),"0,9",0,70,35,4,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Graines sésame,5407001963641,,['France'],[],[],?,698,2920 kj(698 kcal),61,9,"11,5","0,5",20,"0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Moulin de Carel,0200513029851,,['France'],[],[],?,277,1159 kj(277 kcal),21,"15,5",0,0,20,"1,55","0,62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Miel de Corse,3770002488010,,['France'],[],[],?,?,,?,,?,,?,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français', 'Miels de Corse']",,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Toblerone,03420849,['Toblerone'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Predators Pret,5600854627597,,['France'],[],[],?,390,1632 kj(390 kcal),"3,5","1,7",0,0,88,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Café grain,3700782000386,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mélange de Thés Noir Zoubrovka (125g Dose) - Kusmi Tea,3585804000168,['Kusmi Tea'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Fruit & Nut Muesli,5060482840322,,['France'],[],"['Végétalien', 'Végétarien']",?,376,1573 kj(376 kcal),"10,5","1,5","52,5","9,7","14,1","0,02","0,008",,,,,,,,,,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Boudin,2679649029789,,['France'],[],[],?,266,1113 kj(266 kcal),19,"5,3","7,7","2,4",16,"2,7","1,08",D,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins noirs', 'Boudin noir sauté']",,+9%,-6%,+84%,+50%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,"['FR 10.008.003 CE', 'Argançon (Aube, France)']",19 g,en quantité modérée,5.3 g,en quantité élevée,2.4 g,en faible quantité,2.7 g,en quantité élevée,+9%,-32%,+14%,+86%,+86%,18,+15%,D,+15%,,,,,,,,,,,,,
10,Tentation fruitée,0203418104302,,['France'],[],[],?,278,1163 kj(278 kcal),21,14,20,19,"2,2","0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Rhamnus frangula,5412141002396,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
