,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,markets,traceability_code,manufacturing,packaging,brand_owner,additives,allergens,nova_score,ingredients_origins,generic_name,link
0,Merguez,3327511635130,['Sans colorants'],['France'],[],[],?,272,1138 kj(272 kcal),24,"9,8",1,1,13,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Spaghetti konjac,0853237003739,"['Végétarien', 'en:gluten-free', 'Végétalien']",['France'],[],"['Végétalien', 'Végétarien']",?,12,50 kj(12 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Poulet,0706799200064,,['France'],[],[],?,512,2142 kj(512 kcal),"25,1","11,3","64,9","3,5","6,5","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Palette à la moutarde à l'ancienne,2657322056673,"['Viande Française', 'Viande Porcine Française', 'Point Vert']",['France'],[],[],?,504,2109 kj(504 kcal),"7,2","2,4",2,2,12,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Moutaball - 200g,2900206002007,,['France'],[],[],?,30,126 kj(30 kcal),41,6,36,2,0,45,18,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Saint Nectaire,0200190041597,,['France'],[],[],?,500,2092 kj(500 kcal),60,5,0,0,0,2,"0,8",,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Saint-nectaire']",60 g,en quantité élevée,5 g,en quantité modérée,0 g,en faible quantité,2 g,en quantité élevée,,+47%,+47%,+117%,-74%,-100%,-100%,-100%,+34%,+34%,18,+20%,D,+20%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,
6,Burrito cheddar rice & bean,42272000777,,['France'],[],[],?,190,795 kj(190 kcal),"5,3","1,5",27,"0,6","6,5","0,88","0,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Absolwent - 500ml,5900343002318,,['France'],[],[],?,?,,?,,?,,?,,,500 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Blanc frissonnant - La Maison du Chocolat,3700840149323,"[""Informations incorrectes sur l'emballage"", ""Informations nutritionnelles incorrectes sur l'emballage""]",['France'],[],[],1848,433,1848 kj(433 kcal),"50,2",29,40,"39,2",6,"0,346","0,138",,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats blancs', 'Chocolats au riz']",50.2 g,en quantité élevée,29 g,en quantité élevée,39.2 g,en quantité élevée,0.346 g,en quantité modérée,-7%,-20%,-18%,+57%,+49%,-27%,-16%,-13%,+7%,+7%,24,-7%,E,-7%,91.5%,4.7%,1.2%,2.1%,0.4%,0.0%,24,['La Maison du Chocolat'],,,,,,,,,,,
9,Chips chili lime - Mcennedy,56645934,,['France'],[],[],?,1,4 kj(1 kcal),34,"3,4",54,"0,8","3,4","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Mcennedy'],,,,,,,,,,,
