,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,labels,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,quantity,markets,packaging,traceability_code,ingredients_origins,generic_name,manufacturing,additives,allergens,nova_score,origin_detail,link,brand_owner
0,Cheveux d ange,3660961001743,['France'],[],[],?,705,2950 kj(705 kcal),"9,8","3,67",0,0,"20,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ciccolato di Modica Fondente alla Vaniglia,8026101000079,['France'],[],[],?,551.45,2307 kj(551 kcal),"27,05","15,85","67,06","50,06",10,['en:gluten-free'],0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Filets de saumon fumés,2434981052877,['France'],[],[],?,1040,4351 kj(1040 kcal),19,"2,6","0,5","0,5","19,8",,"1,9","0,76",E,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",19 g,en quantité modérée,2.6 g,en quantité modérée,0.5 g,en faible quantité,1.9 g,en quantité élevée,,+462%,+463%,+81%,+26%,+1%,+50%,-10%,-33%,-33%,20,+53%,E,+53%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,,,
3,Faisselle au lait de chèvre,3701231900011,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Confit de canard 2 cuisses,3493630000255,['France'],[],[],?,503,2105 kj(503 kcal),"51,6","17,3","0,5",0,"9,1",,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Chips - Exquisit,4337185000607,['France'],[],[],?,466,1950 kj(466 kcal),22,"2,6",58,"4,7","6,1",,"1,4","0,56",,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Plats préparés', 'Chips', 'Entrées']",22 g,en quantité élevée,2.6 g,en quantité modérée,4.7 g,en faible quantité,1.4 g,en quantité modérée,,+100%,+107%,+73%,+14%,+194%,+61%,+21%,+31%,+31%,14,+133%,D,+133%,,,,,,,,['Exquisit'],,,,,,,,,,,,,
6,Betteraves rouges - 500g,9596110339723,['France'],[],[],?,?,,?,,?,,?,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Betteraves', 'Betterave rouge']",,,,,,,,,,,,,,,,,,,,,,,65.8%,0.0%,0.0%,19.7%,13.6%,0.9%,99,,500 g,,,,,,,,,,,,
7,Escalope de dinde,2865525037652,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,,,
8,Emmental français Est-Central au lai cru - Itinéraire des Saveurs,0212224020935,['France'],[],[],?,399,1669 kj(399 kcal),31,"20,9","1,3","0,5","28,1","['Nutriscore', 'Nutriscore D']","0,5","0,2",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français', 'Emmentals français est-central']",31 g,en quantité élevée,20.9 g,en quantité élevée,0.5 g,en faible quantité,0.5 g,en quantité modérée,,-1%,-1%,-2%,+9%,+69%,-30%,-2%,+13%,+13%,11,+1%,D,+1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['Itinéraire des Saveurs'],,,,,,,,,,,,,
9,Ô Miel,3770009125093,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
