,name,bar_code,eco_score,quantity,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,labels,manufacturing,traceability_code,markets,allergens,nova_score,origin_detail,producer_info,additives,ingredients_origins,link,palm_ingredients,brand_owner
0,Cocktail d'été - Ceres - 1litre,3559509100096,D,1 litre,['Ceres'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus multifruits']","['France', 'La Réunion']",[],[],0 g,en faible quantité,0 g,en faible quantité,12 g,en quantité élevée,0.01 g,en faible quantité,?,,50,+4%,209 kj(50 kcal),+4%,0,-100%,0,-100%,12,+9%,12,+15%,0,-100%,"0,01",+9%,"0,004",+9%,5,+12%,C,+12%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,,,
1,Mozzarella râpée - geraspte - rallada - Carrefour - 200g,3560070246571,D,200 g,['Carrefour'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Mozzarella', 'Fromages râpés']","['Belgique', 'France', 'Espagne']","['Mozzarella 98% ', 'lait pasteurisé de vache', 'sol', 'ferments lactiques coagulant microbien', 'amidon de pomme de terre']",['Non végétalien'],22 g,en quantité élevée,15 g,en quantité élevée,0.9 g,en faible quantité,1.3 g,en quantité modérée,?,,310,-17%,1297 kj(310 kcal),-17%,22,-24%,15,-23%,3,+210%,"0,9",+149%,25,-9%,"1,3",+30%,"0,52",+30%,13,+1%,D,+1%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,Fromage rapé,"['Plastico', 'Sous vide', 'Frais']",['Lait origine européenne'],['France'],"['FR 62.907.030 CE', 'Libercourt (Pas-de-Calais, France)']",['Carrefour'],['Lait'],3,,,,,,,
2,Salsa de soja - Carrefour,3560070387274,B,,['Carrefour'],"['Epicerie', 'Condiments', 'Sauces', 'Sauces au soja']","['Argentine', 'France', 'Espagne']","['Agua', 'sal', 'soja 10,4%', 'harina de trigo', 'alcohol de caña de azúcar']",[],0 g,en faible quantité,0 g,en faible quantité,0.6 g,en faible quantité,15.9 g,en quantité élevée,?,,32,-71%,134 kj(32 kcal),-71%,0,-100%,0,-100%,"2,5",-86%,"0,6",-95%,"4,8",-25%,"15,9",+32%,"6,36",+32%,8,-29%,C,-29%,21.5%,31.6%,20.1%,15.9%,8.6%,2.3%,97,,,,,,['Carrefour'],"['Gluten', 'Soja']",3,,,,,,,
3,Fritada - Carrefour - 400g,3560070648856,,400 g,['Carrefour'],"['Epicerie', 'Sauces', 'Sofregits']","['France', 'Espagne']","['Légumes 72 % ', 'tomates 21%', 'courgettes 20%', 'oignons 19%', 'poivrons rouges 12%', 'jus de tomates', ""huile d'olive vierge extra "", '4,6%', 'sucre', 'purée de tomates double concentrée', 'amidon modifié', 'sel', 'acidifiant : acide citrique ', 'E330']","['Sans huile de palme', 'Végétalien', 'Végétarien']",4.3 g,en quantité modérée,0.7 g,en faible quantité,7.8 g,en quantité modérée,0.48 g,en quantité modérée,353,-60%,85,-64%,353 kj(85 kcal),-64%,"4,3",-76%,"0,7",-68%,"9,5",-4%,"7,8",+21%,"1,1",-59%,"0,48",-80%,"0,192",-80%,-2,-117%,A,-117%,,,,,,,,"Mélange de légumes (72%) cuisinés avec huile d'olive vierge extra 4,6%",['Lata'],"['Végétarien', 'Végétalien']","['Theix', 'Vannes (distrito)', 'Morbihan', 'Bretaña', 'Francia']","['FR 56.251.005 CE', 'Theix (Morbihan, France)', 'EMB 56251E', 'Theix (Morbihan, France)', 'FABRICANTE Y ENVASADOR:', 'ETABLISSEMENTS MICHARD S.A.', 'PERTENECIENTE A:', 'GROUPE MICHARD']",['Carrefour'],,4,"Ce produit est fabriqué en Espagne à partir de courgettes, d'oignons et de poivrons rouges cultivés en Espagne, d'huile d'olive provenant d'Espagne et de tomates origine UE.",Fabriqué par EMB 56251E pour Interdis,"['E14XX - Amidons modifiés', 'E330 - Acide citrique']",,,,
4,Bifidus - Carrefour - 125g,3560070775552,,125 g,['Carrefour'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au Bifidus']","['France', 'Espagne']",[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,6.1 g,en quantité modérée,0.15 g,en faible quantité,?,,41,-50%,172 kj(41 kcal),-51%,"0,5",-83%,"0,1",-95%,"6,4",-38%,"6,1",-40%,"3,9",+5%,"0,15",+22%,"0,06",+22%,-1,-165%,A,-165%,,,,,,,,,,,,,['Carrefour'],,,,,,,,,
5,Mont d'Or Lait cru - Carrefour - 450g,3560070936526,B,450 g,"['Carrefour', 'Filière Qualité Carrefour', 'Interdis']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages au lait cru', 'Fromages à pâte molle à croûte lavée', ""Mont d'Or""]",['France'],"['Lait cru', 'sel', 'ferments', 'présure animale']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",26 g,en quantité élevée,18 g,en quantité élevée,1 g,en faible quantité,1.2 g,en quantité modérée,?,,315,+6%,1318 kj(315 kcal),+7%,26,+5%,18,+8%,1,+123%,1,+156%,"18,5",+5%,"1,2",-15%,"0,48",-15%,13,-6%,D,-6%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,Mont d'Or format mini,"['Film', 'Plastique', 'Bois']","['Point Vert', 'Fabriqué en France', 'AOP']","['France', 'haut-doubs', '25300 les fourgs']","['FR 88.079.001 CE', 'Bulgnéville (Vosges, France)', 'FR 25.254.001 CE', 'Fourgs (Doubs, France)']",['Carrefour'],['Lait'],3,,,,"['France', 'Haut-doubs']",,,
6,Sirop menthe - Carrefour,3560071017781,B,,['Carrefour'],"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de menthe']","['Belgique', 'France']",[],[],,,,,,,,,?,,284,+19%,1188 kj(284 kcal),+15%,0,-100%,0,-100%,71,+15%,67,+13%,0,-100%,0,-100%,0,-100%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,['Carrefour'],,,,,,,,,
7,Cookies Choco - Carrefour - 200g,3560071156947,D,200 g,['Carrefour'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Cookies', 'Cookies au chocolat']","['France', 'Espagne', 'Suisse']","['Harina de trigo', 'pepitas de chocolate 26% ', 'azúcar', 'pasta de cacao', 'manteca de cacao', 'emulgente: lecitinas de soja', 'aroma', 'grasas de palma', 'azúcar', 'chocolate en polvo 4,8% ', 'azúcar', 'cacao en polvo', 'huevos frescos', 'clara de huevo', 'gasificants ', 'difosfatos de sodio y carbonatos de sodio y amonio', 'suero lácteo en polvo', 'sal']","['Huile de palme', 'Non végétalien']",26 g,en quantité élevée,13 g,en quantité élevée,32 g,en quantité élevée,1.2 g,en quantité modérée,2069,-2%,495,+0%,2069 kj(495 kcal),-0%,26,+3%,13,+5%,58,-3%,32,+1%,"5,5",-12%,"1,2",+77%,"0,48",+77%,25,+11%,E,+11%,77.9%,13.1%,3.5%,3.4%,2.1%,0.0%,56,,,,,,['Carrefour'],"['Œufs', 'Gluten', 'Lait', 'Soja']",4,,,,,,,
8,Coulis de caramel beurre salé Salidou - La maison d armorine - 315g,3561772000034,,315 g,"['La maison d armorine', ""La Maison d'Armorine""]","['Snacks', 'Snacks sucrés', 'Confiseries', 'Caramels', 'Caramels au beurre salé']",['France'],"['Sucre', 'crème fraîche ', 'lait', 'beurre ', 'lait', ' frais ', '18%', 'sirop de glucose', 'sel de Guérande ', '0,5%', 'fleur de sel de Guérande ', '0,1%']",['Non végétalien'],28 g,en quantité élevée,18 g,en quantité élevée,41.1 g,en quantité élevée,0.48 g,en quantité modérée,?,,488,+19%,2042 kj(488 kcal),+19%,28,+104%,18,+102%,58,-14%,"41,1",-19%,1,-57%,"0,48",-50%,"0,192",-50%,27,+9%,E,+9%,,,,,,,,,"['Bouteille', 'Plastique']",,,,,['Lait'],4,,,,,,,
9,Champignons de Paris entiers - Notre Jardin - 460g,3564700000557,A,460 g,"['Notre Jardin', 'Marque Repère']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Frais', 'Champignons et produits dérivés', 'Aliments à base de plantes frais', 'Champignons', 'Champignons en conserve', 'Champignons de Paris', 'Champignons de Paris en conserve', 'Champignons de Paris entiers en conserve', 'Champignons de Paris entiers']",['France'],"['Champignons de Paris', 'eau', 'sel', 'acidifiant : acide citrique', 'antioxydant : acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.4 g,en faible quantité,0.3 g,en faible quantité,0.3 g,en faible quantité,0.7 g,en quantité modérée,?,,19,-5%,79 kj(19 kcal),-5%,"0,4",+15%,"0,3",+250%,"0,6",-23%,"0,3",-12%,"2,2",-3%,"0,7",+5%,"0,28",+5%,-3,,A,,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,,['Conserve'],,,,['Leclerc'],,3,,,"['E330 - Acide citrique', 'E300 - Acide ascorbique']",,,,
