,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,manufacturing,traceability_code,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,additives,ingredients_origins,link,palm_ingredients,producer_info,origin_detail,brand_owner
0,Bleu (31% MG) - Netto - 250g,3250390919674,C,Fromage à pâte persillée au lait et à la crème pasteurisés,250 g,['Carton'],['Netto'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages pasteurisés']",['France'],"['FR 15.162.001 CE', 'Riom-ès-Montagnes (Cantal, France)']",['Netto'],['France'],"['Lait pasteurisé ', '92%', 'crème pasteurisée ', '4%', 'ferments ', 'dont lait', 'sel', 'présure animale', 'Penicillium roqueforti']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,31 g,en quantité élevée,22 g,en quantité élevée,1 g,en faible quantité,1.8 g,en quantité élevée,?,,351,-0%,1469 kj(351 kcal),-0%,31,+3%,22,+5%,1,+40%,1,+408%,17,-12%,"1,8",-30%,"0,72",-30%,16,-10%,D,-10%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,
1,Confiture de Fraises Allégée - Netto,3250391073511,D,,,,['Netto'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confiture de fruits allégée en sucres', 'Confitures de fraises']",,,['Netto'],['France'],[],,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,38.8 g,en quantité élevée,0 g,en faible quantité,?,,164,+1%,686 kj(164 kcal),+0%,"0,5",+109%,"0,1",+125%,"39,5",+1%,"38,8",+3%,"0,5",-2%,0,-100%,0,-100%,5,-24%,C,-24%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,"['Peu ou pas de sucre', 'Peu de sucre', 'Allégé en sucre']",,,,,,,
2,Sucre en Morceaux n°4 - Netto - 1kg,3250391098309,A,,1 kg,['Carton'],['Netto'],"['Édulcorants', 'Sucres', 'Sucres en morceaux']",['France'],,['Netto'],['France'],['Sucre en morceaux calibre n°4'],,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,100 g,en quantité élevée,0.01 g,en faible quantité,?,,400,0%,1674 kj(400 kcal),-0%,"0,5",,"0,1",+6893%,100,+0%,100,+0%,"0,5",+4850%,"0,01",+5998%,"0,004",+5998%,14,-2%,D,-2%,65.2%,10.9%,13.4%,7.2%,3.3%,0.0%,94,"['Point Vert', 'Fabriqué en France']",,,,,,,
3,Bouillon De Poule Netto,3250391110476,,,,,['Netto'],,,,['Netto'],['France'],"['sel', 'exhausteur de goût : glutamate kxhe ', 'lait', 'amichn rrxiis', 'extraits leare', 'huile de tournesol', 'arômes ', 'chnt céleri', 'volaille en pudre ', '2,290', 'oignon tomate ', '0,26', 'pireaux carotte chou ', '0,03%', 'épices et aromates ', 'f"" ', '0,1 1 9é', 't cvrcvrm', 'blarx', 'dCU de girofle ctnoc4e', 'colcytnt : ri,?ire', 'mgoxicknt : extraits romarin', "" Traces é,'enfuelles de blé"", 'oeufs', 'soia', 'poissons et crustacés', ' INFORMATIONS :']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,224,,937 kj(224 kcal),,"5,6",,"0,8",,29,,"15,3",,"14,2",,"45,475",,"18,19",,,,,,,,,,,,,['en:palm-oil-free'],"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E392 - Extrait de romarin']",,,,,,
4,Blanquette de Veau et son riz - Netto - 300g,3250391113644,E,Blanquette de veau et riz,300 g,"['Barquette', 'Film plastique', 'Etui carton', 'Atmosphère protectrice']",['Netto'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Plats préparés à réchauffer au micro-ondes', 'Plats au veau', 'Blanquettes de veau', 'Plats préparés à réchauffer au bain-marie']",['COVI SAS - 79300 BRESSUIRE'],"['FR 44.190.005 CE', 'Saint-Sébastien-sur-Loire (Loire-Atlantique, France)', 'EMB 44190F', 'Saint-Sébastien-sur-Loire (Loire-Atlantique, France)']",['Netto'],['France'],"['Riz précuit 40% ', 'eau', 'riz', 'huile de colza', 'viande de veau traitée en salaison 29% ', 'viande veau 77% ', '% exprimé par rapport à la viande de veau traitée en salaison', 'eau', 'amidon modifié de maïs', ' stabilisants : E451i', 'E407a et E410', ' fibre de blé', 'sel', 'eau', 'champignons 5%', 'crème 3,5% ', 'crème ', 'dont lait', 'stabilisant : E407]', 'carottes 3,5%', 'huile de colza', 'vin blanc', 'farine de blé', 'amidon modifié de maïs', 'arôme ', 'contient blé', 'orge', 'céleri', 'sel', 'stabilisants : E415 et E412', 'poivre']","['Céleri', 'Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,4.5 g,en quantité modérée,1.4 g,en faible quantité,0.6 g,en faible quantité,0.69 g,en quantité modérée,533,+19%,127,+11%,533 kj(127 kcal),+12%,"4,5",-8%,"1,4",-39%,"13,6",+82%,"0,6",-38%,"7,4",-9%,"0,69",-8%,"0,276",-8%,1,-15%,B,-15%,91.9%,3.2%,1.1%,1.1%,0.6%,2.2%,20,['Info-Tri Point Vert'],"['E14XX - Amidons modifiés', 'E451i - TPP', 'E407a - Algues euchema transformées', '', 'Risque élevé de sur-exposition', 'E410 - Gomme de caroube', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane', 'E412 - Gomme de guar']",,,,,,
5,Look Soda Agrumes Pet,3250391124299,,,,,['Look'],"['Boissons', 'Boissons avec sucre ajouté', 'Boissons sans sucre ajouté']",,,,['France'],"['Eau de source St Benoît gazéifiée ', '92%', 'sucre', ""jus d'agrumes à base de concentrés 2% "", 'orange', 'citron et pamplemousse', ""arôme naturel d'agrumes avec autres arômes naturels"", 'acidifiant : acide citrique', 'stabilisant : E445', 'antioxydant : acide ascorbique', 'colorant : E142']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,0.5 g,en faible quantité,0.1 g,en faible quantité,4.4 g,en quantité modérée,0 g,en faible quantité,?,,18,-59%,75 kj(18 kcal),-62%,"0,5",+49%,"0,1",+5%,"4,4",-49%,"4,4",-35%,"0,5",+0%,0,-100%,0,-100%,6,+9%,D,+9%,,,,,,,,,"['E330 - Acide citrique', 'E445 - Esters glycériques de résine de bois', 'E300 - Acide ascorbique', 'E142 - Vert acide brillant BS', '', 'Risque modéré de sur-exposition']",,,,,,
6,Champignons de paris emincés 1er choix - Netto - 400g,3250391124688,A,,400 g,"['Conserve', 'Conserve']",['Netto'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Champignons et produits dérivés', 'Champignons', 'Champignons en conserve', 'Champignons de Paris en conserve', 'Champignons de Paris émincés en conserve']",['France'],,['Netto'],['France'],"['Champignons de Paris', 'eau', 'sel', 'acidifiant : acide citrique', 'antioxydant : acide ascorbique']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.5 g,en faible quantité,0.1 g,en faible quantité,0.2 g,en faible quantité,0.69 g,en quantité modérée,91,+15%,20,0%,91 kj(20 kcal),+11%,"< 0,5",+71%,"< 0,1",+87%,"< 0,5",-39%,"0,2",-42%,"2,3",+0%,"0,69",+12%,"0,276",+12%,-5,,A,,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,,"['E330 - Acide citrique', 'E300 - Acide ascorbique']",,,,,,
7,Paquito - Solaya,3250391131105,,,,,['Solaya'],,,,,['France'],['de sucres en moins por rapport à one compote *Menos de oçücores reiGtivamente especio!idc!'],,[],,,,,,,,,,?,,65,,272 kj(65 kcal),,"0,5",,"0,1",,15,,14,,"0,5",,0,,0,,,,,,,,,,,,,,,,,,,,
8,Dattes entières Deglet Nour - Netto,3250391151158,C,,,,['Netto'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Dattes', 'Dattes Deglet Nour']",,,['Netto'],['France'],"['Dattes 93%', 'eau 5%', 'sirop de glucose-fructose', 'conservateur : sorbate de potassium', ' CONSEILS ET INFORMATIONS :']",,[],4,0.5 g,en faible quantité,0.3 g,en faible quantité,65 g,en quantité élevée,0.05 g,en faible quantité,?,,308,+5%,1289 kj(308 kcal),+5%,"0,5",+56%,"0,3",+335%,70,+4%,65,+13%,"2,3",+0%,"0,05",+95%,"0,02",+95%,7,+65%,C,+65%,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,,,,
9,Potage St-eloi Légumes / Emmental - Saint Eloi - 1000g,3250391187393,,,1000 g,,['Saint Eloi'],,,,['Intermarché'],['France'],"['Eau', 'légumes 44,8 % ', 'pommes de terre 13 %', 'carottes 13 %', 'oignons réhydratés 5 %', 'céleri - rave', 'choux-fleurs 3,5 %', 'navets', 'poireaux 2,5 %', 'haricots verts', 'emmental* fondu 3 % ', 'emmental* 50 %,eau', 'poudre de lactosérum*', 'sels de fonte ', 'E331', '  beurre*', 'arôme naturel fromage', 'sel de cuisine', 'amidon modifié de maïs', 'sel', 'persil 0,2 %', 'arôme naturel ', 'dont céleri ', 'extrait de levure', 'arôme*  * dont _ lait']","['Céleri', 'Lait']",['Non végétalien'],4,,,,,,,,,?,,31,,130 kj(31 kcal),,"0,7",,"0,4",,"4,6",,"1,6",,1,,"0,65",,"0,26",,,,,,,,,,,,,['Sans colorants'],"['E331 - Citrates de sodium', 'E14XX - Amidons modifiés']",,,,,,
