,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,eco_score,generic_name,quantity,packaging,brand,categories,ingredients_origins,manufacturing,traceability_code,markets,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,labels,producer_info,brand_owner,palm_ingredients,link,origin_detail
0,Nettare di mela e mirtillo,8009004860001,['France'],[],[],?,55,230 kj(55 kcal),0,0,13,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Lasagnes au saumon poireaux cuisinés - marie - 300g,3248830000945,['France'],"['Lait écrémé reconstitué 22,4%', 'pâtes à lasagnes fraîches cuites 18% ', 'eau', 'semoule de blé dur', 'eau', 'saumon Atlantique 11,4%', 'poireaux 8,2%', 'crème fraîche', 'emmental', 'échalotes', 'amidon de maïs', 'vin blanc', 'saumon fumé 1,7% ', 'saumon', 'sel', 'épinards', 'beurre concentré', 'farine de blé', 'double concentré de tomates', 'sel', 'ciboulette', 'grana padano ', 'contient lait', 'oeuf', 'ail', 'huile olive vierge', 'jus de citron concentré', 'muscade', 'poivre']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",596,142,596 kj(142 kcal),"6,9","3,6",13,"2,2","6,6",D,Lasagnes,300g,"['Carton', 'Plastique']",['Marie'],"['Plats préparés', 'Frais', 'Plats à base de pâtes', 'Plats préparés au poisson', 'Lasagnes préparées', 'Plats préparés frais', 'Lasagnes au poisson', 'Plats au saumon', 'Plats préparés à réchauffer au micro-ondes', 'Lasagnes au saumon']",['Union Européenne et Non Union Européenne'],['Ain (France)'],"['EMB 01451', 'Viriat (Ain, France)', 'FR 01.451.003 CE', 'Viriat (Ain, France)']",['Leclerc'],"['Œufs', 'Poisson', 'Gluten', 'Lait']",3,6.9 g,en quantité modérée,3.6 g,en quantité modérée,2.2 g,en faible quantité,0.66 g,en quantité modérée,+12%,0%,+3%,+7%,+29%,+8%,+4%,-2%,"0,66",-10%,"0,264",-10%,2,-20%,B,-20%,79.3%,12.2%,2.8%,3.0%,1.6%,1.1%,48,,,,,,,
2,8681554613247,8681554613247,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Colazione plus latte scremato,8002580002919,['France'],[],[],?,41,172 kj(41 kcal),"0,5",0,"4,9","4,9",5,D,,,,,"['Produits laitiers', 'Laits', 'Laits écrémés']",,,,,,,0.5 g,en faible quantité,0 g,en faible quantité,4.9 g,en faible quantité,0.13 g,en faible quantité,,-40%,-44%,+25%,-100%,-51%,-50%,-20%,"0,13",-28%,"0,052",-28%,-2,,A,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,,
4,"Jacobs Cappuccino, 400 G",8711000525159,['France'],[],[],?,100,418 kj(100 kcal),11,"10,5",76,55,"4,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,
5,Dark chocolate,7610815060293,['France'],[],[],?,583,2439 kj(583 kcal),43,26,37,29,"6,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
6,"Joghurt Mit Der Ecke Griechisscher Art, Joghurt m... - müller - 113g",42243960,['France'],"['Joghurt mild aus pasteurisierter MILCH', 'Zucker', '3,7% ERDNUSSSTÜCKE', 'VOLLMILCHPULVER', 'Kakaobutter', 'Reismehl', 'Kakaomasse', 'VOLLKORNWEIZENMEHL', 'SÜSSMOLKENPULVER', 'Emulgator SOJALECITHINE', 'Überzugsmittel Gummi arabicum', 'Speisesalz', 'Emulgator E 472 b', 'Speisegelatine ', 'Schwein', 'Aroma ', 'enthält MILCH', 'Schaummittel ', 'Stickstoff']",[],751,180,751 kj(180 kcal),"10,2","6,2",15,14,"6,2",,,113 g,['Kunststoff'],['müller'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux céréales']",,,,,,,10.2 g,en quantité modérée,6.2 g,en quantité élevée,14 g,en quantité élevée,0.21 g,en faible quantité,+74%,+53%,+53%,+168%,+207%,-1%,+21%,+40%,"0,21",+71%,"0,084",+71%,11,+601%,D,+601%,,,,,,,,,,,,,,
7,3560071210717,3560071210717,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3256224064565,3256224064565,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Vin,3701172707465,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
