,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,packaging,labels,traceability_code,additives,nova_score,generic_name,ingredients_origins,manufacturing,link,allergens,origin_detail,markets,palm_ingredients,brand_owner,producer_info
0,Protein pancake,5999860634607,['France'],[],[],?,142,594 kj(142 kcal),"2,6","0,6","14,6","2,8",14,"0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rillettes d'oie,3350240058819,['France'],[],[],?,482,2017 kj(482 kcal),48,17,"0,5","0,5",12,"0,1","0,04",D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', ""Rillettes d'oie"", ""Rilettes d'oie""]",48 g,en quantité élevée,17 g,en quantité élevée,0.5 g,en faible quantité,0.1 g,en faible quantité,,+20%,+21%,+30%,+43%,+42%,+120%,-25%,-92%,-92%,16,-18%,D,-18%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,,,,,,
2,Cone de Houblon,3450887066205,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Instant noodles chicken flavour,8710998458807,['France'],[],[],?,464,1941 kj(464 kcal),"20,5",9,61,1,9,"3,8","1,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Whey isolate - 700g,8718836395987,['France'],[],[],?,378,1582 kj(378 kcal),"1,2","0,3","1,6","1,6","90,3","0,35","0,14",,"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Protéines en poudre']",1.2 g,en faible quantité,0.3 g,en faible quantité,1.6 g,en faible quantité,0.35 g,en quantité modérée,,+2%,+2%,-72%,-83%,-77%,-48%,+28%,-53%,-53%,0,-100%,B,-100%,,,,,,,,700 g,,,,,,,,,,,,,,,,
5,"Baumkuchenspitzen, Zartbitter Schokolade",4101540712906,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Salade et Serpentine chèvre - Lidl,4056489276975,['France'],[],[],?,207,866 kj(207 kcal),"13,2","3,5","15,7","1,7","5,3","0,42","0,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Lidl'],,,,,,,,,,,,,,,
7,Gerblé,00055888,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Gerblé'],,,,,,,,,,,,,,,
8,Caramelle spicchi ripieni,8002415250034,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Chocolats,4823077618918,['France'],[],[],?,470,1966 kj(470 kcal),24,"13,8",52,"45,7",3,7,"2,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
