,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,brand,labels,ingredients_origins,manufacturing,traceability_code,markets,quantity,link,additives,allergens,nova_score,palm_ingredients,generic_name,brand_owner,origin_detail
0,Découpe de poulet fermier bio,0213042053266,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Saucisse de volaille,2344022002504,['France'],[],[],?,139,"7,1","0,3",18,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses de volaille']",7.1 g,en quantité modérée,2 g,en quantité modérée,0.3 g,en faible quantité,1.7 g,en quantité élevée,,-23%,582 kj(139 kcal),-24%,-40%,2,-45%,-76%,"0,3",-42%,+9%,"1,7",-4%,"0,68",-4%,4,-59%,C,-59%,88.4%,6.6%,1.6%,0.9%,0.5%,2.0%,17,,,,,,,,,,,,,,,,
2,"Merlu, risotto aux petits pois & vinaigrette yaourt-curry",3797456308336,['France'],[],[],?,128,4,14,8,,,,,,,,,,,,,536 kj(128 kcal),,,2,,,1,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Falafels,3663219007412,['France'],[],[],?,244,"10,6","26,9","7,4",,,,,,,,,,,,,1021 kj(244 kcal),,,"1,2",,,"3,1",,,"1,13",,"0,452",,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,glace vanille fermiere,3770013312007,['France'],[],[],?,42,2,5,"3,4",,,,,,,,,,,,,176 kj(42 kcal),,,1,,,"3,1",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Cavatelli di semola di grano duro italiano,8057737591532,['France'],[],[],?,309,"1,3",64,"9,3",,,,,,,,,,,,,1293 kj(309 kcal),,,"0,4",,,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Jus d ananas,3335104042012,['France'],[],[],?,53,"0,5","11,7","0,5",D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'ananas""]",0.5 g,en faible quantité,0 g,en faible quantité,10.5 g,en quantité élevée,0 g,en faible quantité,,+8%,222 kj(53 kcal),+8%,+176%,0,-100%,0%,"10,5",-6%,+41%,0,-100%,0,-100%,5,-3%,C,-3%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,,,,
7,Prunotto - Dolcetto d'Alba DOC,8016001000064,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Escalope de dinde extra-fine - Carrefour,2418304010300,['France'],"['Découpe de dinde', ' Produit frais', ' Classe A', ' Dinde nourrie sans OGM ', '<0', '9%', ' Origine : Dinde origine France']",[],?,?,?,?,?,C,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,,,,,,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,"['Polystyrène', 'Plastique']",['Carrefour'],"['Viande Française', 'Volaille Française', 'Point Vert']",['France'],['Massy'],"['FR 61.096.020 CE', ""Chapelle-d'Andaine (Orne, France)""]",['Carrefour'],,,,,,,,,
9,Sucette lait,3760302861446,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Pain rond,0203025006495,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Chèvre frais la papaye,3440776010006,['France'],[],[],?,266,18,15,11,,,,,,,,,,,,,1113 kj(266 kcal),,,13,,,12,,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Le petit gâteau noisettes - Maison Colibri,3700157500053,['France'],[],[],?,460,29,43,"5,8",,,,,,,,,,,,,1925 kj(460 kcal),,,"6,5",,,23,,,"0,51",,"0,204",,,,,,,,,,,,,,['Maison Colibri'],,,,,,,,,,,,,,
13,REBLOCHON de SAVOIE,2233408003207,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Vinaigre Balsamique de Modène,3250392934064,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Duo quinoa noisettes et dattes - La Vie Claire,3266191210339,['France'],[],[],?,204,13,17,"3,6",,,,,,,,,,,,,854 kj(204 kcal),,,"1,5",,,"4,6",,,"1,4",,"0,56",,,,,,,,,,,,,,['La Vie Claire'],,,,,,,,,,,,,,
16,Nu tess,8057733971062,['France'],[],[],?,496.5,"32,9","36,5",28,,,,,,,,,,,,,2077 kj(496 kcal),,,"10,5",,,0,,,"0,11",,"0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Tarte à la praline,3760177079953,['France'],[],[],?,386,14,57,7,,,,,,,,,,,,,1615 kj(386 kcal),,,8,,,35,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Sundried Tomato Pesto,5060150310034,['France'],[],[],?,627,"61,6","8,4","8,1",,,,,,,,,,,,,2623 kj(627 kcal),,,7,,,"3,7",,,"2,3",,"0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Préparation de fruits à la poire,3398281002477,['France'],[],[],?,163,"0,5",40,"0,5",,,,,,,,,,,,,682 kj(163 kcal),,,"0,1",,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"La Croix Du Pin Vin de Pays D'Oc Merlot, vin rouge de 10L",3531380044270,['France'],[],[],?,169,68,20,13,,,,,,,,,,,,,707 kj(169 kcal),,,62,,,19,,,12,,"4,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Sorbet liégois fraise,3274664174521,['France'],[],[],?,156,"3,5",30,"1,1",,,,,,,,,,,,,653 kj(156 kcal),,,"2,3",,,23,,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Sel rose,5400606999510,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Prontofresco,8004980064153,['France'],[],[],?,361,"37,8","1,1",40,,,,,,,,,,,,,1510 kj(361 kcal),,,"4,6",,,"0,5",,,3,,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Poulet,2288093017657,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,3660861000167,3660861000167,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Kombucha,3770019274026,['France'],[],[],?,16.7,0,4,0,,,,,,,,,,,,,70 kj(16 kcal),,,0,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Emmentaler Merängge Rosettu,7611592019047,['France'],[],[],?,400,0,93,7,,,,,,,,,,,,,1674 kj(400 kcal),,,0,,,91,,,"0,25",,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,8001720644279,8001720644279,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Jeu Playstation 4 - WRC 5,3499550341034,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Extreme cookies con pezzi di cioccolato al latte e fondente - Matilde Vicenzi,8000350005672,['France'],[],[],?,498,"23,5","64,3","6,2",,,,,,,,,,,,,2084 kj(498 kcal),,,"10,3",,,34,,,"0,25",,"0,1",,,,,,,,,,,,,,['Matilde Vicenzi'],,,,,,,,,,,,,,
31,Sauce salade balsamique,3660603081966,['France'],[],[],?,156,"10,5","13,7","0,6",,,,,,,,,,,,,653 kj(156 kcal),,,"0,7",,,"11,4",,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,LemonMade,4589850824067,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Masa de Maiz Nixtamalizada,7500462547301,['France'],[],[],?,104,2,20,2,,,,,,,,,,,,,435 kj(104 kcal),,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Salty Lemon,4901005520936,['France'],[],[],?,157,"6,7","20,6","2,7",,,,,,,,,,,,,657 kj(157 kcal),,,"2,1",,,"3,6",,,"0,65",,"0,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Tostoni artigianali italiani,8010747000654,['France'],[],[],?,274,"1,2","49,7","8,8",,,,,,,,,,,,,1146 kj(274 kcal),,,"0,5",,,"2,3",,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Peluche teeny tys,0008421424078,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Provolone piccante,8004673700054,['France'],[],[],?,403,33,"1,5",25,,,,,,,,,,,,,1686 kj(403 kcal),,,"22,8",,,"1,5",,,"2,1",,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Rooibos  ice-tea,6009881007522,['France'],[],[],?,16,0,4,"0,4",,,,,,,,,,,,,67 kj(16 kcal),,,0,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Houmousexuel,3760153932425,['France'],[],[],?,260,22,"9,9","3,4",,,,,,,,,,,,,1088 kj(260 kcal),,,"3,4",,,"2,2",,,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Provolone dolce,8004673700047,['France'],[],[],?,387,31,2,25,,,,,,,,,,,,,1619 kj(387 kcal),,,"21,4",,,2,,,"2,1",,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Bonbons Miel Propolis,3760216390476,['France'],[],[],?,374,"0,6",91,"0,5",,,,,,,,,,,,,1565 kj(374 kcal),,,"0,3",,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Pois chiche kebab,3760153932364,['France'],[],[],?,217,17,11,"1,9",,,,,,,,,,,,,908 kj(217 kcal),,,2,,,"5,6",,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Filets de poulet blanc,2600258069866,['France'],[],[],?,?,?,?,?,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,
44,Bicarbonate,34564875,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Lapin,3700961309576,['France'],[],[],?,563,36,51,7,,,,,,,,,,,,,2356 kj(563 kcal),,,22,,,50,,,"0,21",,"0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Protein brownie,4260363489522,['France'],[],[],?,228,"7,3",20,17,,,,,,,,,,,,,954 kj(228 kcal),,,"3,5",,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Salade pecheur,0262046021580,['France'],[],[],?,136.7,"7,1",13,"1,5",,,,,,,,,,,,,572 kj(136 kcal),,,"0,8",,,0,,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Macarons fruités etui x12 154g,0207408036086,['France'],[],[],?,377,11,59,"9,2",,,,,,,,,,,,,1577 kj(377 kcal),,,"2,1",,,55,,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Mughetto,2480667019887,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Pavé de saumon fumé - Labeyrie,3033610069522,['France'],[],[],?,198,12,"0,6",22,E,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",12 g,en quantité modérée,2.5 g,en quantité modérée,0.6 g,en faible quantité,2.9 g,en quantité élevée,,+7%,828 kj(198 kcal),+7%,+14%,"2,5",+21%,+21%,"0,6",+80%,-0%,"2,9",+3%,"1,16",+3%,14,+7%,D,+7%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,"['Frais', 'Sous vide']",['Labeyrie'],['Fumé en France'],,['France'],"['FR 40.261.001 CE', 'Saint-Geours-de-Maremne (Landes, France)']",,,,,,,,,,
51,8 Mini Moelleux au Coeur Fondant,3282740598857,['France'],[],[],?,429,27,39,"6,2",,,,,,,,,,,,,1795 kj(429 kcal),,,16,,,10,,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Chips di pesca ( chips de peche ),80180043,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
