,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,manufacturing,link,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,ingredients_origins,traceability_code,additives,markets,palm_ingredients,brand_owner
0,Brasserie des Cimes - 33cl,3760027050217,C,33 cl,"['Bouteille', 'Verre', 'Capsule', 'Métal']",['Brasserie des Cimes'],"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières françaises', 'Bières ambrées', 'Bières artisanales']","['Point Vert', 'Déconseillé aux femmes enceintes']","['Aix les bains', 'France']",http://www.brasserie-des-cimes.com/nos-bieres/3-piste-noire,['France'],"['Eau', ""Malt d'orge"", 'Houblon', 'Levure']",['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,,?,,?,,?,,?,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Harissa -,3760030141971,C,,,,"['Epicerie', 'Sauces', 'Harissas']",,,,['France'],[],,[],,?,,96,-9%,"3,1",-30%,"15,1",+66%,"1,3",-48%,78.7%,9.3%,4.7%,4.8%,2.0%,0.5%,57,3.1 g,en quantité modérée,0 g,en faible quantité,9.4 g,en quantité modérée,92 g,en quantité élevée,402 kj(96 kcal),-10%,0,-100%,"9,4",+154%,92,+2407%,"36,8",+2407%,13,+53%,D,+53%,,,,,,,
2,Huile D'amande Vierge Bio - 250 ML - La Mandorle,3760030728110,,,,['La Mandorle'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Fruits à coques et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits à coques', ""Huiles d'amande""]",['Bio'],,,['France'],[],,[],,?,,900,+22%,100,+22%,0,,0,,,,,,,,,100 g,en quantité élevée,9 g,en quantité élevée,0 g,en faible quantité,,,3766 kj(900 kcal),+22%,9,+27%,0,,,,,,,,,,,,,,,,
3,Terrine au Vouvray - Hardouin - 150g,3760031460439,,150 g,"['Bocal', 'Verre']",['Hardouin'],['Terrines'],,['France'],,['France'],"['Gorge de porc découennée ', '50%', 'viande de porc ', '30%', 'jus de porc', 'foie de porc ', '16%', 'oignons', 'oeufs', 'échalotes', 'vin : Vouvray ', '1%', 'lait', 'sel', 'persil', 'ail', 'gelée', 'poivre', 'épices', 'laurier', 'lactose', 'exhausteur de goût : glutamate de sodium', 'acidifiant : acide citrique', 'conservateur : nitrate de potassium', 'colorant : cochenille']","['Œufs', 'Lait']","['Non végétalien', 'Non végétarien']",4,?,,246,-18%,"20,3",-21%,"2,7",+24%,13,-7%,,,,,,,,20.3 g,en quantité élevée,7.5 g,en quantité élevée,1.6 g,en faible quantité,1.23 g,en quantité modérée,1029 kj(246 kcal),-18%,"7,5",-21%,"1,6",+105%,"1,23",-20%,"0,492",-20%,15,-15%,D,-15%,Terrine,['France'],"['FR 37.281.031 CE', 'Vouvray (Indre-et-Loire, France)']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique']",,,
4,Pur jus de pomme pétillant - Chateau Lézergué,3760031903028,,,,['Chateau Lézergué'],['Boissons'],,,,['France'],"['Jus de pomme', 'dioxyde de carbone,']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,?,,48,-14%,"0,33",-5%,"11,2",-1%,0,-100%,,,,,,,,0.33 g,en faible quantité,0 g,en faible quantité,10 g,en quantité élevée,0.1 g,en faible quantité,201 kj(48 kcal),-17%,0,-100%,10,+6%,"0,1",+141%,"0,04",+141%,12,+57%,E,+57%,,,,['E290 - Dioxyde de carbone'],,,
5,Écrase de pomme de terre façon grand mère - Polenghi - 450g,3760032002737,,450 g,['Surgelé'],"['Polenghi', 'Pôle Bistro']",,"['Sans additifs', 'Sans colorants', 'Sans conservateurs', 'Sans colorants ou conservateurs']",['France'],,['France'],"['Pomme de terre 68,2%', 'lait entier 20%', 'beurre de baratte 11,3%', 'sel de Guérande 0,5%', ' Contient : lait et dérivés', ' Fabriqué dans un atelier utilisant : gluten', 'oeuf', 'mollusque', 'crustacé', 'poisson', 'fruits à coque', 'céleri', 'soja', 'moutarde', ' c nservation ']",['Lait'],['Non végétalien'],,?,,145,,"11,8",,"7,6",,"1,5",,,,,,,,,,,,,,,,,607 kj(145 kcal),,"8,3",,"0,7",,"0,625",,"0,25",,,,,,,,,,,,
6,Pomme de terre,3760032216318,B,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Pommes de terre']",,,,['France'],[],,[],,?,,80,-18%,"0,1",-95%,19,+8%,2,-1%,28.6%,0.0%,23.6%,24.0%,19.8%,4.1%,98,0.1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,335 kj(80 kcal),-18%,0,-100%,0,-100%,0,-100%,0,-100%,-6,,A,,,,,,,,
7,Marrons - Inovchataigne Sas,3760032460216,,,,['Inovchataigne Sas'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,['France'],['100% Marrons'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",,?,,225,,1,,"48,8",,"2,7",,,,,,,,,,,,,,,,,941 kj(225 kcal),,"0,2",,"7,2",,0,,0,,,,,,,,,,,,
8,Mielle de montagne,3760033830087,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Puree de framboise -,3760034318072,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés']",['Fabriqué en France'],,,['France'],"['Framboise 90%', 'sucre 10%']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
