,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,nova_score,packaging,quantity,traceability_code,allergens,generic_name,additives,ingredients_origins,manufacturing,markets,link,palm_ingredients,brand_owner,origin_detail,producer_info
0,Tarama,3592860084858,['France'],[],[],?,411,1720 kj(411 kcal),41,"6,5",6,0,"3,1","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ceci umbri secchi,8002448873248,['France'],[],[],?,314,1314 kj(314 kcal),"5,6",,"45,2",0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Luxury vanilla,5034000800839,['France'],[],[],?,211,883 kj(211 kcal),13,"8,1","19,9","18,1","3,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Clen,8588005647137,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Moelleux au fromage blanc,3456580061417,['France'],[],[],?,354,1481 kj(354 kcal),18,"1,8",41,23,"6,7","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Babouche girl,3077984882745,['France'],[],[],?,89,372 kj(89 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Lote princio,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,The oriental rose litchi,9556015110254,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Bio amandes emondees,2218433032804,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Ravioli 4 fromages - Buitoni,8053041001361,['France'],[],[],?,290,1213 kj(290 kcal),10,"3,9",37,"5,8",12,"1,2","0,48",['Buitoni'],"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioli']",10 g,en quantité modérée,3.9 g,en quantité modérée,5.8 g,en quantité modérée,1.2 g,en quantité modérée,,+57%,+56%,+86%,+90%,+49%,+118%,+62%,+21%,+21%,12,+195%,D,+195%,,,,,,,,,,,,,,,,,,,,,,,,
