,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,brand,categories,traceability_code,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,nova_score,packaging,ingredients_origins,allergens,manufacturing,generic_name,link,additives,palm_ingredients
0,Isostar Energy Gel Cherry 35 g,3175681141193,['France'],[],[],?,100,418 kj(100 kcal),0,0,"27,3","18,9",0,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Meringues Myrtille-Framboise,3532420331671,['France'],[],[],?,865,3619 kj(865 kcal),0,0,94,93,"4,56","0,24","0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Uni Sport zéro sports drink,8594073178572,['France'],[],[],?,49,205 kj(49 kcal),0,0,"0,4","0,2","1,5","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Combava & pink pepper,3760155713046,['France'],[],[],?,50,209 kj(50 kcal),"41,82","10,8","44,28","39,4",11,"0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Grignottes de poulet cuites nature - Auchan - 300g,3254568011627,['France'],[],[],?,190,795 kj(190 kcal),11,"3,3","1,6","1,2",21,5,2,D,300 g,['Auchan'],"['Viandes', 'Volailles', 'Poulets']",['61.096.018'],['Auchan'],11 g,en quantité modérée,3.3 g,en quantité modérée,1.2 g,en faible quantité,5 g,en quantité élevée,,+26%,+26%,+89%,+120%,-20%,+173%,+3%,+483%,+483%,15,+964%,D,+964%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,
5,6 oéufs bio,3483500012112,['France'],[],[],?,144,602 kj(144 kcal),"9,8","2,6","0,5","0,5",13,"0,31","0,124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,,,,,,
6,Charakter scharf,4067700020185,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Fried Tapioca Chips,4792064025148,['France'],[],[],?,276,1155 kj(276 kcal),"15,87",0,"31,81",0,"0,68","0,23","0,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Limonade de savoie Bio,3760009532717,['France'],[],[],?,80,335 kj(80 kcal),"0,6","0,6","9,08","8,9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,
9,0274036907002,0274036907002,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
