,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,traceability_code,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,packaging,labels,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,quantity,brand,markets,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,manufacturing,allergens,nova_score,additives,link,generic_name,palm_ingredients
0,California saumon avocat,0637913491443,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Filet mignon de porc salé au sel sec et fumé,2641199030379,['France'],[],[],?,124,"2,3","1,1","24,8","['FR 88.470.033 CE', 'Tholy (Vosges, France)']",519 kj(124 kcal),"0,8",1,"2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Piment liquide,5713284330026,['France'],[],[],?,25,"0,6","3,6",18,,105 kj(25 kcal),"0,6","3,6","9,9","3,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Contrebandier,3760178711111,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Poulet plein champ,2245335026242,['France'],[],[],?,138,"5,7","1,1",20,,577 kj(138 kcal),"1,8",0,"0,16","0,064","['Barquette', 'Film en plastique']","['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Pâtes Radiatori,9006239004872,['France'],[],[],?,351,1,70,14,,1469 kj(351 kcal),"0,2",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Pesto genovese bio polli,8001710809824,['France'],[],[],?,?,?,?,?,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Grand mugnaio,8002213004051,['France'],[],[],?,1468,"0,9","72,78",11,,6142 kj(1468 kcal),"0,48","1,58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Sriracha Hot chili sauce,8853662057187,['France'],[],[],?,667,"0,6",34,24,,2791 kj(667 kcal),"0,1",32,"7,8","3,12",,,"['Epicerie', 'Sauces', 'Sauces pimentées', 'Sauces sriracha']",0.6 g,en faible quantité,0.1 g,en faible quantité,32 g,en quantité élevée,7.8 g,en quantité élevée,,+461%,+465%,-15%,-42%,+36%,+50%,+1900%,+35%,+35%,25,+70%,E,+70%,,,,,,,,,,,,,,,,,,,
9,Terrine de campagne au Jurançon,3272931006445,['France'],[],[],?,360,34,"1,4",12,,1506 kj(360 kcal),11,"0,5","1,9","0,76",,,"['Viandes', 'Charcuteries', 'Terrines', 'Terrines de campagne']",34 g,en quantité élevée,11 g,en quantité élevée,0.5 g,en faible quantité,1.9 g,en quantité élevée,,+11%,+12%,+20%,+2%,-39%,-42%,-14%,+19%,+19%,22,+13%,E,+13%,,,,,,,,,,,,,,,,,,,
