,name,bar_code,generic_name,quantity,packaging,brand,categories,labels,manufacturing,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,link,palm_ingredients,brand_owner,traceability_code
0,Samyang Ramen Räk smak - 3oz (85g),7350035210138,Orientaliska nudlar,3 oz (85 g),"['Plastic', 'Aluminium']","['Samyang Ramen', 'Samyang Foods', 'Bergqvist']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Nouilles', 'Nouilles instantanées']",['Sans conservateurs'],['South Korea'],['Willys'],"['France', 'Suède']","['Nudel: Vetemjöl', 'palmolja', 'modifierad tapioka stärkelse', 'salt', 'sojaböns olja', 'surhetsreglerande medel ', 'E501', 'E500', 'E339', 'E330', 'sockerlösning ', 'E420', 'förtjockningsmedel ', 'E412', 'emulgeringsmedel ', 'E322', 'E452', 'E450', '\rBuljongpåse: Salt', 'glukos', 'smakförstärkare ', 'E621', 'E631', 'E627', 'smaksättning ', 'räk krydda - blötdjur', 'hydrolyserat vegetabiliskt protein', 'socker', 'kryddor ', 'torkad walesisk lök', 'lökpulver', 'vitpepparpulver', 'ingefärapulver', 'vitlökspulver', 'färg ', 'E150b', 'rispulver', 'maltodextrin', 'sojaböns olja', 'syra ', 'E296']","['E501 - Carbonates de potassium', 'E500 - Carbonates de sodium', 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E420 - Sorbitol', 'E412 - Gomme de guar', 'E322 - Lécithines', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E631 - Inosinate disodique', 'E627 - Guanylate disodique', 'E150b - Caramel de sulfite caustique', 'E296 - Acide malique']","['Crustacés', 'Gluten', 'Mollusques', 'Soja', 'sv:Räk', 'sv:Sojaböns', 'sv:räk', 'sv:sojaböns']","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,1770,+46%,?,,1770 kj(423 kcal),+40%,"18,8",+62%,"9,4",+78%,"54,1",+34%,0,-100%,"11,7",+84%,"2,2",-16%,"0,88",-16%,,,,,,,,,,,,,,,,,,,,,,,,,
1,Vitaminb12 50CL Pomelo DP16 - Vitamin Well,7350042710195,,,,['Vitamin Well'],['Boissons'],,,,['France'],"['edientes agua manantial', 'fructosa', 'acidulantes ', 'écidoc', 'sodio', ' extracto de baya de saüco extracto de C âctdo félico', 'B12', 'biotina', 'mineral de potasio', 'aroma de pomelo • stabilizador ', 'pectina', 'colorante ', 'caramelo']",,,[],,?,,17,-70%,71 kj(17 kcal),-71%,0,-100%,0,-100%,"4,2",-63%,"4,2",-56%,0,-100%,"0,025",-40%,"0,01",-40%,0 g,en faible quantité,0 g,en faible quantité,4.2 g,en quantité modérée,0.025 g,en faible quantité,6,-22%,D,-22%,,,,,,,,,,,,,
2,Vitamin well reload - 500ml,7350042710539,,500ml,"['Bouteille', 'Plastique']",['Vitamin Well'],"['Boissons', 'Boisson vitaminée']",['Sans conservateurs'],,,['France'],"['Eau de source', 'fructose', ""correcteur d'acidité "", 'acide citrique', 'vitamines ', 'D3', 'E', 'niacine', 'acide folique', 'B12', 'biotine', 'acide pantothénique', ' ', 'magnésium', 'zinc', 'sélénium', 'arôme citron', 'arôme citron vert']",['E330 - Acide citrique'],,['Sans huile de palme'],4,71,-75%,17,-70%,71 kj(17 kcal),-71%,0,-100%,0,-100%,"4,2",-63%,"4,2",-56%,0,-100%,"0,025",-40%,"0,01",-40%,0 g,en faible quantité,0 g,en faible quantité,4.2 g,en quantité modérée,0.025 g,en faible quantité,6,-22%,D,-22%,,,,,,,,,,,,,
3,Vitamin Well Upgrade,7350042712007,,,,['Vitamin well'],,,,,['France'],[],,,[],,?,,17,,71 kj(17 kcal),,0,,0,,"4,2",,"4,2",,0,,"0,025",,"0,01",,,,,,,,,,,,,,,,,,,,,,,,,,
4,Nice cream - Njle - 285g,7350068291944,Nice Cream Lemon,285 g,"['Pot', 'Carton', 'surgelé']",['Njle'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Glaces au citron']",,,,['France'],"['Eau', 'protéines de lait', 'fibres ', 'inuline', 'édulcorants ', 'sorbitol', 'acésulfame-k', 'aspartame', 'huile de coco', 'émulsifiant ', ""mono et diglycérides végétaux d'acides gras"", 'stabilisants ', 'gomme de caroube', 'carraghénane', 'arôme naturel de citron', 'concentré de carthame', 'lactase']","['E420 - Sorbitol', 'E950 - Acésulfame K', 'E951 - Aspartame', 'E410 - Gomme de caroube', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",['Lait'],['Non végétalien'],4,?,,121,-28%,506 kj(121 kcal),-28%,"4,2",-28%,"3,9",-8%,"9,8",-64%,"1,4",-93%,"10,7",+586%,"0,8",+662%,"0,32",+662%,4.2 g,en quantité modérée,3.9 g,en quantité modérée,1.4 g,en faible quantité,0.8 g,en quantité modérée,2,-78%,B,-78%,B,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,
5,Noa Active Herbs,7350076401403,,,,['Noa'],['Boisson à base de plantes'],['Sans conservateurs'],,,['France'],"['Eau,fructose', 'jus pomme concentre ', '69%', 'jus de citron concentré ', '39%', 'jus de canneberge concentré ', '1%', 'extrait de mélisse', 'arôme naturel', 'colorant de patates douces-anthocyanines', 'colorant concentré de pomme']",,,[],4,?,,18,,75 kj(18 kcal),,0,,0,,"4,5",,"4,5",,0,,0,,0,,0 g,en faible quantité,0 g,en faible quantité,4.5 g,en faible quantité,0 g,en faible quantité,-5,,A,,,,,,,,,,,,,,
6,Magnum almond,7355956065638,,,,,,['en:gluten-free'],,,['France'],[],,,[],,?,,332,,1389 kj(332 kcal),,21,,13,,30,,29,,5,,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,,,
7,Ketchup - Lidl - 500ml,7376633056565,,500 ml,,['Lidl'],,"['Sans arômes artificiels', 'Sans conservateurs']",,,['France'],[],,,[],,?,,112,,469 kj(112 kcal),,"0,1",,"0,1",,"23,8",,"23,4",,"1,7",,"2,93",,"1,172",,,,,,,,,,,,,,,,,,,,,,,,,,
8,Chips Lättsaltade Lantchips -,7392659002003,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre']",,,,"['France', 'Suède']",[],,,[],,?,,500,-6%,2092 kj(500 kcal),-6%,27,-17%,"2,7",-13%,56,+9%,"0,8",-43%,"8,3",+39%,"1,2",-8%,"0,48",-8%,27 g,en quantité élevée,2.7 g,en quantité modérée,0.8 g,en faible quantité,1.2 g,en quantité modérée,13,+15%,D,+15%,B,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,
9,Oatly Cream 250 ML x 1,7394376614699,,,['composite-carton'],['Oatly'],,,,,['France'],[],,,[],,?,,145,,607 kj(145 kcal),,?,,3,,?,,"3,5",,1,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
