,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,traceability_code,eco_score,quantity,packaging,brand,categories,manufacturing,link,markets,nova_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,generic_name,allergens,ingredients_origins,brand_owner,palm_ingredients,producer_info
0,Charbonnel et Walker Original The Chocolate Drink,5019960012300,['France'],[],[],?,546,2284 kj(546 kcal),"35,8","21,5","46,1","43,4","5,2","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cassolette Créole,3503361463141,['France'],[],[],?,479,2004 kj(479 kcal),"3,5","1,1",8,"0,7","7,2","0,8","0,32",['Fabriqué en France'],"['EMB 22225', ""Ploumagoar (Côtes-d'Armor, France)""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Miel de Fleurs Crémeux d'Alsace - Le Rucher de l'Ill - 500g,3760114100047,['France'],['Miel'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,,?,,?,,?,,,['Certifié par Certipaq'],,B,500 g,['Bocal'],"[""Le Rucher de l'Ill""]","['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Miels français', ""Miels d'Alsace"", ""Miels de fleurs d'Alsace""]",['France'],http://www.le-rucher-de-l-ill.fr,['Super U'],2,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,
3,Barre fruitée bio aux amandes et à la banane - Nature Active Bio,4099200208282,['France'],[],[],?,411,1720 kj(411 kcal),16,"1,4",55,42,9,"0,02","0,008","['Bio', 'Bio européen', 'DE-ÖKO-013', 'Agriculture UE/Non UE']",,,,,['Nature Active Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Abocar 3 fruits,3605265010572,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,75CL Beaujolais Village Fleuri,3245414857261,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Pain nordique - Carrefour,3123456027067,['France'],[],[],?,338,1414 kj(338 kcal),"4,5","0,6",58,"1,9",14,1,"0,4",,,,,,['Carrefour'],,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Saussice de morteau IGP,3760050793013,['France'],[],[],?,351,1469 kj(351 kcal),25,"9,7",1,"0,1",20,"2,6","1,04",,"['FR 25.240.005 CE', 'Fins (Doubs, France)']",E,,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Morteau']",,,,,,+11%,-9%,+81%,+19%,72.4%,18.3%,4.1%,1.4%,0.8%,3.0%,28,25 g,en quantité élevée,9.7 g,en quantité élevée,0.1 g,en faible quantité,2.6 g,en quantité élevée,+10%,-8%,-74%,+17%,+17%,23,+6%,E,+6%,,,,,,,
8,Confit. Figue au Vinaigre balsamique - Saveurs A - 210g,3760280042219,['France'],"['Figues 45 %', 'sucre de canne', 'oignons', ""vinaigre d'alcool"", 'vinaigre balsamique 6%', 'sel', ""huile d'olive"", 'herbes de Provence', 'pectine', ' *ingrédients allergènes : vinaigre: traces de sulfites']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,473.23,1980 kj(473 kcal),"0,96","0,12","31,56","30,77","0,63","0,12","0,048",,,,210 g,,['Saveurs A'],"['Epicerie', 'Sauces']",,,,4,,+99%,-95%,+218%,-77%,,,,,,,,0.96 g,en faible quantité,0.12 g,en faible quantité,30.8 g,en quantité élevée,0.12 g,en faible quantité,+101%,-94%,+376%,-95%,-95%,10,-14%,C,-14%,['E440 - Pectines'],,,,,,
9,Oignon rouge,3306540010507,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
