,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,manufacturing,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,generic_name,ingredients_origins,nova_score,sugar_quantity,sugar_comment,nutriment_sugars_tr_diff,saturated_acids_quantity,saturated_acids_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,nutriment_saturated-fat_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,allergens,additives,palm_ingredients,link
0,"2 Escalopes de Poulet Fermier Jaune du Sud-Ouest élevé en plein air - Leader Price - 2escalopes, 0.311kg",2662100031629,D,"2 escalopes, 0.311 kg","['barquette - plastique', 'film - plastique']",['Leader Price'],"['Viandes', 'Volailles', 'Poulets']",['Label Rouge'],['France'],"['FR 33.036.001 CE', 'Bazas (Gironde, France)']","['Franprix', 'Leader Price']",['France'],['Escalopes de Poulet Fermier Jaune du Sud-Ouest élevé en plein air'],[],1 g,en faible quantité,454,-34%,?,,454 kj(109 kcal),-28%,1,-83%,"0,5",-75%,24,+18%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pao da avó peq,2665957001067,,,,,,,,,,['France'],[],[],,,?,,241,,1008 kj(241 kcal),,1,,"48,4",,"7,9",,,,,,,,,1,1,"0,95","0,38",,,,,,,,,,,,,,,,,,,,,
2,Carrefour Le boeuf Steak - Carrefour Bio,2666116039365,,,,['Carrefour Bio'],,['Bio'],,,['Carrefour'],['France'],[],[],,,?,,413,,1728 kj(413 kcal),,33,,1,,28,,,,,,,,,21,1,"0,38","0,152",,,,,,,,,,,,,,,,,,,,,
3,2 biftecks - Carrefour - 280g,2666116041399,,280 g,"['Papier', 'Plastique']","['Carrefour', 'Carrefour Bio']","['Viandes', 'Bœuf', 'Biftecks']","['Bio', 'Bio européen', 'FR-BIO-10', 'AB Agriculture Biologique', 'Origine France']",['France'],"['EMB 84054K', 'Isle-sur-la-Sorgue (Vaucluse, France)', 'EMB 72080B', 'Cherré (Sarthe, France)', 'FR 72.080.002 CE', 'Cherré (Sarthe, France)']","['Carrefour Market', 'Carrefour']",['France'],['2 steaks **'],[],,,?,,?,,,,?,,?,,?,,,,,,,,,,,,,biftecks,['France'],,,,,,,,,,,,,,,,,,,
4,Grillade de porc à la provençale,2666155018246,,,,,,,,,,['France'],[],[],,,?,,248,,1038 kj(248 kcal),,20,,"1,1",,16,,,,,,,,,7,"0,8","0,79","0,316",,,,,,,,,,,,,,,,,,,,,
5,"Foie de veau - Socopa - 0,144kg",2666271019363,,"0,144 kg","['Frais', 'Plastique']",['Socopa'],"['Viandes', 'Poissons et viandes et oeufs', 'Abats', 'Viandes de veau', 'Foies']",,,"['FR 72.080.002 CE', 'Cherré (Sarthe, France)']",,['France'],['Foie de veau'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3.4 g,en quantité modérée,413,-33%,?,,413 kj(99 kcal),-45%,"3,4",-69%,0,-100%,"16,9",+2%,,,,,,,,,0,,,1 tranche de foie,,1,0 g,en faible quantité,-100%,,,,,,,,,,,,,,,
6,Foie de veau,2666271029584,,,,,['en:Foie de veau'],,,,,['France'],[],[],4.8 g,en quantité modérée,?,,135,,565 kj(135 kcal),,"4,8",,"2,9",,20,,,,,,,,,"1,6",0,"0,19","0,076",,,,0 g,en faible quantité,,1.6 g,en quantité modérée,0.19 g,en faible quantité,-3,A,,,,,,,,,
7,"Foie de veau - Socopa - 0,159kg",2666271029713,E,"0,159 kg",['Barquette'],['Socopa'],"['Viandes', 'Viandes de veau', 'Foie de veau']",,,,,['France'],['Foie de veau'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3.4 g,en quantité modérée,413,,?,,413 kj(99 kcal),-25%,"3,4",-25%,0,-100%,"16,9",-12%,96.9%,0.5%,1.0%,0.9%,0.5%,0.1%,16,,0,,,Foie de veau,,1,0 g,en faible quantité,-100%,,,,,,,,,,,,,,,
8,"Foie d'agneau - Sans marque - 0,140kg",2666789009580,E,"0,140 kg","['Plastique', 'Barquette']","['Sans marque', 'Socopa', 'Sélectionné par nos tripiers']","['Viandes', ""Viandes d'agneau"", ""Foie d'agneau""]",,,,['Carrefour market'],['France'],"[""foie d'agneau""]",[],5 g,en quantité modérée,556,-22%,?,,556 kj(133 kcal),-11%,5,-29%,"1,8",+36%,20,+6%,98.2%,0.2%,0.7%,0.6%,0.4%,0.1%,6,"1,9",0,"0,18","0,072",Foie d'agneau,,,0 g,en faible quantité,-100%,1.9 g,en quantité modérée,0.18 g,en faible quantité,-3,A,-30%,-82%,-82%,-207%,-207%,,,,
9,Rognon De Boeuf - Socopa,2666836021978,,,,['Socopa'],,"['Viande Française', 'Viande-bovine-francaise']",,,,['France'],[],[],,,?,,92,,385 kj(92 kcal),,?,,?,,17,,,,,,,,,5,0,"0,45","0,18",,,,,,,,,,,,,,,,,,,,,
