,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,allergens,additives,nova_score,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,eco_score,generic_name,packaging,ingredients_origins,traceability_code,markets,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,link,palm_ingredients
0,Calin+,3297560127170,['France'],[],[],?,92,385 kj(92 kcal),"2,7","1,8","12,6","12,2","3,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Calin +,3297560127422,['France'],[],[],?,64,268 kj(64 kcal),"3,5","2,1","3,6","3,6","3,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Calin - Yoplait,3297560127439,['France'],"['Lait entier', 'bifidus', 'vitamine D', 'ferments lactiques sélectionnés dont bifidobactériurm Lait origine France']",['Non végétalien'],?,64,268 kj(64 kcal),"3,5","2,1","3,6","3,6","3,5","0,1","0,04",['Yoplait'],['Lait'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Silhouette fraise et cerise - Yoplait,3297560128719,['France'],[],[],?,253,1059 kj(253 kcal),"0,1",0,"9,3","8,3",4,"0,17","0,068",['Yoplait'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Silhouette - Yoplait,3297560128740,['France'],"['SPÉCIALITÉ LAITIÈRE SUCRÉE AUX FRUITS À 0% DE MATIÈRE GRASSE', 'AVEC ÉDULCORANT', ' INGRÉD\\ENT3 : laitécrémé reconstitué ', 'origine : France', 'fruits : mangue 9,8%', 'fruits exotiques ', 'ananas', ' mangue', 'papaye', 'passion', ' 9,8%', 'sucre: 4,2%', 'polydextrose', 'fructo-oligosaccharides']",[],?,63,264 kj(63 kcal),"0,1",0,"10,2","9,2","3,9","0,15","0,06",['Yoplait'],,['E1200 - Polydextrose'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Crème dessert - Dolce vita,3297560129365,['France'],"['ngrédients : Lait reconstitué partiellement écrémé', 'sucre', 'amidon modifié de maïs', 'gélifiants ', 'gomme de guar - carraghé- nanes', 'arôme', 'colorants ', 'extrait de curcuma et de paprika', ""correcteur d'acidité "", 'E 500']",[],?,115,481 kj(115 kcal),"2,3","1,5","19,3","15,9","4,4","0,1","0,04",['Dolce vita'],,"['E14XX - Amidons modifiés', 'E412 - Gomme de guar', 'E100 - Curcumine', 'E500 - Carbonates de sodium']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Dolce Vita - Yoplait - 4/100g,3297560129426,['France'],[],[],?,124,519 kj(124 kcal),"2,3","1,5","21,2","17,4","4,7","0,1","0,04",['Yoplait'],,,,4/100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Brasse nature - Yoplait,3297560129501,['France'],"['lait entier', 'lait écrémé en poudre ', 'origine : France', 'matière grasse laitière', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,67,280 kj(67 kcal),"3,5","2,2","4,6","4,6","4,3","0,2","0,08",['Yoplait'],['Lait'],,3,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature', 'Yaourts brassés', 'Yaourts brassés nature']",3.5 g,en quantité modérée,2.2 g,en quantité modérée,4.6 g,en faible quantité,0.2 g,en faible quantité,,-16%,-15%,-25%,-27%,-3%,+4%,+7%,+65%,+65%,1,-30%,B,-30%,,,,,,,,,,,,,,,,,
8,Brassé nature,3297560129518,['France'],[],[],?,71,297 kj(71 kcal),"3,5","2,1","4,7","4,7","4,3","0,16","0,064",,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature', 'Yaourts brassés', 'Yaourts brassés nature']",3.5 g,en quantité modérée,2.1 g,en quantité modérée,4.7 g,en faible quantité,0.16 g,en faible quantité,,-11%,-10%,-25%,-30%,-1%,+7%,+7%,+32%,+32%,1,-30%,B,-30%,,,,,,,,,,,,,,,,,
9,Caresse - Yoplait,3297560129921,['France'],"['lait écrémé en poudre ', 'origine : France', 'sucre : 8,5%', 'matière grasse laitière', 'ferments lactiques,arômes']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,92,385 kj(92 kcal),"3,3","2,2","11,9","11,8","3,6","0,1","0,04",['Yoplait'],['Lait'],,4,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,
10,Superflan - Yoplait,3297560140124,['France'],"['lait écrémé reconstitué : 85%', 'sucre', 'matière grasse laitière', 'amidon modifié de maïs', 'arôme', 'gélifiant ', 'carraghénanes', 'colorants ', 'extrait de curcuma et de paprika']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,85,356 kj(85 kcal),"0,9","0,6","16,5","15,3","2,7","0,1","0,04",['Yoplait'],,"['E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E100 - Curcumine']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Superflan,3297560140223,['France'],[],[],?,102,427 kj(102 kcal),"1,9","0,9","17,8",16,"3,3","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Yopai Chocolat,3297560145051,['France'],[],[],?,121,506 kj(121 kcal),"2,4","1,1","20,6","18,8","4,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Dolce Vita - Yoplait,3297560146034,['France'],"['crème dessert saveur vanille : 80% [lait reconstitué partiellement écrémé', 'sucre', 'amidon transformé de maïs', 'arôme', 'colorants ', 'extrait de paprika et de curcuma', 'gélifiants ', 'gomme de guar', 'carraghénanes', 'stabilisant ', 'E500', ']', ' Crème fouettée ', ' 15% [crème ', 'lait', 'sucre', 'poudre de lait écrémé', 'émulsifiant ', 'E472b', 'épaississants ', 'gélatine alimentaire', 'gomme de guar', 'carraghénanes', 'arôme', 'stabilisant ', 'E500', ']', ' Caramel : 5% ', 'sucre', 'sirop de glucose-fructose', 'eau', 'amidon modifié', 'épaississants ', 'pectine', 'xanthone']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,129,540 kj(129 kcal),"4,4","3,4",19,"17,3","3,6","0,3","0,12",['Yoplait'],['Lait'],"['E14XX - Amidons modifiés', 'E160c - Extrait de paprika', 'E412 - Gomme de guar', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras"", 'E428 - Gélatine', 'E440 - Pectines']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Dolce Vita - Liégeois Caramel - Yoplait - 81Cl,3297560146072,"['France', 'La Réunion']","['Lait partiellement reconstitué enrichi en extrait sec', 'sucre', 'matière grasse laitière', 'cacao : 6,1 %', 'chocolat 3', '0% ', 'pâte de cacao', 'sucre', 'émulsifiant : lécithine de soja', 'arôme', 'gélifiants ', 'gélatine alimentaire', 'gomme de guar', 'émulsifiant ', 'E472b', 'stabilisant ', 'E500']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,117,490 kj(117 kcal),5,"3,4","14,6","14,6","3,4","0,12","0,048",['Yoplait'],"['Lait', 'Soja']","['E322i - Lécithine', 'E428 - Gélatine', 'E412 - Gomme de guar', ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras"", 'E500 - Carbonates de sodium']",4,81 Cl,"['Produits laitiers', 'Desserts', 'Frais', 'Desserts lactés', 'Desserts au chocolat', 'Mousses au chocolat']",5 g,en quantité modérée,3.4 g,en quantité modérée,14.6 g,en quantité élevée,0.12 g,en faible quantité,,-57%,-57%,-70%,-66%,-34%,-27%,-42%,-45%,-45%,5,-62%,C,-62%,,C,Mousse chocolat noir,"['Carton', 'Plastique', 'Frais']","['France', 'Ile de la Réunion', 'Saint Pierre']","['FR 97.416.004 CE', 'Saint-Pierre (La Réunion, France)']",['Score'],86.6%,6.7%,1.9%,3.5%,1.0%,0.3%,35,,,
15,Chocolat Liegeois - 115g,3297560146867,"['France', 'La Réunion']",[],[],?,117,490 kj(117 kcal),5,"3,4","14,6","14,6","3,4","0,12","0,048",,,,,115 g,,,,,,,,,,,,,,,,,,,,,,,,,,,['Pot'],,"['FR 97.416.004 CE', 'Saint-Pierre (La Réunion, France)']",,,,,,,,,,,
16,Flan vanille - Piton Des Neiges,3297560148076,['France'],"['lait enter sucre', 'amidon de arôme naturel']",[],?,95,397 kj(95 kcal),"3,1","2,1",14,"12,8","2,7","0,1","0,04",['Piton Des Neiges'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Yop Parfum Coco 250g - Yoplait - 250g,3297560171746,['France'],[],[],?,70,293 kj(70 kcal),"1,9","1,3","10,3","10,3","2,1","0,1","0,04",['Yoplait'],,,,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Yop pêche-biscuit - Yoplait - 250g,3297560176888,['France'],[],[],?,81,339 kj(81 kcal),"1,7","1,1","13,6","13,4","1,9","0,1","0,04",['Yoplait'],,,,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Yop petit déj - Yoplait,3297560176970,['France'],"['lait écrémé reconstitué ', 'France', 'sucre 7,7%', 'fraise : 5%', 'céréales ', 'blé', 'orge', ' : 3%', 'matière grasse laitière', 'sirop de glucose', 'épaississants ', 'guar', 'pectine', 'arômes', 'conservateur du fruit ', 'E202', ""correcteur d'acidité "", 'E330', ' Contient blé et orge']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,75,314 kj(75 kcal),"1,8","1,1",11,"10,4","2,3","0,1","0,04",['Yoplait'],['Gluten'],"['E412 - Gomme de guar', 'E440 - Pectines', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']",4,,"['Produits laitiers', 'Laits']",1.8 g,en faible quantité,1.1 g,en faible quantité,10.4 g,en quantité modérée,0.1 g,en faible quantité,,+14%,+15%,-13%,-8%,+83%,+92%,-35%,-19%,-19%,2,+248%,B,+248%,['Sans colorants'],C,,,,,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,
20,Yop énergie -  - 250,3297560176987,['France'],[],[],?,75,314 kj(75 kcal),"1,9","1,2","11,6","11,4","2,1","0,1","0,04",,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Yop chocolat,3297560177045,['France'],[],[],?,112,469 kj(112 kcal),"2,5","1,1","17,7","15,9","4,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
