,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,ingredients_origins,nova_score,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,manufacturing,link,markets,additives,allergens,palm_ingredients,traceability_code,brand_owner
0,Datte - Oasis,6132158600017,['Oasis'],['France'],['Datte'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,120,502 kj(120 kcal),0,0,31,28,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DATTES DEGLET NOUR - Elwaha - 1Kg,6132158600062,['Elwaha'],['France'],[],[],?,120,502 kj(120 kcal),0,0,28,28,1,,,C,1 Kg,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Dattes']",0 g,en faible quantité,0 g,en faible quantité,28 g,en quantité élevée,,-60%,-60%,-100%,-100%,-59%,-52%,-54%,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,,,,,,,,,,,,,,,,,,,,,
2,Oughalim,6132183900007,,['France'],[],[],?,50,209 kj(50 kcal),10,0,10,0,0,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Dattes d'Algerie,6132196800011,,['France'],[],[],?,306,1280 kj(306 kcal),0,0,73,0,"2,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Dattes deglet nour,6132224900010,,['France'],[],[],?,153,640 kj(153 kcal),0,0,35,0,"1,1",,,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Dattes']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-49%,-49%,-100%,-100%,-49%,-100%,-49%,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,,,,,,,,,,,,,,,,,,,,,
5,Chipsou,6132500420126,,['France'],[],[],?,464,1941 kj(464 kcal),"20,3","3,2","64,6","0,4","3,6","2,19","0,876",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Extra - Ben Hammadi,6132500630266,['Ben Hammadi'],['France'],[],[],?,358,1498 kj(358 kcal),2,0,72,72,13,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Glaçons à la fraise,6132500650073,,['France'],[],[],?,73,305 kj(73 kcal),"0,9",0,58,0,"0,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Dattes - Zohra - 1kg,6132500680018,"['Zohra', 'Fekkai-Touati']",['France'],['Dattes'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,306,1280 kj(306 kcal),"0,2",~ 0,70,70,"2,2",0,0,C,1 kg,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Dattes']",0.2 g,en faible quantité,0 g,en faible quantité,70 g,en quantité élevée,,+3%,+2%,-29%,-100%,+2%,+19%,+2%,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,Dattes branchées,"['Plastique', 'Carton']",['Algérie'],1,0 g,en faible quantité,-100%,-100%,2,-59%,B,-59%,,,,,,,,,
9,Cacao el mordjene,6132500710173,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
