,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,packaging,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,link,ingredients_origins,traceability_code,nova_score,markets,additives,allergens,generic_name,brand_owner,palm_ingredients
0,Pavé bio,3602826501708,['Bio'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kalfany Waldbeeren Bonbons Dose,4002590000022,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Brut Dargent,3263287626029,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Choconuts - Edeka - 110g,4311501666913,"['Agriculture durable', 'en:UTZ Certified', 'en:utz-certified-cacao']",['France'],[],[],?,573,"38,6",42,"11,8",110 g,['Wiederverschließbare Plastiktüte'],['Edeka'],"['Snacks', 'Snacks sucrés']",38.6 g,en quantité élevée,18.5 g,en quantité élevée,38.3 g,en quantité élevée,0.4 g,en quantité modérée,,+28%,2397 kj(573 kcal),+28%,+90%,"18,5",+86%,-27%,"38,3",+8%,+98%,"0,4",+5%,"0,16",+5%,21,+11%,E,+11%,,,,,,,,,,,,,,,,,,,
4,Duo de saumon aux tomates séchées et figues,3760252552029,,['France'],[],[],?,194,12,"9,6",11,,,,,,,,,,,,,,,812 kj(194 kcal),,,"4,7",,,"5,6",,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,
5,Chocolat lait miel,3760081901128,,['France'],[],[],?,567,37,52,"6,7",,,,,,,,,,,,,,,2372 kj(567 kcal),,,22,,,50,,,"0,21",,"0,084",,,,,,,,,,,,,,,,,,,,,,,,
6,Miel de lavande maritime - Baramel,3594480005084,"['Bio', 'Bio européen']",['France'],[],[],?,?,?,?,?,,,['Baramel'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de lavande']",,,,,,,,,,,,,,,,,,,,,,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,
7,Chamia,6194036800438,,['France'],[],[],?,550,30,50,15,,,,,,,,,,,,,,,2301 kj(550 kcal),,,5,,,30,,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,
8,Flocons d'avoine complet - Metro Chef,3439495209679,,['France'],[],[],?,377,"7,1",62,11,,,['Metro Chef'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Flocons laminés', ""Flocons d'avoine""]",7.1 g,en quantité modérée,1.3 g,en faible quantité,1 g,en faible quantité,0 g,en faible quantité,,+2%,1577 kj(377 kcal),+2%,+0%,"1,3",+4%,+4%,1,-39%,-11%,0,-100%,0,-100%,0,,B,,B,82.4%,1.1%,6.8%,7.0%,2.7%,0.0%,79,,,,,,,,,,,
9,Le jardinier glacier,3760123952101,,['France'],[],[],?,120,"0,12","28,47","0,33",,,,,,,,,,,,,,,502 kj(120 kcal),,,"0,01",,,"26,67",,,"0,003",,"0,001",,,,,,,,,,,,,,,,,,,,,,,,
