,name,bar_code,packaging,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,labels,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,additives,palm_ingredients,allergens,nova_score,ingredients_origins,manufacturing,brand_owner,markets,generic_name,traceability_code,link
0,Stuffed vine leaves,0770338191250,['Can'],"['Plats préparés', 'Feuilles de vigne farcies']",['France'],[],[],15 g,en quantité modérée,1.5 g,en quantité modérée,0 g,en faible quantité,0.78 g,en quantité modérée,?,,220,+52%,920 kj(220 kcal),+51%,15,+101%,"1,5",+49%,19,+18%,0,-100%,3,+36%,"0,78",-38%,"0,312",-38%,5,-5%,C,-5%,,,,,,,,,,,,,,,,,,,,,,
1,Sirop d'érable pur,0770451002037,,"['Édulcorants', 'Sirops', 'Sirops simples', ""Sirops d'érable""]",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,50 g,en quantité élevée,0 g,en faible quantité,?,,210,-23%,879 kj(210 kcal),-23%,0,-100%,0,-100%,50,-27%,50,-18%,0,-100%,0,-100%,0,-100%,12,-9%,D,-9%,,,,,,,,,,,,,,,,,,,,,,
2,"Jakeman's 100% Pure Maple Syrup In Kent Glass Bottle, 500ML - 500mL",0770451002068,,"['Édulcorants', 'Sirops', 'Sirops simples', ""Sirops d'érable""]",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,500 mL,,,,,,,,,,,,,,,,,,,,,
3,"Jakeman's 100% Pure Maple Syrup In White Plastic Bottle, 1L",0770451002150,,"['Édulcorants', 'Sirops', 'Sirops simples', ""Sirops d'érable""]",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,50 g,en quantité élevée,,,?,,210,-23%,879 kj(210 kcal),-23%,0,-100%,0,-100%,53,-23%,50,-18%,0,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,White Jug - 100ML,0770451006028,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,210,,879 kj(210 kcal),,0,,0,,53,,50,,0,,0,,0,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,
5,Maple Spread - 345G Glass,0770451006066,,,['France'],[],[],,,,,,,,,?,,270,,1130 kj(270 kcal),,0,,0,,68,,68,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Mapple Leaf Candy,0770451006189,,,['France'],[],[],,,,,,,,,?,,45,,188 kj(45 kcal),,0,,0,,12,,12,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Jakeman's 100% Pure Maple Syrup In Autumn Leaf Bottle, 50ml",0770451007179,,"['Édulcorants', 'Sirops', 'Sirops simples', ""Sirops d'érable""]",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,20 g,en quantité élevée,0 g,en faible quantité,?,,400,+47%,1674 kj(400 kcal),+47%,0,-100%,0,-100%,20,-71%,20,-67%,0,-100%,0,-100%,0,-100%,8,-39%,C,-39%,,,,,,,,,,,,,,,,,,,,,,
8,Jakeman's Maple Products,0770451007193,,,['France'],[],[],,,,,,,,,?,,3,,13 kj(3 kcal),,0,,0,,"88,3",,"83,3",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sirop d'érable,0770451206008,,"['Édulcorants', 'Sirops', 'Sirops simples', ""Sirops d'érable""]",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,48 g,en quantité élevée,,,?,,220,-19%,920 kj(220 kcal),-19%,0,-100%,0,-100%,54,-21%,48,-21%,0,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
