,name,bar_code,generic_name,quantity,packaging,brand,categories,labels,manufacturing,traceability_code,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,additives,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,link,palm_ingredients,producer_info
0,Noix de St Jacques - Connétable - 410g,3261950061016,Noix de St Jacques cuisinées en sauce,410 g,"['Conserve', 'Métal']",['Connétable'],"['Produits de la mer', 'Crustacés', 'Mollusques', 'Noix de Saint-Jacques']",['en:produced-in-bretagne'],"['France', 'Bretagne']","['FR 29.046.500 CE', 'Douarnenez (Finistère, France)']",['Carrefour'],['France'],"['Noix de St Jacques 40%', 'eau', 'vin blanc ', 'sulfites', 'beurre', 'farine de blé', 'oignons sel', 'ail', 'poivre', 'arôme naturel']","['Gluten', 'Lait', 'Mollusques', 'Anhydride sulfureux et sulfites']","['Non végétalien', 'Non végétarien']",4,5.7 g,en quantité modérée,3.8 g,en quantité modérée,1.4 g,en faible quantité,1 g,en quantité modérée,499,+36%,?,,499 kj(119 kcal),+32%,"5,7",+235%,"3,8",+401%,"7,3",+155%,"1,4",+122%,"9,2",-41%,1,+82%,"0,4",+82%,3,,C,,,,,,,,,,,,,,
1,"Poulpes En Marinade Apéri-tapas Arok,",3261951161036,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,148,,619 kj(148 kcal),,"5,5",,1,,"0,5",,"0,14",,24,,,,,,,,,,,,,,,,,,,,,,
2,Moules à La Galicienne Apéri-tapas Arok,3261951163672,,,,,,['Fabriqué en Espagne'],,,,['France'],[],,[],,,,,,,,,,?,,153,,640 kj(153 kcal),,"6,9",,0,,"6,1",,"1,68",,16,,,,,,,,,,,,,,,,,,,,,,
3,Rillettes De Saumon - Connétable,3261951172063,,,,['Connétable'],"['Viandes', 'Produits de la mer', 'Produits à tartiner', 'Poissons', 'Plats préparés', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Plats préparés au poisson', 'Rillettes de poissons', 'Rillettes de saumon', 'en:preparations-made-from-fish-meat']",,,,,['France'],"['saumon ', 'saumon rose du Pacifique et saumon Atlantique', ' ', '59%', 'eau', 'huile de tournesol,jus de citron concentré', 'concentré de tomates', 'protéinesde lait', ' fibres de canne à sucre', 'oignon', 'sel', 'épaississants: farine de graines de caroube et gomme xanthane']",['Poisson'],"['Non végétalien', 'Non végétarien']",4,13 g,en quantité modérée,1.8 g,en quantité modérée,0.8 g,en faible quantité,1 g,en quantité modérée,?,,173,-21%,724 kj(173 kcal),-21%,13,-24%,"1,8",-63%,1,-55%,"0,8",-12%,12,-11%,1,-12%,"0,4",-12%,1,-89%,B,-89%,E,"['E410 - Gomme de caroube', 'E415 - Gomme xanthane']",88.2%,4.1%,1.6%,5.2%,0.7%,0.2%,25,,,,
4,Poudre de Cèpes Séchés - Cie du Mont-Lozère - 130g e,3262044602825,,130 g e,"['Bocal', 'Plastique']","['Cie du Mont-Lozère', 'Champiland']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Produits déshydratés', 'Champignons et produits dérivés', 'Aliments à base de plantes séchées', 'Champignons séchés', 'Cèpes déshydratés', 'Champignons en poudre']","['Point Vert', 'Produits destinés aux professionnels']",,,,['France'],"['Poudre de cèpes séchés ', 'Boletus edulis', 'pinicola', 'aereus', 'reticulatus']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,2.6 g,en faible quantité,0.4 g,en faible quantité,7.9 g,en quantité modérée,0.03 g,en faible quantité,1226,,?,,1226 kj(293 kcal),-0%,"2,6",-18%,"0,4",+14%,"28,9",+11%,"7,9",-16%,"27,4",-8%,"0,03",-46%,"0,012",-46%,-11,,A,,,,,,,,,,,"['Union européenne', 'Hors Union Européenne']",,,
5,Bordeaux baron Philippe de rothschild 1991,3262151018151,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Bordeaux']",,,,,['France'],[],,[],,,,,,,,,,?,,1,-88%,4 kj(1 kcal),-88%,2,-9%,1,-6%,2,+83%,2,+184%,2,+111%,2,+501%,"0,8",+501%,,,,,C,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,['France'],,,
6,Mouton Cadet  -,3262151251756,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
7,Mouton Cadet,3262151833754,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,120,,502 kj(120 kcal),,1,,1,,1,,1,,15,,2,,"0,8",,,,,,,,,,,,,,,,,,
8,Rôti de Cerf au Vin Rouge - Damien De Jong,3262270001447,,,,['Damien De Jong'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de viande de cerf', 'Rôtis de Cerf']",,,,,['France'],"['• 37,3 % viande de cerf : 2,7 % marinade ', '1,5 % vin rouge de pays du Bérange ', 'sulfites', ""1,2 % mélange d'épices pour gibier "", 'épices', 'carottes', 'aromates ', 'protéine végétale hydrolysée', ' sel', 'huile de tournesol', 'sucre', 'sirop de glucose', 'dextrose', 'exhausteur de goût ', ' glutamate monosodique', 'arômes naturels ', 'ail', 'oignons']",['Anhydride sulfureux et sulfites'],"['Non végétalien', 'Non végétarien']",4,1.1 g,en faible quantité,0.32 g,en faible quantité,0 g,en faible quantité,0.14 g,en faible quantité,?,,103,-36%,431 kj(103 kcal),-35%,"1,1",-85%,"0,32",-87%,"0,1",-99%,0,-100%,"23,4",+148%,"0,14",-85%,"0,056",-85%,-4,-219%,A,-219%,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",,,,,,,,,,,
9,Paves de kangourou - Dam,3262270001799,,,,['Dam'],"['Viandes', 'Viandes fraîches', 'Viandes fraîches de kangourou', 'Viande de kangourou']",,,,,['France'],"['9570 viande de kangourou', ' 5% marinade ', 'eau', 'épices', 'sel non iodé', 'dextrose', 'huile végétale non hydrogénée ', 'tournesol', 'sucre', 'assaisonnement liquide ', 'eau', ""extraits d'épices"", 'farine de riz', 'fibre végétale', 'arômes naturels']",,[],4,0.8 g,en faible quantité,0.2 g,en faible quantité,0.3 g,en faible quantité,0.62 g,en quantité modérée,?,,96,+1%,402 kj(96 kcal),+1%,"0,8",-53%,"0,2",-49%,"0,4",-72%,"0,3",-58%,"21,7",+4%,"0,62",-40%,"0,248",-40%,-2,-1902%,A,-1902%,,,,,,,,,,,,,
