,name,bar_code,quantity,brand,categories,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,allergens,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,traceability_code,labels,ingredients_origins,manufacturing,link,palm_ingredients,brand_owner,origin_detail,producer_info
0,Boisson gazeuse énergisante - Marque Repère - 25cl,3564700487471,25 cl,"['Marque Repère', 'X-Tense']","['Boissons', 'Boissons avec sucre ajouté', 'Boissons sans sucre ajouté']",['Leclerc'],['France'],"['Eau gazéifiée ', ' sucre ', ' sirop de glucose-fructose ', ' acidifiant : acide citrique ', "" correcteurs d'acidité : E331"", 'E504 ', ' arôme ', ' colorant : E150b ', ' taurine ', '0', '029%', ' ', ' caféine ', '0', '021%', ' ', ' inositol ', ' vitamines : B3 ', 'niacine', 'B5 ', 'acide pantothénique', 'B2', 'riboflavine', 'B6', 'B12']","['E330 - Acide citrique', 'E331 - Citrates de sodium', 'E504 - Carbonates de magnésium', 'E150b - Caramel de sulfite caustique']",['Sans huile de palme'],4,0.5 g,en faible quantité,0.5 g,en faible quantité,11 g,en quantité élevée,0.2 g,en quantité modérée,187,-40%,?,,187 kj(45 kcal),-5%,"0,5",+49%,"0,5",+427%,11,+27%,11,+62%,"0,5",+0%,"0,2",+322%,"0,08",+322%,15,+172%,E,+172%,,,,,,,,,,,,,,,,,,,,
1,Merguez de volaille Goût épicé - Volandrie - 300g,3564700490082,300 g,['Volandrie'],"['Viandes', 'Charcuteries', 'Saucisses', 'Merguez', 'Merguez de volaille']",['Leclerc'],['France'],"['Viande de dinde 71 % ', 'origine : France', ' ', ' peau de poulet ', ' eau ', ' conservateurs: lactate de potassium', 'E263', 'E262 ', ' fibre de blé ', ' sel ', ' sirop de glucose ', ' épices ', 'dont piment 1 %', ' ', ' dextrose ', 'betterave rouge ', 'arômes naturels ', ' plantes aromatiques ', ' antioxydant : ascorbate de sodium', ' Boyau naturel de mouton', '\rTraces de lait et œufs']","['E326 - Lactate de potassium', 'E263 - Acétate de calcium', 'E262 - Acétates de sodium', 'E301 - Ascorbate de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,11 g,en quantité modérée,3.3 g,en quantité modérée,1.1 g,en faible quantité,1.7 g,en quantité élevée,723,-11%,172,-5%,723 kj(172 kcal),-8%,11,-14%,"3,3",-19%,"1,4",-15%,"1,1",+16%,16,-1%,"1,7",-2%,"0,68",-2%,10,-14%,C,-14%,E,['Gluten'],92.9%,4.8%,1.4%,0.6%,0.3%,0.1%,4,,,,,,,,,,,
2,Mini-barres chocolatées fourrées au lait x 16 - Copains Copines - 200g,3564700503782,200 g,"['Copains Copines', 'Marque Repère']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres de céréales', 'Barres chocolatées', 'Barres de céréales au chocolat', 'Barres chocolatées au lait']","['Leclerc Drive', 'Leclerc']",['France'],"['Chocolat au lait supérieur 51 % ', 'sucre', 'beurre de cacao', 'lait en poudre entier', 'pâte de cacao', 'lait en poudre écrémé', 'émulsifiant : lécithines ', 'tournesol', 'arôme naturel de vanille', ' ', ' sucre ', ' lait en poudre entier 15 % ', ' graisses végétales ', 'palme', 'palmiste', ' ', ' huile de tournesol ', ' émulsifiant : lécithines ', 'tournesol', ' ', ' arôme naturel ', ' beurre de cacao ', ' pâte de cacao ', ' lait en poudre écrémé 0,05 % ', ' arôme naturel de vanille', 'Traces de gluten', 'fruits à coque et œufs']",['E322i - Lécithine'],"['Huile de palme', 'Non végétalien']",4,34 g,en quantité élevée,20 g,en quantité élevée,53 g,en quantité élevée,0.3 g,en quantité modérée,2303,+4%,?,,2303 kj(550 kcal),+5%,34,+3%,20,-1%,53,+6%,53,+12%,"8,1",+8%,"0,3",+9%,"0,12",+9%,27,+4%,E,+4%,E,,83.0%,11.4%,2.3%,2.6%,0.7%,0.0%,43,Bâtonnets de chocolat au lait supérieur au fourrage au lait,"['Plastique', 'Carton', 'Aluminium']",,,,,,,,,
3,Tarte au chèvre et aux épinards - Côté Table - 350g,3564700515136,350 g,"['Côté Table', 'Marque Repère']","['Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', 'Tartes au fromage']",['Leclerc'],['France'],"['Pâte feuilletée 36 % ', 'farines ', 'farine de blé ', ' farine de fèves ', ' farine de blé malté ', ' agent de traitement de la farine : acide ascorbique', 'eau', 'margarine ', 'huiles et graisses végétales ', 'palme', 'colza', 'eau', 'sel', 'émulsifiant : E471', 'acidifiant : acide citrique', 'colorant : E160a', 'sel', 'épinards 18 %', 'lait entier', 'crème fraîche 7,8 %', 'fromage de chèvre 7,3%', 'œufs', 'eau', 'fromage blanc', 'amidon modifié de maïs et/ou de riz', ""blancs d'œufs"", 'ail', 'échalotes', ""huile d'olive"", 'sel', 'cumin', 'curry ', 'dont céleri', 'poivre', ' Traces de poissons', 'mollusques', 'crustacés', 'moutarde', 'soja et fruits à coque', 'Les pourcentages sont exprimés sur le produit total']","['E300 - Acide ascorbique', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E160a - Carotènes mélangés', 'E14XX - Amidons modifiés']","['Huile de palme', 'Non végétalien']",4,16 g,en quantité modérée,8.6 g,en quantité élevée,1.9 g,en faible quantité,1.1 g,en quantité modérée,1030,-3%,?,,1030 kj(246 kcal),-5%,16,+5%,"8,6",+3%,19,-5%,"1,9",-19%,"5,8",-34%,"1,1",+19%,"0,44",+19%,13,0%,D,0%,C,"['Œufs', 'Gluten', 'Lait']",70.7%,13.4%,3.3%,3.6%,1.9%,7.2%,56,Tarte aux épinards et au fromage de chèvre,['Carton'],"['FR 01.451.003 CE', 'Viriat (Ain, France)']",,,,,,,,
4,Biscuits cacaotes vanilles - P'tit Déli - 176g,3564700582589,176 g,"[""P'tit Déli"", 'Marque Repère']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits fourrés', 'Biscuits cacaotés fourrés goût vanille']",['Leclerc'],['France'],"['Farine de blé ', ' sucre ', ' huile de tournesol ', ' graisses végétales ', 'palme et palmiste', ' ', ' cacao maigre en poudre 4,7 % ', ' sirop de glucose-fructose ', ' amidon de blé ', ' poudres à lever : E500', 'E503 ', ' sel ', ' émulsifiant : lécithines ', 'soja', ' ', ' arômes', ' Traces de lait']","['E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium"", 'E322i - Lécithine']","['Huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,17 g,en quantité modérée,5.4 g,en quantité élevée,37 g,en quantité élevée,1.1 g,en quantité modérée,1953,-3%,?,,1953 kj(467 kcal),-3%,17,-17%,"5,4",-40%,72,+6%,37,+2%,"4,6",-7%,"1,1",+41%,"0,44",+41%,20,-12%,E,-12%,D,"['Gluten', 'Lait', 'Soja', 'Lacté', 'Lactés']",84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,"['Boîte', 'Carton', 'Sachet', 'Plastique']",,['Point Vert'],,,,,,,
5,Bonbons sans sucre au réglisse - Confiséo - 150g,3564700641866,150 g,"['Confiséo', 'Marque Repère']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['Leclerc'],['France'],"['Edulcorants : maltitols', 'sucralose ', ' suc de réglisse 1', '9% ', ' arôme naturel ', ' colorant : E153 ', "" chlorure d'ammonium"", 'Traces de fruits à coque et de lait', 'Une consommation excessive peut avoir des effets laxatifs']","['E965 - Maltitol', 'E955 - Sucralose', 'E153 - Charbon végétal médicinal', ""E510 - Chlorure d'ammonium""]","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,0.5 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,0.1 g,en faible quantité,960,-38%,?,,960 kj(229 kcal),-36%,"0,5",-73%,"0,5",-53%,96,+15%,"0,5",-99%,0,-100%,"0,1",-17%,"0,04",-17%,2,-86%,B,-86%,E,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,Bonbons sans sucres avec édulcorants,"['Sachet', 'Plastique']",,['Une consommation excessive peut avoir des effets laxatifs'],,,,,,,
6,Dosettes classique x 36 - Plantation - 250g,3564700702093,250 g,"['Plantation', 'Marque Repère']","['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés moulus', 'Cafés en dosettes', 'Cafés en dosettes compatible Senseo', 'Boissons sans sucre ajouté']",['Leclerc'],['France'],['café moulu'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,Dosettes de café moulu,"['Sachet', 'Plastique', 'Dosette']",,,,,,,,,
7,Frites goût bacon - Marque Repère - 80g,3564700705964,80 g,"['Marque Repère', 'Tokapi']","['Snacks', 'Snacks salés', 'Apéritif']",['Leclerc'],['France'],"['Pomme de terre déshydratée 45% ', 'dont conservateurs : sulfite acide de sodium', 'disulfite de sodium', 'semoule de maïs 45%', 'huile de tournesol 11%', 'assaisonnement goût bacon ', 'arômes ', 'dont arômes de fumée', 'sel', 'chapelure ', 'farine de blé', 'levure', 'sel', 'dextrose', 'huile de colza', 'maltodextrine', 'sel', 'dextrose', 'colorant : extrait de paprika', ""Traces d'arachides"", 'de lait', ""de crustacés et d'oeufs""]","['E222 - Bisulfite de sodium', '', 'Risque élevé de sur-exposition', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E160c - Extrait de paprika']",[],4,12.5 g,en quantité modérée,1.2 g,en faible quantité,2 g,en faible quantité,1.7 g,en quantité élevée,1817,-8%,?,,1817 kj(434 kcal),-7%,"12,5",-48%,"1,2",-71%,70,+36%,2,-36%,"7,4",-3%,"1,7",+9%,"0,68",+9%,8,-37%,C,-37%,,['Gluten'],,,,,,,,,['Sachet plastique à jeter'],,"['Nutriscore', 'Nutriscore C']",,,,,,,
8,Purée cuisinée carottes et potiron - Marque Repere - 750g,3564700708200,750 g,"['Marque Repere', 'Notre Jardin']",,['Leclerc'],['France'],"['Carottes 49 %', 'potiron 27 %', 'pommes de terre 14 %', 'crème fraîche 5 %', 'beurre 3 %', 'sel', 'persil', 'poivre', ""Traces de céleri et d'oeufs""]",,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,,314,,?,,314 kj(75 kcal),,"4,8",,"2,4",,"5,7",,3,,"1,2",,"0,6",,"0,24",,,,,,,['Lait'],,,,,,,,,['surgelé'],,,,,,,,,
9,Sandwich club triple thon crudités - Côté Snack - 230g,3564700728369,230 g,"['Côté Snack', 'Marque Repère']","['Sandwichs', 'Sandwichs au poisson', 'Sandwichs au thon']",['Leclerc'],['France'],"['Pain de mie complet 52% ', 'farine complète de blé', 'eau', 'farine de blé', 'huile de colza', 'levure', 'sucre', 'sel', 'gluten de blé', 'farine de fèves', 'émulsifiant : E471', 'antioxydant : acide ascorbique', 'thon au naturel 16', '2% ', 'thon listao', 'eau', 'sel', 'crudités 15,5% ', 'tomate** 9', '7%', 'salade 5', '8%', 'mayonnaise allégée en matières grasses* 13', '1% ', 'eau', ' huile de colza 2,6%', ' moutarde de Dijon ', 'eau', 'graines de moutarde', 'vinaigre', 'sel', 'acidifiant : acide citrique', 'antioxydant : disulfite de potassium', "" jaune d'œuf 0,65% "", "" vinaigre d'alcool "", ' amidon modifié de pomme de terre ', ' sucre ', ' sel ', ' épaississants : gomme guar', 'gomme xanthane ', ' conservateur : E202', 'œufs 3', '2% ', 'oeufs', 'eau', 'sel', 'acidifiant: acide citrique', ' Traces de lait', 'crustacés', 'graines de sésame', 'céleri', 'soja et fruits à coque', 'Pourcentages exprimés sur le total de la recette', ""*Réduction d'au moins 30% de la teneur en matières grasses par rapport à la moyenne des mayonnaises classiques"", '**Ingrédient décongelé', 'ne pas recongeler']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E300 - Acide ascorbique', 'E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,5.1 g,en quantité modérée,0.6 g,en faible quantité,2.7 g,en faible quantité,1.2 g,en quantité modérée,792,-15%,?,,792 kj(189 kcal),-15%,"5,1",-40%,"0,6",-42%,25,-1%,"2,7",-3%,9,-8%,"1,2",+11%,"0,48",+11%,-1,-224%,A,-224%,C,"['Œufs', 'Gluten', 'Moutarde']",74.8%,8.9%,5.2%,8.3%,2.3%,0.6%,64,,,,"['Ne pas recongeler', 'Décongelé']",,,,,,,
