,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,additives,palm_ingredients,allergens,nova_score,categories,labels,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,quantity,packaging,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,ingredients_origins,markets,link,traceability_code,brand_owner
0,Oneo,8690840216147,['France'],[],[],?,177,741 kj(177 kcal),1,1,74,1,"0,01",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Yupo candy filled stick,8690840226467,['France'],[],[],?,349,1460 kj(349 kcal),"1,35","1,35","81,5","55,9",2,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Oneo Chewing-Gum Arome Pastèque,8690840227952,['France'],[],[],?,158,661 kj(158 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lentille rouges,8690849820147,['France'],[],[],?,319,1335 kj(319 kcal),1,"0,26","40,1","4,5","26,4","0,002","0,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Basak, Ris Mel",8690906000079,['France'],"['ICE FLOUR / REISMEHL STMEEL / FARINE DE RIZ RIS MEL Basak Tüketim ve Gida A', 'S', ' ran Mhn S', 'Mahmut Hayrani C', ' N:34 42550-Ak', 'ehir-TÜRKlYE Tel : ', '332', ' 812 75 OO ', '5 line', ' Fax : ', '332', ' 813 13 88 Basak Tüketim ve Gida GmbH', ' Marktstr', ' 10 Grossmarkt 50968 Kôln / DEUTSCHLAND Tel : 0049 - 221 - 3762198 Fax : 0049 - 221 - 3404246 www', 'basakgida', 'com', 'tr No: TR-42-K-000109 avsiye Edilen Tüketim Tarihi est before end- lindestens haltbar bis Ende consommer de préférence avant fin en minste houdbaar tot einde lindst holdbar til og med arti']",[],?,358,1498 kj(358 kcal),"1,5",0,80,0,6,0,0,['Basak'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Salep,8690906000635,['France'],[],[],?,111,464 kj(111 kcal),"3,3","1,9","16,5",12,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Basak Strawberry Pudding,8690906000833,['France'],[],[],?,109,456 kj(109 kcal),"2,8","1,5","18,1","13,3","2,8",,,['Basak'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Basak Schokoladenpudding - Başak,8690906000949,['France'],"['Sucre', 'sirop de glucose', 'huile de palme', 'émulsifiant ', ""mono-et diglycérides d'acides gras"", 'amidon de pomme de terre modifié', 'protéines du lait', 'stabilisateur ', 'phosphates de potassium', 'épaississant ', 'gomme guar', 'arôme ', 'vanilline']","['Huile de palme', 'Non végétalien']",?,180,753 kj(180 kcal),"8,1",4,"23,5",16,"3,2",0,0,['Başak'],"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E340 - Orthophosphates de potassium', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar']",['Huile de palme'],['Lait'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Basak Hühnersuppe Mit Nudeln,8690906006026,['France'],"['farine de blé', 'sel de cuisine', 'exhausteur de goût ', 'glutamate monosodique', 'huile de végétale en poudre ', 'huile de palme', 'sirop de glucose', 'protéines du lait', 'poulet ', '1 ,9%', 'oignons en poudre', 'arôme', 'oignon', ""correcteur d'acidité "", 'acide citrique', 'persil', 'curcuma', ' Peut contenir des traces de céleri', 'noisette', 'amandes', ' INGREDIENTS: Noodle ', 'Wheat semoiina', ' ', '52,5%', 'Wheat E flour', 'table salt', 'flavour enhancer ', 'monosodiumglutamate', 'É fat powder ', 'palm cil', 'glucose syrup,milk protein', 'chicken El ', '1 onion powder,flavouring ', 'onion', 'acidity regulator 11 ', 'citric acid', 'parsley', 'turmeric', ' May contain traces of celery', 'hazelnut', 'almonds', ' INGREDIÉNTEN: Vermicelli ', 'griesmeel', ' ', '52,5%', 'tarwebloem', 'En tafel zout', 'aroma versterker ', 'natriumglutamaat', 'oliepoeder a ', 'palmolie', 'glucosestroop', 'melkelwit', 'kippenvlees ', '1,9%', 'uienpoeder', 'aroma ', 'uien', 'zuurteregelaar ', 'citroenzuur', 'dl peterselie', 'curcuma', ' Kan sporen van selderij', 'hazelnoot', 'amandelen bevatten', ' û INGREDIENSER: Smà pasta hvede mel', 'carl bordsalt', 'smagsforsterker ', 'monosodium glutamat', 'Olie Pulver ', 'palme Olie', 'glicosesirup', 'melkeproteln', 'kylling ', '1,9%', 'lags pulver', 'aroma ', 'log', 'syre regulator ', ""sitrik 1 Prot'""]","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,21,88 kj(21 kcal),"0,4","0,16","3,66","0,3","0,64","0,6","0,24",['Basak'],"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']",['Huile de palme'],"['Gluten', 'Lait']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Basak, Brocoli Suppe m / Kreme",8690906006149,['France'],[],[],?,19,79 kj(19 kcal),"0,3","0,1","3,6","0,6","0,5","0,7","0,28",['Basak'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Chorba marocaine - Basak,8690906555418,['France'],"['Vermicelles ', 'semoule de blé', '35%', 'amidon de maiS', 'poudre de tomate', 'farine de blé', 'sel', 'poudre de oignon', 'maltodextrine', 'exhauster de goût ', 'monosodium de glutamate', 'sucre', 'poudre de huile ', 'huile de palme', 'sirop de glucose protéines du lait', 'persil', 'arome', 'coriandrum', 'poudre de piment rouge piquant', 'poivre blanc', 'curcuma', 'thym']",['Huile de palme'],?,36,151 kj(36 kcal),"0,4",0,"7,5","1,25","0,75","0,5","0,2",['Basak'],"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",['Huile de palme'],['Gluten'],4,"['Plats préparés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Soupes', 'Plats préparés déshydratés', 'Soupes déshydratées', 'Chorba']","['Halal', 'Sans conservateurs']",,-79%,-78%,-83%,-100%,-68%,-78%,-86%,-80%,-80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Barre au sésame,8690949030576,['France'],[],"['Végétalien', 'Végétarien']",?,520,2176 kj(520 kcal),"32,5","4,5","45,1",33,"12,5","0,01","0,004",,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Graine de courge,8690985106136,['France'],[],[],?,503,2105 kj(503 kcal),"31,9","12,9",0,0,"35,9",4,"1,6",,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines', 'Produits de la plante de courge', 'Graines de courge et dérivés', 'Graines de courge']",,,-11%,-11%,-28%,+70%,-100%,-100%,+20%,+652%,+652%,31.9 g,en quantité élevée,12.9 g,en quantité élevée,0 g,en faible quantité,4 g,en quantité élevée,26,+145%,E,+145%,,,,,,,,,,,,,,,,,
