,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,labels,packaging,markets,generic_name,manufacturing,additives,allergens,nova_score,traceability_code,ingredients_origins,link,palm_ingredients,brand_owner
0,Mini viennoiseries,3700462030726,['France'],[],[],?,328,1372 kj(328 kcal),17,12,37,11,"5,4","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Part de flan x,3700462031266,['France'],[],[],?,187,782 kj(187 kcal),"7,1","4,5",27,18,"3,5","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Pains aux raisins,3700462033123,['France'],[],[],?,295,1234 kj(295 kcal),13,"7,8",41,17,"5,4","0,57","0,228",C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains aux raisins']",13 g,en quantité modérée,7.8 g,en quantité élevée,17 g,en quantité élevée,0.57 g,en quantité modérée,,-1%,-1%,+18%,+30%,-7%,-1%,-6%,-10%,-10%,15,+9%,D,+9%,74.6%,17.9%,4.8%,2.4%,0.4%,0.0%,64,,,,,,,,,,,,,,,
3,Pain de campagne - 177g,3700462034083,['France'],[],[],?,265,1109 kj(265 kcal),"1,3","0,2",52,"1,4",10,"1,3","0,52",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de campagne']",1.3 g,en faible quantité,0.2 g,en faible quantité,1.4 g,en faible quantité,1.3 g,en quantité modérée,,-0%,-0%,-62%,-58%,+8%,-30%,+22%,+4%,+4%,3,+5%,C,+5%,,,,,,,,177 g,,,,,,,,,,,,,,
4,Baguette les 3 meniers - Leclerc,3700462034120,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Leclerc'],['Bio'],,,,,,,,,,,,
5,Pains aux Céréales - Leclerc,3700462035035,['France'],[],[],?,278,1163 kj(278 kcal),"4,6","0,4",47,"1,6","9,6","5,5","2,2",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains spéciaux', 'Pains multicéréales']",4.6 g,en quantité modérée,0.4 g,en faible quantité,1.6 g,en faible quantité,5.5 g,en quantité élevée,,+2%,+3%,-14%,-46%,+6%,-27%,+16%,+358%,+358%,13,+6400%,D,+6400%,,,,,,,,,['Leclerc'],,"['Sachet', 'Plastique']",['Leclerc'],,,,,,,,,,
6,"Beignets Pomme Décongelés, x4 -",3700462035943,['France'],[],[],?,282,1180 kj(282 kcal),"8,7","1,2",41,12,"6,1","0,69","0,276",,"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",8.7 g,en quantité modérée,1.2 g,en faible quantité,12 g,en quantité modérée,0.69 g,en quantité modérée,,-21%,-21%,-45%,-65%,-9%,-26%,-4%,-6%,-6%,6,-50%,C,-50%,,,,,,,,,,,,,Beignets fourrés à la purée de pomme,,,,,,,,,
7,"Chouquettes, x20 - Leclerc",3700462036049,['France'],[],[],?,270,1130 kj(270 kcal),13,"8,7",32,16,"6,2","0,64","0,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,
8,Pastèque,3700462041531,['France'],[],[],?,35,146 kj(35 kcal),0,0,"7,3","6,7","0,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Crepe,3700462047359,['France'],[],[],?,408,1707 kj(408 kcal),"5,3","1,7",74,34,15,"1,4","0,56",B,"['Crêpes et galettes', 'Crêpes']",5.3 g,en quantité modérée,1.7 g,en quantité modérée,34 g,en quantité élevée,1.4 g,en quantité modérée,,+33%,+32%,-46%,-53%,+63%,+60%,+109%,+72%,+72%,19,+57%,E,+57%,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,,,,,,,,,,,,,,,
