,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,allergens,generic_name,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,labels,additives,nova_score,packaging,traceability_code,ingredients_origins,manufacturing,markets,link,palm_ingredients,brand_owner
0,Golden Toast-Waffeln,4009249024156,['Golden Toast'],['France'],[],[],?,506,2117 kj(506 kcal),33,"8,2",44,24,3,"0,26","0,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Korn mark,4009249038610,,['France'],"['Weizenmehl', 'Wasser', 'Natursauerteig ', 'Roggenmehl', 'Wasser', 'Chiasamen ', 'Salvia hispanica', 'Hirse', 'gepuffter Dinkel', 'Weizenbackschrot', 'Leinsamenmehl', 'Rapsöl', 'Salz', 'Weizenkleie', 'Hefe', 'Kann Spuren von Sesam enthalten', 'Nä Ene P Ungeöffnet']",[],?,241,1008 kj(241 kcal),4,"0,4",40,"3,5","7,9",1,"0,4",['Gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Hüttentraum,4009300005278,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pure. Lust. Tee - Teekanne,4009300005360,['Teekanne'],['France'],[],[],?,?,,?,,?,,?,,,,Fruit tea with strawberry-rhubarb taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Gold - Teekanne,4009300007319,['Teekanne'],['France'],['Thé noir'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Green tea chun mee - Teekanne,4009300009740,"['Teekanne', 'Pompadour']",['France'],[],[],?,?,,?,,?,,?,,,,,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts']",,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Teekanne Grüner Tee Matcha,4009300013563,,['France'],[],[],?,1,4 kj(1 kcal),"0,1","0,1","0,1","0,1","0,2","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Rosehip the au fruits de l’eglantier - Teekanne,4009300501220,['Teekanne'],['France'],[],[],?,0,0 kj(0 kcal),0,0,9,8,10,0,0,,,,['Boissons'],,-100%,-100%,-20%,+1916%,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,8 g,en quantité élevée,0 g,en faible quantité,-100%,-100%,-15%,-100%,-100%,1,-87%,B,-87%,,,,,,,,,,,,
8,Cool sensation apple & elderflower,4009300525752,,['France'],[],[],?,1,4 kj(1 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Emmental,4009301002399,,['France'],[],[],?,387,1619 kj(387 kcal),29,19,2,0,29,7,"2,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Gouda - 200g,4009301040926,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,,
11,Choucroute - Sauerkraut,4009309022504,['Sauerkraut'],['France'],[],[],?,22,92 kj(22 kcal),"0,1","0,1","3,9","1,2","1,5","1,25","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,
12,Bio Fit Augurken Zoet Zuur,4009309112670,['Bio Fit'],['France'],"['Gurken*', 'Branntweinessig*', 'Rohrohrzucker*', 'Kräuteressig*', 'Branntweinessig*', 'Kräuter-Aroma*', 'Meersalz', 'Dill*', 'Senfsaat*', 'Gewürze ', 'Zwiebeln*', 'Koriander*', 'Fenchel*', 'Pfeffer*', 'Festigungsmittel: Calciumcitrat', ' Ungeöffnet']",[],?,34,142 kj(34 kcal),"0,2","0,1","6,1","5,3","1,4","1,42","0,568",['Moutarde'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'DE-ÖKO-001']",['E333 - Citrates de calcium'],4,,,,,,,,
13,Kürbis Paulsen - 320g,4009309532515,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320 g,,,,['Glas'],,,,,,,
14,Bambussprossen - Marschland - 180g,4009309680612,['Marschland'],"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180g,,,,['Glas'],,,,,,,
15,Kürbis kernbraten,4009337101608,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Casa Pietra Gnocchi - 500g,4009337846936,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,,
17,Assaisonnement Spécial Grill,4009338409024,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Käseaufschnitt,4009418106089,,['France'],[],[],?,330,1381 kj(330 kcal),25,17,"0,1","0,1",25,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Kaffesahne,4009418108441,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Frischkäse - 200g,4009418108977,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,,
21,"Salzbrezeln, Feines Laugengebäck",4009418109554,,['France'],[],[],?,408,1707 kj(408 kcal),"8,5","4,3",70,"2,5",11,"5,5","2,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Texas Eintopf - 800g,4009418110642,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800 g,,,,['Konserve'],,,,,,,
23,Tip Müsli-Riegel Schokolade - 200g,4009418154271,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,,
24,Tomaten Nudeltopf - 800g,4009418160739,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800 g,,,,['Konserve'],,,,,,,
25,TiP Butterkäse 45% - 400g,4009418211462,['TIP'],"['République tchèque', 'France']","['pasteurisierte Kuhmilch', 'Speisesalz', 'Sâuerungskulturen', 'mikrobielles Lab', ' Unter Schutzatmosphâre verpackt', ' Nach dem Ôffnen kühl lagern und innerhalb weniger Tage verbrauchen', ' l', 'Aufgrund der Reifezeit baut Sich die natürlicherweise enthaltene']",['Non végétalien'],?,335,1402 kj(335 kcal),26,18,"0,1","0,1",24,"1,8","0,72",['Lait'],,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,+2%,-2%,-92%,+18%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,26 g,en quantité élevée,18 g,en quantité élevée,0.1 g,en faible quantité,1.8 g,en quantité élevée,+2%,+1%,-87%,+38%,+38%,16,+17%,D,+17%,400 g,,,3,,['DE SH-050 EG'],,,,,,
26,Weinbranntweinessig - 1l,4009418219321,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1l,,,,,,,,,,,
27,Brantweinessig -  - 1l,4009418219369,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,B,"['Vinaigres', ""Vinaigres d'alcools""]",,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,,,,,,,,,,1 l,,,,['Flasche'],,,,,,,
28,"Apfel Schorle - 1,5L",4009418289010,,['France'],[],[],?,27,113 kj(27 kcal),0,0,"6,5","6,2",0,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,5L",,,,,,,,,,,
29,"Mozzarella Light, 8, 5% Fett Absolut - Tip",4009418291266,['Tip'],['France'],"['lait de vache pasteurisé', 'sel alimentaire', 'substitut de laboratoire microbien', ""culture de bakœi d'acide lactique"", 'acide citrique', ' Mozzarella lig% t contient 50% moins de matières grasses que Mozzarella 45% de graisse i', ' Tr']",['Non végétalien'],?,167,699 kj(167 kcal),"8,5",6,"1,5","1,5",21,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E330 - Acide citrique'],,,,,,,,,
30,Pudding -  - 115g,4009418297046,,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Desserts', 'Puddings']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115 g,,,,['stück'],,,,,,,
31,Paniermehl Tip -  - 1000g,4009418297671,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Chapelure']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000 g,,,,,,,,,,,
32,Salat dressing french,4009418317652,,['France'],[],[],?,305,1276 kj(305 kcal),29,"3,1","8,8","6,3","1,5","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Jus orange pomme goyave ananas,4009491015117,,['France'],[],[],?,46,192 kj(46 kcal),"0,2","0,05","9,8","9,7","0,5","0,004","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans sucre ajouté'],,,,,,,,,,
34,Spate Ernte - valensina,4009491018118,['Valensina'],['France'],['Orange'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,47,197 kj(47 kcal),"0,2","0,04","9,9","9,9","0,8","0,003","0,001",,,,['Boissons'],,-16%,-42%,-12%,+61%,,,,,,,,0.2 g,en faible quantité,0.04 g,en faible quantité,9.9 g,en quantité élevée,0.003 g,en faible quantité,-18%,-66%,+5%,-93%,-93%,4,-48%,C,-48%,,,,1,,,,,,,,
