,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,manufacturing,traceability_code,generic_name,ingredients_origins,link,markets,palm_ingredients,brand_owner
0,beurre - St Hubert,56185423,C,['St Hubert'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Produits à tartiner', 'Produits à tartiner salés', 'Matières grasses à tartiner', 'Matières grasses végétales', 'Pâtes à tartiner végétales', 'Margarines']",['France'],"['Babeurre ', 'lait', 'huiles végétales 34% ', 'colza', 'coco', 'karité', 'lait écrémé réhydraté', 'épaississant ', 'E1422', 'beurre concentré ', '2%', 'sel de mer ', '1,5%', 'émulsifiants ', ""mono et diglycérides d'acide gras"", 'E476', ""correcteurs d'acidité "", 'E331', 'acide lactique', 'conservateur ', 'sorbate de potassium', 'arômes ', 'lait', 'colorant ', 'bêta-carotène']","['E1422 - Adipate de diamidon acétylé', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E331 - Citrates de sodium', 'E270 - Acide lactique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E160ai - Bêta-carotène']",['Lait'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",4,38 g,en quantité élevée,18 g,en quantité élevée,2.5 g,en faible quantité,1.8 g,en quantité élevée,?,,370,-28%,1548 kj(370 kcal),-27%,38,-33%,18,+11%,"5,6",+1286%,"2,5",+937%,"1,5",+564%,"1,8",+217%,"0,72",+217%,18,+55%,D,+55%,83.1%,3.4%,4.6%,5.4%,2.7%,0.7%,71,,,,,,,,,,,
1,5622300113942,5622300113942,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Choco pépites - Milka,5626610388199,,['Milka'],,['France'],[],,,[],,,,,,,,,,?,,445,,1862 kj(445 kcal),,23,,11,,55,,32,,5,,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,
3,Milka recette onctueuse,5626610463643,,['Milka'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Belvita Original,5626610713946,,,,['France'],[],,,[],,,,,,,,,,?,,441,,1845 kj(441 kcal),,15,,"1,4",,67,,22,,"7,7",,"1,39",,"0,556",,,,,,,,,,,,,,,,,,,,,,,
5,Bloc noir amandes entières - Côte D Or,5626610995199,,['Côte D Or'],,['France'],[],,"['Lait', 'Fruits à coque', 'Soja']",[],,,,,,,,,,?,,555,,2322 kj(555 kcal),,36,,16,,43,,41,,"9,7",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,
6,Salsa nuggets di pollo - Develey,56235111,,['Develey'],,['France'],"['eau', ' pu', 'pe dtabr{cot', 'sucre purée St', 'Jtre', 'rouge amidon modifié te huile de co!za', 'êPiCêS ', 'céleri', ' ', 'gomme de xanthani', 'erôrnes ', 'soja', 'blé']","['E407a - Algues euchema transformées', '', 'Risque élevé de sur-exposition']","['Céleri', 'Gluten', 'Soja']",[],4,,,,,,,,,?,,175,,732 kj(175 kcal),,"1,1",,"0,1",,"39,9",,"38,1",,"0,4",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,
7,Le supérieur - Fleury Michon,56253016,,['Fleury Michon'],,['France'],[],,,[],,,,,,,,,,?,,116,,485 kj(116 kcal),,"2,8",,1,,"0,7",,"0,7",,22,,"1,8",,"0,72",,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,
8,100% orange sanguine de Sicile,5636334130592,,,,['France'],[],,,[],,,,,,,,,,?,,47,,197 kj(47 kcal),,0,,0,,11,,"9,5",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Gazpacho tomate, concombre & poivron",5636334136075,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes', 'Soupes froides', 'Gaspacho']",['France'],[],,,[],,2.3 g,en faible quantité,0.3 g,en faible quantité,2.7 g,en faible quantité,0.67 g,en quantité modérée,?,,40,-2%,167 kj(40 kcal),-3%,"2,3",-6%,"0,3",-22%,"2,8",-17%,"2,7",+6%,"0,6",-24%,"0,67",+1%,"0,268",+1%,2,+68%,B,+68%,8.9%,40.5%,20.0%,12.5%,12.7%,5.4%,98,,,,,,,,,,,
