,name,bar_code,brand,labels,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,manufacturing,markets,traceability_code,palm_ingredients,generic_name,ingredients_origins,link,brand_owner
0,Panipeni - La Niña Del Sur,8436021258656,['La Niña Del Sur'],['Halal'],['France'],"['Harina de trigo', 'agua', 'preparado lácteo 15,4% ', 'agua', 'grasa vegetal de palm y coco', 'proteína de leche', 'almidón modificado', 'queso Mozzarella ', '2%', 'sal', 'acidulantes: E-330 y E-331', 'estabilizante E-340', 'E-407', 'E-417 y E-452', 'suero lácteo', 'aroma de queso', 'colorante: E-160a y conservador: E-202', 'queso Cheddar 2', '8% ', 'contiene colorante: E-160b', 'queso Gouda 1,8% ', 'contiene colorante: E-160aii', 'aceite de girasol', 'leche', 'almidón modificado de maíz', 'queso azul 0,9%', 'levadura', 'sal', 'aceite de oliva', 'cebolla', 'especias y plantas aromáticas', '\rPu contener trazas de soja y pescado']","['E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E331 - Citrates de sodium', 'E340 - Orthophosphates de potassium', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E417 - Gomme tara', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E160a - Carotènes mélangés', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E160b - Rocou', 'E160aii - Carotènes végétaux']","['Gluten', 'Lait']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,?,246,1029 kj(246 kcal),"9,7",4,32,"2,8","6,5","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tomato Frito - Aranca,8436021663856,['Aranca'],,['France'],[],,,[],,?,178,745 kj(178 kcal),"13,9",2,"11,2","8,9","1,5","0,77","0,308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sarró de cabra - Montbrú,8436023512145,['Montbrú'],,"['France', 'Espagne']",[],,,[],,?,427,1787 kj(427 kcal),37,20,"3,3",0,20,"1,3","0,52",E,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre']",37 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.3 g,en quantité modérée,,+50%,+51%,+62%,+25%,+98%,-100%,+16%,-4%,-4%,15,+13%,D,+13%,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,,,,,,,,,,
3,Ficelle de chèvre,8436023512749,,,['France'],[],,,[],,?,416,1741 kj(416 kcal),"36,32","25,73","1,22",0,"21,03","0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Miel - Honey Acentojo - Acentejo,8436023645423,['Acentejo'],,"['France', 'Espagne']",[],,,[],,?,304,1272 kj(304 kcal),0,0,"82,4",76,"0,7","0,01","0,004",B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",0 g,en faible quantité,0 g,en faible quantité,76 g,en quantité élevée,0.01 g,en faible quantité,,+5%,+4%,-100%,-100%,+7%,+9%,+115%,-38%,-38%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,
5,Sobrasada vela ibérica - Revisan - 1,8436024011357,['Revisan'],['en:gluten-free'],['France'],[],,,[],,?,518,2167 kj(518 kcal),"49,19","18,15","5,51","1,23","13,24","2,66","1,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,Colines - La Masera,8436024030044,['La Masera'],,['France'],[],,,[],,?,373,1561 kj(373 kcal),"0,73","0,15","77,96","0,56","10,92","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Olives ""Partidas De La Abuela"" (Chicon Lebron|malaga|pne220",8436025121086,,['en:gluten-free'],['France'],[],,,[],,?,364,1523 kj(364 kcal),"19,06","4,5","2,7","0,38","4,15","2,31","0,924",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Turron Diverso blondo de cacauete,8436025203362,,,['France'],[],,,[],,?,538,2251 kj(538 kcal),32,4,46,39,15,,,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron']",32 g,en quantité élevée,4 g,en quantité modérée,39 g,en quantité élevée,,,,+3%,+3%,+2%,-24%,+2%,+2%,+25%,,,,,,,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,
9,Turron,8436025203379,,,['France'],[],,,[],,?,538,2251 kj(538 kcal),20,4,46,39,15,0,0,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron']",20 g,en quantité modérée,4 g,en quantité modérée,39 g,en quantité élevée,0 g,en faible quantité,,+3%,+3%,-36%,-24%,+2%,+2%,+25%,-100%,-100%,17,+3%,D,+3%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,
