,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,brand,quantity,traceability_code,ingredients_origins,packaging,markets,additives,allergens,nova_score,generic_name,link,manufacturing,brand_owner,palm_ingredients
0,Jus d'orange d'Afrique,0203583016400,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange""]",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,8.4 g,en quantité élevée,0 g,en faible quantité,?,,45,+5%,188 kj(45 kcal),+3%,0,-100%,0,-100%,"9,4",-3%,"8,4",-8%,"0,7",+12%,0,-100%,0,-100%,3,0%,C,0%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,,,
1,Chocolat lait fourré praliné amande feuilletine,3256400157906,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats fourrés', 'Chocolats fourrés au praliné', 'Chocolats au lait fourrés']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,,,,,,,,,,,,
2,3537700130005,3537700130005,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['IGP'],,,,,,,,,,,,,,
3,3552210000037,3552210000037,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Cheesecake caramel - Marie Morin,2600227008407,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Cheesecakes', 'Cheesecakes au caramel']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,75.3%,15.7%,3.4%,3.2%,1.9%,0.5%,56,,['Marie Morin'],,,,,,,,,,,,,
5,Miel - Apidal,3859889410236,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,['Apidal'],,,,,,,,,,,,,
6,POIVRE NOIR DE LAMPONG - 50g,3265960810060,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,50 g,"['EMB 76377', 'Isneauville (Seine-Maritime, France)']",,,,,,,,,,,
7,Chabichou du poitou - Clos Chevrel - 150g,2890968025584,C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages de chèvre', 'Fromages à pâte molle à croûte naturelle', 'Chabichous du Poitou']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,['AOP'],['Clos Chevrel'],150 g,,['France'],,,,,,,,,,
8,cassoulet mitonné - william saurin - 1260g,3261055936332,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['william saurin'],1260g,,,['Conserve'],,,,,,,,,
9,Café Mexique Lungo - La Vie Claire,3266191012766,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",['La Vie Claire'],,,,,['La Vie Claire'],,,,,,,,
10,St Christophe sauce barbecue,5413171800082,B,"['Epicerie', 'Sauces', 'Sauces barbecue']",['France'],[],[],40 g,en quantité élevée,2.8 g,en quantité modérée,15 g,en quantité élevée,1.5 g,en quantité modérée,?,,442,+183%,1849 kj(442 kcal),+181%,40,+4080%,"2,8",+1959%,19,-39%,15,-43%,"1,5",+67%,"1,5",-26%,"0,6",-26%,16,+10%,D,+10%,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,,,,,,,,,,,,,,,
11,Yaourt aux fruits,3010002310004,C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,['Bio'],,,,,,,,,,,,,,
12,Les grillades BIO,2250337042831,,,['France'],[],[],,,,,,,,,?,,119,,498 kj(119 kcal),,"2,8",,"0,7",,"3,5",,"0,3",,20,,"1,4",,"0,56",,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,
13,3041311028571,3041311028571,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Aubergines épicées,3760059040217,,,['France'],[],[],,,,,,,,,?,,141,,590 kj(141 kcal),,8,,"1,2",,14,,9,,"2,2",,"0,54",,"0,216",,,,,,,,,,,,,,,,,,,,,,,,,,,
