,name,bar_code,eco_score,brand,categories,ingredients_origins,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,labels,markets,allergens,traceability_code,palm_ingredients,manufacturing,generic_name,link,brand_owner
0,Bloc de fois gras de canard du Sud-Ouest avec 30% de morceaux - Maison Montfort,3104544072015,B,['Maison Montfort'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras']",['France'],['France'],"['Foie gras de canard ', 'origine France', 'morceaux de foie gras de canard 30% ', 'origine France', 'eau', 'Champagne 1,8%', 'sel', 'poivre de Malabar 0,18%', 'sucre', 'poivre blanc 0,09 %', 'gingembre', 'cardamome', 'antioxydant ascorbate de sodium', 'conservateur nitrite de sodium']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Non végétalien', 'Non végétarien']",3,50 g,en quantité élevée,21 g,en quantité élevée,0.9 g,en faible quantité,1.1 g,en quantité modérée,?,,488,-0%,2042 kj(488 kcal),+0%,50,-1%,21,-2%,"3,1",+46%,"0,9",-32%,6,-2%,"1,1",-10%,"0,44",-10%,20,-2%,E,-2%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,,,,
1,"Domaine St Michel - Suze La Rousse - Cotes du Rhône Villages (bio) - 0,75litre",3760267920042,B,['Cotes du Rhône Villages (bio)'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Côtes du Rhône', 'Côtes du Rhône Villages']",['France'],['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,"0,75 litre","['Bouteille', 'Verre']",['Bio'],,,,,,,,
2,5 minutes - Maggi,7613032292775,,['Maggi'],,,['France'],[],,[],,,,,,,,,,?,,359,,1502 kj(359 kcal),,"6,9",,"3,3",,65,,"26,9",,7,,"9,2",,"3,68",,,,,,,,,,,,,,,,,,,,,,,
3,1/2 épaule de porc fumée pumentée,2647512111121,,,,,['France'],[],,[],,,,,,,,,,?,,111,,464 kj(111 kcal),,14,,"5,3",,"0,1",,"0,1",,18,,"3,4",,"1,36",,,,,,,,,,,,,,,,,,,,,,,
4,œufs frais,3387710000139,,,,,"['France', 'Guadeloupe']",[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Coco bonbon - 200g,3701178700071,,,,,['France'],[],,[],,,,,,,,,,?,,374,,1565 kj(374 kcal),,"14,8",,"11,3",,"53,9",,"33,7",,"3,8",,"0,5",,"0,2",,,,,,,,,,,,,200 g,,,,,,,,,,
6,Huile d'olives,8009923700815,,,,,['France'],[],,[],,,,,,,,,,?,,822,,3439 kj(822 kcal),,"91,3",,14,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'IT-BIO-006']",,,,,,,,
7,Cioccolata,8033650403565,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Pâté de homard,0747319005028,,,"['Produits à tartiner', 'Produits à tartiner salés']",,['France'],[],,[],,36 g,en quantité élevée,12 g,en quantité élevée,2 g,en faible quantité,1 g,en quantité modérée,?,,440,+49%,1841 kj(440 kcal),+50%,36,+37%,12,+55%,8,+128%,2,+57%,20,+129%,1,-24%,"0,4",-24%,19,+52%,E,+52%,,,,,,,,,,,,,,,,,,
9,Mandarine,8436026945179,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,00966375,00966375,,,,,['France'],[],,['Sans huile de palme'],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['en:palm-oil-free'],,,,,,,,
11,Broche tressée au beurre - Auchan,2090000176223,,['Auchan'],,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,,,,
12,Petits fours aux figues - Biscuiterie de Chambord,3555140004120,,['Biscuiterie de Chambord'],,,['France'],[],,[],,,,,,,,,,?,,518,,2167 kj(518 kcal),,27,,16,,61,,40,,"7,5",,"0,117",,"0,047",,,,,,,,,,,,,,,,,,,,,,,
13,Sucre de canne blond - L'Aliment Sain,3398240118041,,"[""L'Aliment Sain""]",,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,
14,Start the original,6297000721873,,,,,['France'],[],,[],,,,,,,,,,?,,464,,1941 kj(464 kcal),,"21,5",,"10,4",,"56,3",,"14,5",,"7,3",,"0,75",,"0,3",,,,,,,,,,,,,,,,,,,,,,,
15,ButtaNutt pecan macadamia,0799439090569,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Purée de piments hot - 100g,3770009143028,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,100 g,,,,,,,,,,
17,Ail noir,4562238290456,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Miel de printemps,3770003091042,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de Printemps']",,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,
19,Blackcurrant conserve - Tesco,5000436288473,,['Tesco'],,,['France'],[],,[],,,,,,,,,,?,,253,,1059 kj(253 kcal),,"0,7",,"0,3",,"59,4",,"53,5",,"0,8",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,
20,Délic'O,12851683,,,,,['France'],[],,[],,,,,,,,,,?,,31,,130 kj(31 kcal),,1,,1,,7,,7,,1,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,
