,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,brand,labels,markets,traceability_code,additives,nova_score,ingredients_origins,generic_name,allergens,brand_owner,palm_ingredients,link,manufacturing
0,Noisimiel,3700942503122,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Yoghurt pineapple,8712275101130,['France'],[],[],?,86,"0,6","17,3","2,7",360 kj(86 kcal),"0,37","13,9","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Emmental Français,0262200024341,['France'],[],[],?,380,30,"0,5",27,1590 kj(380 kcal),21,"0,5","0,64","0,256",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",30 g,en quantité élevée,21 g,en quantité élevée,0.5 g,en faible quantité,0.64 g,en quantité modérée,,+0%,+1%,+2%,+6%,-18%,+6%,-3%,+9%,+9%,11,-2%,D,-2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,
3,VINAIGRETTE - MEYER - 300Grammes,3539341500032,['France'],['VINAIGRETTE 3006 SEL DEXTROSE E621 POIVRE AIL PERSIL ARÔME CITRON LUO 22/08/2019 Lot 0343 MB'],[],?,?,?,?,?,,,,,,D,"['Epicerie', 'Condiments', 'Sauces', 'Sauces salades', 'Vinaigrettes', 'Assaisonnements']",,,,,,,,,,,,,,,,,,,,,,,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,300 Grammes,['bocal plastique transparent'],['MEYER'],,,,,,,,,,,,
4,Cellier Des Dauphins,3179071002590,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Duplo Milchcreme - Ferrero - 182g,8000500274736,"['Autriche', 'France', 'Allemagne']",[],[],?,559,"34,3",55,"6,9",2339 kj(559 kcal),,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182g,['Stück'],['Ferrero'],,,,,,,,,,,,
6,Assaisonnement,8436049610061,['France'],[],[],?,0,0,0,0,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Halal'],,,,,,,,,,,
7,Crevettes croustillantes,5060021940421,['France'],[],[],?,280,16,22,11,1172 kj(280 kcal),"6,8","3,9",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Roast chicken,5060047262484,['France'],[],[],?,472,"20,55","63,2","5,9",1975 kj(472 kcal),"2,3","1,1","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Gemüse-Kartoffel-Burger,9002220089002,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Hershey‘s Crunchers - 120g,7899970400292,"['Autriche', 'France']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120 g,['Stück'],,,,,,,,,,,,,
11,Hershey‘s Maisminis - 100g,7898292887354,"['Autriche', 'France']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 g,['Stück'],,,,,,,,,,,,,
12,Confiture Extra De Griottes - Collines en Limousin - 90g,3517830061233,['France'],[],[],?,223,0,53,"0,9",933 kj(223 kcal),0,52,0,0,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de cerises']",0 g,en faible quantité,0 g,en faible quantité,52 g,en quantité élevée,0 g,en faible quantité,,+0%,+0%,-100%,-100%,-2%,+1%,+40%,-100%,-100%,11,+12%,D,+12%,73.9%,8.9%,10.5%,4.6%,1.7%,0.4%,50,90 g,,['Collines en Limousin'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,,,,,,,,
13,Nestle Passatempo Choco - 130g,7891000259405,"['Autriche', 'France']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130 g,['Stück'],,,,,,,,,,,,,
