,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,traceability_code,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,labels,eco_score,categories,ingredients_origins,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,manufacturing,allergens,nova_score,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,generic_name,palm_ingredients,link,brand_owner
0,Huile d'olive,5425014706000,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Andouillette tirée à la ficelle - 0,380kg",2977369003806,['France'],[],[],?,208,15,"0,5",18,"0,380 kg","['FR 69.211.001 CE', ""Saint-Jean-d'Ardières (Rhône, France)""]",870 kj(208 kcal),"6,6","0,5","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Pain de seigle,0201340007876,['France'],[],[],?,286,"1,4",56,10,,,1197 kj(286 kcal),"0,4","1,7","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pieds de porc à l'ancienne façon tripes,3418470001408,['France'],[],[],?,179,12,"0,8",17,,"['FR 50.127.004 CE', 'Chef-du-Pont (Manche, France)']",749 kj(179 kcal),"3,9","0,8",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Reeses pieces - Reese's,85138643,['France'],[],[],?,210,10,27,5,,,879 kj(210 kcal),8,22,"0,6","0,24","[""Reese's""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Wrap poulet,3283040623973,['France'],[],[],?,200,"6,4",25,9,,,837 kj(200 kcal),"1,9","2,2","1,2","0,48",,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Izem Energy Naturel,6130093061948,['France'],[],[],?,47,0,11,0,,,197 kj(47 kcal),0,11,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Camembière,3760268722263,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Grand vin de bordeaux,3342850808120,['France'],[],[],?,?,?,?,?,,,,,,,,,,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",['France'],,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Chistorra - Hiruak - 0,382kg",2474757026305,['France'],[],[],?,40,37,5,17,"0,382 kg",,167 kj(40 kcal),"15,7",5,12,"4,8",['Hiruak'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Léa Nature - Floressance,3456300009057,['France'],[],[],?,?,?,?,?,,,,,,,,"['Floressance', 'Léa Nature']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Humeur du Brasseur (2017) - Jenlain - 75cl,3271915010751,['France'],"['Bière', "" Contient du malt d'orge""]","['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",?,?,?,?,?,75 cl,,,,,,,['Jenlain'],['Déconseillé aux femmes enceintes'],C,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières françaises', 'Bières blondes']",,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,"['Bouteille', 'Verre']",['France'],['Gluten'],3,,,,,,,,,,,,,,,,,,,,,,,
12,Lactose free natural - Rachel's,5021638000540,['France'],[],[],?,67,"3,4","5,1",4,,,280 kj(67 kcal),"2,2","5,1","0,2","0,08","[""Rachel's""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Spliterwten - HAK,8720600604386,['France'],[],[],?,359,2,61,22,,,1502 kj(359 kcal),"0,8",6,"0,04","0,016",['HAK'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Crunchy fig banana,5060379650041,['France'],[],[],?,448,13,"78,8",4,,,1874 kj(448 kcal),"6,3","57,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Spaghetti - Pouce - 1kg,3596710262847,['France'],[],[],?,369,"1,9","73,4","12,8",1 kg,,1544 kj(369 kcal),"0,4","3,7",0,0,"['Pouce', 'Auchan']",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Spaghetti']",,,+5%,+9%,+6%,+8%,,,,,,,,,,,,['Auchan'],1.9 g,en faible quantité,0.4 g,en faible quantité,3.7 g,en faible quantité,0 g,en faible quantité,+4%,+8%,+25%,-100%,-100%,-1,,A,,,,,,
16,Pilon de poulet,0213150019420,['France'],[],[],?,?,?,?,?,,,,,,,,,,D,"['Viandes', 'Volailles', 'Poulets', 'Volailles cuites', 'Poulets cuisinés', 'Manchons de poulet']",,,,,,,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Melange catalan - Boni,5400141412192,['France'],[],[],?,97,"5,01","9,8","1,8",,,406 kj(97 kcal),"0,7","1,9","0,54","0,216","['Boni', 'Boni Selection']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Sera Halva Vanille,8690777524735,['France'],[],[],?,592,"35,9","47,2","13,7",,,2477 kj(592 kcal),"6,4","29,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Vermicelle de riz - 400g,,['France'],[],[],?,180,0,42,3,400 g,,753 kj(180 kcal),0,2,"0,002","0,001",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Nouilles', 'Vermicelle de riz']",,,-46%,-100%,-39%,-39%,,,,,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,2 g,en faible quantité,0.002 g,en faible quantité,-46%,-100%,+383%,-99%,-99%,1,-49%,B,-49%,,,,,
20,Pâtes farfalle,5410028096643,['France'],[],[],?,345,"1,5",72,"11,8",,,1443 kj(345 kcal),"0,1","3,5","0,025","0,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Brioche Avesnoise,2030509001442,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Nouilles Royales,2808781021867,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Bun Feuilleté - Sapresti,3287390080400,['France'],[],[],?,305,18,25,10,,,1276 kj(305 kcal),13,"3,6","0,85","0,34",['Sapresti'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Pain au lait,67033973,['France'],[],[],?,367,10,51,"8,2",,,1536 kj(367 kcal),"3,8",10,"1,1","0,44",,,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au lait']",,,+4%,-12%,-4%,-4%,78.8%,12.6%,5.3%,2.8%,0.4%,0.0%,69,,,,,,10 g,en quantité modérée,3.8 g,en quantité modérée,10 g,en quantité modérée,1.1 g,en quantité modérée,+4%,-10%,-25%,+8%,+8%,13,-2%,D,-2%,,,,,
25,Sushi,3760232050521,['France'],[],[],?,218,"8,7",31,"3,3",,,912 kj(218 kcal),"8,7","6,8","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Ail Blanc,3363292558015,['France'],[],[],?,?,?,?,?,,,,,,,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Ail et dérivés', 'Ail', 'Ail Blanc']",,,,,,,58.5%,0.0%,0.0%,19.1%,16.5%,5.8%,98,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Pate de alcachofa - Cabezon - 150g,8414710004319,"['France', 'Espagne']","['Alcachofa', ' aceite vegetal de girasol', 'vinagre', 'ajo', 'sal', 'puré de patata', 'especias', 'ácido cítrico', 'ácido ascórbico']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,167,"13,9","9,8","1,1",150 g,,699 kj(167 kcal),"1,7","0,3","1,5","0,6",['Cabezon'],,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Pâtes à tartiner végétales']",,,-38%,+69%,-77%,-53%,,,,,,,,['Cristal'],,,3,,13.9 g,en quantité modérée,1.7 g,en quantité modérée,0.3 g,en faible quantité,1.5 g,en quantité modérée,-38%,+30%,-99%,+673%,+673%,9,-4%,C,-4%,['E330 - Acide citrique'],,,,
28,Trio Thon crudités oeuf - Carrefour,3560070794706,['France'],[],[],?,186,"5,1",25,9,,,778 kj(186 kcal),"0,6","2,7","1,2","0,48",['Carrefour'],,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,
29,Charcuterie volaille,2150621002759,['France'],[],[],?,142,8,"1,5",16,,,594 kj(142 kcal),2,1,"2,2","0,88",,['Fabriqué en Suisse'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Pain aux cereales,0204039008598,['France'],[],[],?,271,"2,6",51,"9,4",,,1134 kj(271 kcal),"0,3","1,3","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Balles de poulet,4031759645101,['France'],[],[],?,184,"11,8",8,0,,,770 kj(184 kcal),"4,9","0,5","2,4","0,96",,['Halal'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Sapin,3274510004309,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,4 Fruit Scobes with juicy sulatanas and irish buttermilk - Dunnes Stores,5099874082118,['France'],[],[],?,294,7,50,7,,,1230 kj(294 kcal),"2,4","10,6","1,38","0,552",['Dunnes Stores'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Croquant cacao noisettes amandes - 240g,3760105822828,['France'],[],[],?,483,28,48,"7,6",240 g,,2021 kj(483 kcal),16,24,"0,68","0,272",,['Sans colorants'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Cuisses poulet roti - Le Gaulois,0217637027755,['France'],[],[],?,168,10,0,19,,,703 kj(168 kcal),"2,6",0,"1,4","0,56",['Le Gaulois'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Bissap,3760208361255,['France'],[],[],?,41,0,"10,2",0,,,172 kj(41 kcal),0,"10,2","0,02","0,008",,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,very hot chilli sauce - lion,5010285100611,['France'],"['lion esto', '1831 2,27 litrese or very hot chilli sauce']",[],?,88,"2,4","9,6","1,7",,,368 kj(88 kcal),"0,4","1,1","2,3","0,92",['Lion'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"0,545kg",2606766021389,['France'],[],[],?,?,?,?,?,"0,545 kg","['FR 67.309.001 CE', 'Mundolsheim (Bas-Rhin, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Vital cookies nature 's bakes,8710508770948,['France'],[],[],?,489,31,42,9,,,2046 kj(489 kcal),24,29,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
