,name,bar_code,eco_score,quantity,packaging,brand,categories,ingredients_origins,manufacturing,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,traceability_code,generic_name,allergens,additives,link,palm_ingredients,brand_owner
0,Miel de Châtaignier - Leclerc - 500gr,3770007625229,A,500 gr,['pot verre'],['Leclerc'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de châtaignier']",['France'],['42380 Estivarielles'],['Leclerc'],['France'],['Miel de Châtaignier origine France'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",2,?,,?,,?,,?,,?,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sweet Chilli Sauce,5012389000941,,,,,,,,,['France'],[],[],,?,,172,,"0,4",,41,,"0,3",,,,,,,,,720 kj(172 kcal),"0,1",41,"3,3","1,32",,,,,,,,,,,,,,,,,,,,,,,,,
2,Conchiglioni n°177,8008912011772,,,,,,,,,['France'],[],[],,?,,353,,"1,2",,70,,14,,,,,,,,,1477 kj(353 kcal),"0,3","3,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,
3,Milk-shakers minceur saveur chocolat - Milical,3175681797895,,,,['Milical'],,,,,['France'],[],[],,?,,343,,"1,4",,22,,60,,,,,,,,,1435 kj(343 kcal),"0,8",14,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,
4,Salade strasbourgeoise,3760054095441,,,,,,,,,['France'],[],[],,?,,178,,13,,"11,2",,3,,,,,,,,,745 kj(178 kcal),"0,8","1,2",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,
5,Thé Gunpowder,3770003610243,,,,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,
6,polvones de allendra,8412505010149,,,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël']",,,,"['France', 'Espagne']",[],[],,?,,496,-3%,22,-26%,70,+48%,5,-54%,,,,,,,,2075 kj(496 kcal),9,25,"0,05","0,02",,22 g,en quantité élevée,9 g,en quantité élevée,25 g,en quantité élevée,0.05 g,en faible quantité,-3%,+61%,-38%,-33%,-33%,19,+13%,E,+13%,,,,,,,
7,3 filets de maquereau fumes poivre,2298117039039,D,,,,"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux']",,,,['France'],[],[],,?,,305,+37%,24,+46%,2,+85%,21,+28%,39.4%,14.2%,30.5%,14.0%,0.9%,0.9%,45,1276 kj(305 kcal),"5,5",0,"1,2","0,48",,24 g,en quantité élevée,5.5 g,en quantité élevée,0 g,en faible quantité,1.2 g,en quantité modérée,+38%,+49%,-100%,+8%,+8%,13,+109%,D,+109%,,,,,,,
8,Biscuit,3760026320090,C,,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,,['France'],[],[],,?,,?,,?,,?,,?,,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Carrefour - 1,305kg",2435126088164,,"1,305 kg",,['Carrefour'],,,,['Carrefour'],['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,"['FR 03.236.001 CE', 'Saint-Germain-des-Fossés (Allier, France)']",,,,,,
10,La Nouvelle Agriculture,0213319044676,,,,['La Nouvelle Agriculture'],,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Pain d'épices aux écorces d'oranges,3760255820187,B,,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices""]",,,,['France'],[],[],,?,,332,-1%,"8,9",+155%,"57,8",-18%,"4,4",+1%,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,1389 kj(332 kcal),"5,6","33,2","0,7","0,28",,8.9 g,en quantité modérée,5.6 g,en quantité élevée,33.2 g,en quantité élevée,0.7 g,en quantité modérée,-2%,+352%,-18%,+61%,+61%,19,+35%,E,+35%,,,,,,,
