,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,labels,packaging,traceability_code,allergens,nova_score,markets,generic_name,ingredients_origins,manufacturing,additives,brand_owner,link,palm_ingredients
0,Les Dolmens,3760002750057,['France'],[],[],?,400,1674 kj(400 kcal),1,1,50,50,1,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5021039023780,5021039023780,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wonderful White Choc Chip Cookies,50168767,['France'],[],[],?,505,2113 kj(505 kcal),"25,5","13,1",62,"32,2","5,8","0,81","0,324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Spa Reine Pet 1,5L 6-pack",5410013100027,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,"0,756","0,302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Jasmine tea,4978810001196,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Miel framboisier,3263623809765,['France'],[],[],?,?,,?,,?,,?,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de framboisier']",,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sirop caramel - Vedrenne,3376370110418,['France'],[],[],?,360,1506 kj(360 kcal),0,0,90,65,0,"0,04","0,016",,,,,,,,,,,,,,,['Vedrenne'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Whole Peeled Plum Tomates - Cirio,0822356000189,['France'],[],[],?,30,126 kj(30 kcal),0,0,4,0,1,"0,01","0,004",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Tomates et dérivés', 'Tomates', 'Tomates en conserve', 'Tomates pelées']",,+20%,-100%,+7%,-14%,67.0%,0.0%,0.0%,15.7%,13.1%,4.3%,97,['Cirio'],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.01 g,en faible quantité,+24%,-100%,-100%,-95%,-95%,-5,,A,,,,,,,,,,,,,,,
8,"Fromage de vache, chèvre et brebis",5602527029899,['France'],[],[],?,318,1331 kj(318 kcal),26,17,"2,7","1,1",19,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9 kat kat rulokat - Ülker - 170g,8690766086497,['France'],[],[],?,514,2151 kj(514 kcal),"25,5","19,3","66,2","48,2",4,"0,54","0,216",,,,,,,,,,,,,,,['Ülker'],,,,,,,,,,,,,,,,,,170 g,,,,,,,,,,,,,
10,Cookies triple chocolat,3614701927961,['France'],[],[],?,475,1987 kj(475 kcal),25,16,57,39,"5,5","0,41","0,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Poudre d'amandes blanche extra fine,3700392486464,['France'],[],[],?,?,,?,,?,,?,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Farines', 'Fruits à coques et dérivés', 'Farines de fruits à coques', 'Amandes en poudre']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Cinqueterre Riomaggiore 2014 0,75 LT.",8009433000016,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Duo carotte râpée concombre,3760036571970,['France'],[],[],?,23,96 kj(23 kcal),"0,23","0,07","3,98","3,45","0,68","0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Vita coco coconut water with bits,2575539010144,['France'],[],[],?,24,100 kj(24 kcal),"0,6","0,5","4,7","4,2",0,"0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Charles et Alice,0299003010769,['France'],[],[],?,97,406 kj(97 kcal),"4,9","4,4",11,"7,6","0,6","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Donuts,,['France'],[],[],?,469,1962 kj(469 kcal),"28,5","16,1","47,9","19,9","4,4","0,56","0,224",B,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",,+15%,+25%,+7%,-26%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,28.5 g,en quantité élevée,16.1 g,en quantité élevée,19.9 g,en quantité élevée,0.56 g,en quantité modérée,+15%,+52%,+18%,-41%,-41%,21,+8%,E,+8%,,,,,,,,,,,,,,
17,Bio Cheddar,2208186004425,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages du Royaume-Uni', ""Fromages d'Angleterre"", 'Cheddars']",,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
18,Olives cassées à l'ail,2609810015686,['France'],[],[],?,220,920 kj(220 kcal),"21,8","2,8","4,4","0,5","1,5","3,44","1,376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Galette pur beurre de noimoutier,3413910091698,['France'],[],[],?,482,2017 kj(482 kcal),"19,9","1,8","70,3","27,1","6,2","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Melange Exotique - 130g,3760107842855,['France'],[],[],?,392,1640 kj(392 kcal),"7,2","6,2",63,44,"1,2","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130 g,,,,,,,,,,,,,
21,Pintarolas - 3x 22g,5601055005375,['France'],[],[],?,502,2100 kj(502 kcal),21,12,73,64,5,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 x 22 g,,,,,,,,,,,,,
22,Andouillette de Vire AAAAA,2151696003849,['France'],[],[],?,255,1067 kj(255 kcal),20,9,"2,1","0,5",17,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Oreo birthday cake,66721005908,['France'],[],[],?,150,628 kj(150 kcal),7,"2,5",13,13,1,"7,5",3,,,,,,,,,,,,,,,['Oreo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Ducs de Gascogne,3382562118643,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,['Ducs de Gascogne'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Roti de porc,0278401052748,['France'],[],[],?,141,590 kj(141 kcal),"6,3","2,9","1,2","0,9",20,"1,8","0,72",E,"['Viandes', 'Porc', 'Rôtis de porc']",,-2%,+25%,+47%,-11%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,6.3 g,en quantité modérée,2.9 g,en quantité modérée,0.9 g,en faible quantité,1.8 g,en quantité élevée,-1%,+39%,+44%,+5%,+5%,5,-30%,C,-30%,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,,
