,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,packaging,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,additives,nova_score,quantity,brand,generic_name,eco_score,categories,labels,markets,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,manufacturing,ingredients_origins,traceability_code,link,palm_ingredients,brand_owner,origin_detail
0,Tomillo,8423018292663,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Very Hot Green Chilli Sauce,5018605743289,['France'],[],[],?,98,"0,8","17,3","4,7",['glass-jar'],410 kj(98 kcal),0,"6,7","5,9","2,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Nep,3401526569922,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Albahaca,8423098000929,['France'],[],[],?,0,?,?,?,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Gros sel marin,8006795200016,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Beignets au pomme x4,3700462032003,['France'],[],[],?,0,?,?,?,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Strawberry Jam,5000172100060,['France'],[],[],?,259,"0,2","62,4","0,4",,1084 kj(259 kcal),"0,1","53,6","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Dogadan Apfel Chrome Tee,8699432201363,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Canine DD Sec Rice &duck,0052742911700,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,555555555555555555555,555555555555555555555,['France'],"['Eau', 'Vodka produite à partir de betteraves 37%', 'sucre', 'jus concentré de cranberry', 'jus concentré de citron', 'acidifiant : acide citrique', 'arôme naturel', 'colorant E129']",[],?,?,?,?,?,,,,,,,"['E330 - Acide citrique', 'E129 - Rouge allura AC']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Single Malt Scotch Whisky 10 years Sea Cask,5010327415277,['France'],[],[],?,?,?,?,?,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,CREME CASSIS P.LUSINY 15% 70CL - 70cL,3260985613016,['France'],[],[],?,0,?,?,?,,0 kj(0 kcal),,,,,,,70 cL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Nectar multifruits,1563453486054,['France'],[],[],?,42,0,10,"0,5",,176 kj(42 kcal),0,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Mini bâtonnets glacés, vanille et chocolats",3248653542318,['France'],[],[],?,351,23,32,4,,1469 kj(351 kcal),13,29,"0,125","0,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Seals Olive Oil,8801039203910,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Panne guttiau pan artesano de cerdeña,8055681100145,['France'],[],[],?,450,"18,6","59,3","9,4",,1883 kj(450 kcal),"2,71","1,79","2,75","1,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Argile verte,3326101000761,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Thé Vert Gunpowder - Sélection des comptoirs,3760239182461,['France'],[],[],?,?,?,?,?,,,,,,,,,,['Sélection des comptoirs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Malongo Decafeine Pur Arabica,3187570015300,['France'],[],[],?,0,0,"0,3","0,2",,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,SERA Reptil Professional Carnivor - 80 G,4001942018203,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Bourrache,3664359000110,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Solaray Fer 14 MG - 60 Capsules Végétales,0076280923711,['France'],[],[],?,0,?,?,?,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Maringo leaves -,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,Maringo leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Flan,2403123013786,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Muffins au chocolat,0260165022891,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Acana Puppy Small Breed,0064992502201,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Giffard Cocogif Kokos (kokosnuss Likör),3180290046647,['France'],[],[],?,0,?,?,?,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"poulet - les fermiers loué - 1,620kilogrammes",0217013085348,['France'],[],[],?,?,?,?,?,['Plastique'],,,,,,,,"1,620 kilogrammes",['les fermiers loué'],,D,"['Viandes', 'Volailles', 'Poulets', 'Poulets entiers']",['Loue'],['Auchan'],,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,,,,,,
31,Gel,5099179003528,['France'],[],[],?,0,?,?,?,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Ratatouille,3708050000007,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,B,"['Plats préparés', 'Légumes préparés', 'Ratatouilles']",,,,,,,,69.3%,12.8%,5.7%,6.8%,3.2%,2.3%,79,,,,,,,,,,,,,,,,,,,,,,,,,
33,Mélange fruité energie,7061289839173,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,ravioli FB fromage -,,['France'],"['farine de blé dur* ', 'GLUTEN', 'OEUFS entiers*', 'eau', ""agent d'enrobage : farine de riz*\rfromage blanc* "", 'LAIT demi écrémé pasteurisé*', 'ferments lactiques', 'présure', 'emmental*', 'chapelure* ', 'farine de BLE*', 'sel', 'levure', 'ricotta* ', 'LAIT', 'OEUFS entiers*', 'flocons de pomme de terre*', 'ciboulette*', 'sel de Guérande', 'paprika*']",['Non végétalien'],955,226,"4,2","36,6","9,3",,955 kj(226 kcal),"1,9","1,4","1,15","0,46",,4,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Plats préparés', 'Plats à base de pâtes', 'Pâtes alimentaires', 'Pâtes farcies', 'Ravioli']",,,+24%,+22%,-22%,+47%,+25%,,,,,,,,"['Œufs', 'Gluten', 'Lait']",4.2 g,en quantité modérée,1.9 g,en quantité modérée,1.4 g,en faible quantité,1.15 g,en quantité modérée,+23%,-7%,-47%,+16%,+16%,1,-75%,B,-75%,,,,,,,
35,ravioli Tom Che -,,['France'],"['farine de blé dur* ', 'GLUTEN', 'OEUFS entiers*', 'eau', ""agent d'enrobage : farine de riz*\rRicotta* "", 'LAIT', 'tomates confites* ', 'tomate séchée*', 'huile de tournesol*', 'sel', 'vinaigre de vin blanc*', 'câpre*', 'origan*', 'chapelure* ', 'farine de BLE*', 'sel', 'levure', 'fromage de chèvre* ', 'LAIT de brebis pasteurisé*', 'sel', 'présure', 'ferments lactiques', ' Œufs entiers*', 'sel de Guérande']",['Non végétalien'],1040,249,"5,1","39,32","9,7",,1040 kj(249 kcal),"1,9","3,8","1,19","0,476",,4,,,,,"['Plats préparés', 'Plats à base de pâtes']",,,+49%,+38%,-19%,+88%,+31%,,,,,,,,"['Œufs', 'Gluten', 'Lait']",5.1 g,en quantité modérée,1.9 g,en quantité modérée,3.8 g,en faible quantité,1.19 g,en quantité modérée,+40%,-22%,+57%,+31%,+31%,2,-46%,B,-46%,,,,,,,
36,RAVIOLI TOM MOZ -,,['France'],"['farine de blé dur* ', 'GLUTEN', 'OEUFS entiers*', 'eau', ""agent d'enrobage : farine de riz*\rricotta* "", 'LAIT', 'mozzarella* ', 'LAIT', 'concentré de tomates*', 'chapelure* ', 'farine de BLE*', 'sel', 'levure', 'OEUFS entiers*', ' basilic*', 'sel de Guérande']",['Non végétalien'],1032,245,"5,6","37,4","9,8",,1032 kj(245 kcal),3,"2,4","1,28","0,512",,4,,,,,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies']",,,+19%,+18%,-12%,+39%,+18%,,,,,,,,"['Œufs', 'Gluten', 'Lait']",5.6 g,en quantité modérée,3 g,en quantité modérée,2.4 g,en faible quantité,1.28 g,en quantité modérée,+19%,+12%,-9%,+23%,+23%,3,-44%,C,-44%,,,,,,,
